word	freq	gloss
khempeuhah	378	restrain-?
napi	279	2SG-?
leenggahzu	239	chariot-rider-?
puak	239	carry.on.back-?
bangci	224	owe-?
vekpi	213	do-?
bawngtal	212	owe-?
leuleu	193	?~RED
mateng	185	grasp-?
hinapi	156	be-?
veve	142	do-?
banah	138	owe-?
ngam	128	endure-?
humpinelkai	125	cover-?
hawlkhia	119	seek-?
bangmahin	115	owe-?
ngak	102	endure-?
matengin	99	grasp-?
leenggah	98	chariot-?
baal	90	owe-?
ban	85	owe-?
bangun	84	owe-?
banga	79	owe-?
nak	77	2SG-?
phattuamna	77	praise-?-NMLZ
annel	76	food-?
letsong	76	return-?
vei	71	do-?
balaam	70	owe-?
bangzah	65	owe-?
khutnuai	63	hand-?
ngasa	62	endure-?
pualamah	62	carry.on.back-?
pualam	60	carry.on.back-?
naupangte	59	2SG-elder-?-PL
bashan	59	owe-?
tuamtuam	59	promise-?
lungsimah	57	feel-?
lutangte	56	head-?-PL
zenzen	53	?~RED
amen	53	3SG-?
ning	52	day-?
nuamsa	51	want-?
baih	49	owe-?
bangbang	48	owe-?
pianna	48	give-?-NMLZ
aksi	48	fowl-?
nasepnate	48	2SG-work-?-PL
ciatah	48	say-?
kiphatsakna	47	?-NMLZ
balak	47	owe-?
khahkhia	46	choke-?
innkuanpihte	46	1PL.INCL-?-PL
kapin	46	1SG-?
ciatin	45	say-?
gamtatnasa	45	kingdom-NMLZ-?
kantan	45	remain-?
tawlngakna	45	?-NMLZ
kantanin	44	1SG-?
guhte	44	?-PL
liatna	44	?-NMLZ
itin	44	1PL.INCL-?
khuampite	44	town-?-PL
utna	44	?-NMLZ
ngawng	43	endure-?
mizpah	43	person-?
tuangte	43	?-PL
sitbaang	43	cut.off-?
lungkia	43	feel-?
nangawnin	43	2SG-endure-?
nakpi	42	2SG-?
maangmuhna	42	?-NMLZ
ngaihno	42	think-?
ngetna	41	?-NMLZ
honte	41	?-PL
etna	41	?-NMLZ
hiangte	41	be-?-PL
thumanin	41	word-?
buaina	41	?-NMLZ
azariah	41	3SG-hear.I-?
kimanna	41	?-NMLZ
tuikulh	41	water-?
sarah	40	flesh-?
issakhar	40	1PL.INCL-?
puantualpi	40	cloth-?-big
hingkik	40	be-?
hithiat	40	be-?
site	40	cut.off-?
gensia	40	speak-?
kaleb	40	1SG-?
haina	40	?-NMLZ
lasaknate	40	?-PL
itte	40	1PL.INCL-?-PL
ahaziah	40	3SG-?
kampauna	40	1SG-?-NMLZ
amaziah	40	3SG-?
theithei	40	know.I-?
ngahtheih	40	get-?
khangsak	39	generation-?
sawlkhia	39	send-?
khualzin	39	town-?
pawlte	39	father-?-PL
kawmin	39	1SG-?
kauphe	39	1SG-?
gamkhing	39	land-?
ausan	39	3SG-?
pulnatna	39	?-NMLZ
cimawh	39	pierce-?
luanghawm	39	corpse-?
liangko	38	shine-?
zanglei	38	use-?
kalaohte	38	1SG-?-PL
sawmte	38	flesh-?-PL
awk	38	3SG-?
kalaoh	38	1SG-?
kammalte	38	1SG-?-PL
langte	38	?-PL
kahto	38	1SG-?
khuampi	38	town-?
kongkhakte	38	1SG→3-spirit-?-PL
cimawhte	38	pierce-?-PL
vakhu	37	walk-?
anlak	37	3SG-?
paisukin	37	go-?
kipawlna	37	?-NMLZ
bawngno	37	owe-?
nitakin	37	day-?
lumkhawm	37	warm-?
lungnuam	37	feel-?
cial	37	say-?
nidang	37	day-?
hoihpen	37	be.good-?
khakte	37	spirit-?-PL
nasemnu	37	2SG-serve-?
thumvei	37	word-?
barnabas	37	owe-?
khuh	36	?-PL
negeb	36	eat-?
kitotna	36	?-NMLZ
ngimna	36	?-NMLZ
nangawnah	36	2SG-endure-?
manna	36	?-NMLZ
nazatte	36	2SG-hear.I-?-PL
pial	36	give-?
sihon	36	die-?
alangte	36	3SG-?-PL
cingte	36	say-?-PL
aksite	35	3SG-?-PL
vawh	35	go.and-?
gamhluah	35	land-?
sepsak	35	work-?
khaktan	35	spirit-?
thuciam	35	word-?
bawngnawi	35	owe-?
khualmi	35	town-?-NMLZ.AG
vante	35	go.and-?-PL
nihin	35	day-?
vangik	35	go.and-?
vengpa	35	guard-?
bawlpa	35	make-?
lungduai	35	feel-?
cingtaak	35	say-?
galkidona	35	?-NMLZ
thumin	35	word-?
khangno	35	generation-?
vet	35	do-?
tunna	35	?-NMLZ
zaksa	35	hear.II-?
