word	count	entries
ak	4	L8997:a-k=3SG-?; L9167:a-k=3SG-?; L9265:ak=then/particle; L10817:ak=COMPL
amahmah	2	L7598:a-mah-mah=3SG-self-RED; L13220:a-mah-mah=3SG-self-self
amaute	2	L7337:a-mau-te=3-PL.base-PL; L12878:a-mau-te=3SG-EMPH-PL
ancilna	2	L8116:ancil-na=anoint-NMLZ; L12826:an-cil-na=corn-thresh-NMLZ
ang	2	L8231:a-ng=3SG-FUT; L10257:ang=be/become
angvan	3	L9616:ang-van=together-?; L10042:ang-van=face-see; L13799:ang-van=bright-sky
ankung	2	L8541:an-kung=3PL-tree; L9783:ankung=herb
anlate	3	L9655:an-la-te=3PL-take-PL; L13272:an-la-te=3PL-take-PL; L13807:an-la-te=PL-take-PL
anlim	2	L8903:an-lim=3PL-feast; L9821:anlim=dainty
anne	2	L9160:a-nne=3SG-food; L14740:Anne=ANNA
ansal	2	L10897:an-sal=grain-store; L11678:ansal=granary
ansite	2	L13805:an-site=others-?; L14611:ansi-te=chaff-PL
antan	3	L10090:an-tan=food-stop; L14614:an-tan=3PL-fast; L14777:antan=endure
ap	3	L7530:ap=entrust; L10172:ap=span; L10610:ap=devote
atul-amakin	2	L14359:a-tul-ama-kin=3SG-?-3PL-?; L14402:a-tul-ama-kin=3SG-follow-3PL-also
awk	2	L7234:awk=ram; L11673:awk=trap
awmgak	2	L13813:awm-gak=be-?; L14706:awm-gak=waist-bind
balnen	3	L8505:bal-nen=owe-?; L8981:bal-nen=owe-swallow; L9998:balnen=tear
bang	2	L7301:bang=what/like; L10204:bang=equal
bangzia	2	L7314:bang-zia=what-manner; L12834:bang-zia=what-like
bawlpha	2	L10249:bawl-pha=make-good; L12889:bawl-pha=fortify-strong
bawlsiate	2	L9004:bawl-sia-te=make-bad-PL; L11315:bawl-sia-te=do-evil-PL
bawngla	2	L8462:bawng-la=cattle-?; L8977:bawng-la=cattle-young.female
bawngnawi	3	L7912:bawng-nawi=cow-butter; L13434:bawng-nawi=cow-meat; L13881:bawng-nawi=cattle-bull
bawngpi	2	L8625:bawng-pi=cattle-big; L9677:bawngpi=cattle.big
behlap	2	L7845:beh-lap=tribe-half; L10406:behlap=grow
behpa	2	L12407:beh-pa=arm-NMLZ; L13219:beh-pa=capture-NMLZ
beisak	2	L7907:bei-sak=end-CAUS; L11732:bei-sak=finish-CAUS
belawi	2	L16530:bel-awi=leave-?; L16749:bel-awi=leave-winnow
beng	2	L9723:beng=companion; L10363:beng=hunt
biakbuk	2	L7141:biak-buk=worship-tent; L12881:biak-buk=worship-house
biakpiakna	2	L7473:biak-piak-na=worship-give.to-NMLZ; L12880:biak-piak-na=worship-offer-NMLZ
bil-aphuai	2	L14361:bil-ap-phuai=ear-close-?; L14398:bil-ap-huai=ear-close-full
bilvang	2	L8719:bil-vang=ear-strength; L9767:bilvang=loop
buhlom	2	L9072:buh-lom=rice-heap; L14492:buh-lom=rice-bundle
buksim	2	L9472:buk-sim=ambush-?; L9532:buk-sim=ambush-surround
buppi	2	L10448:bup-pi=all-big; L10866:bup-pi=all-great
cianga	2	L8247:ci-ang-a=say-FUT-NOM; L8328:ci-ang-a=say-FUT-LOC
ciangkang	2	L9435:ciang-kang=clear-stripe; L9811:ciangkang=rod
ciangkhut	2	L7590:ciang-khut=then-hand; L9983:ciang-khut=white-part
cil	3	L7761:cil=sprout; L9685:cil=beginning; L10694:cil=piece
cilesa	2	L9411:ci-le-sa=say-and-?; L9551:ci-le-sa=say-and-already
cilna	3	L8902:cil-na=begin-NMLZ; L12887:cil-na=command-NMLZ; L13900:cil-na=thresh-NMLZ
cin	2	L10048:cin=plant; L10715:cin=tend
cinatna	2	L8883:ci-nat-na=say-sick-NMLZ; L10979:ci-nat-na=become-sick-NMLZ
cingh	3	L8802:cingh=say.?; L8833:cingh=say.COMP; L13454:cing-h=lend-COMP
cithak	2	L8421:ci-thak=say-?; L8971:ci-thak=say-true
cithei	2	L8237:ci-thei=say-able; L12832:ci-thei=eye-evil
