line	word	segmentation	gloss
7119	sungah	sung-ah	inside-LOC
7120	tungah	tung-ah	on-LOC
7121	kiangah	kiang-ah	beside-LOC
7122	tangtungah	tangtung-ah	upon-LOC
7123	maih	mai-ah	front-LOC
7124	lai-ah	lai-ah	midst-LOC
7125	lakah	lak-ah	among-LOC
7126	munah	mun-ah	place-LOC
7127	innah	inn-ah	house-LOC
7128	khuaah	khua-ah	town-LOC
7129	gamah	gam-ah	land-LOC
7130	vantungah	vantung-ah	heaven-LOC
7131	leitungah	leitung-ah	earth-LOC
7132	khuapi-ah	khuapi-ah	city-LOC
7133	tawpna-ah	tawpna-ah	end.NMLZ-LOC
7134	meikhukah	meikhuk-ah	furnace-LOC
7137	dipkuathuai	dipkua-thuai	terrifying-INTENS
7138	lamethuai	lamet-huai	vanity
7141	biakbuk	biak-buk	worship-tent
7142	vei-a	vei-a	wave-LOC
7143	veia	vei-a	wave-LOC
7146	ci-in	ci-in	say-QUOT
7147	cih	ci-h	say-NOM
7148	ciin	ci-in	say-QUOT
7149	a ci hi	a ci hi	3SG say DECL
7152	dingin	ding-in	PROSP-ERG
7153	nadingun	na-ding-un	2SG-PROSP-IMP
7154	adingin	a-ding-in	3SG-PROSP-ERG
7155	kadingin	ka-ding-in	1SG-PROSP-ERG
7156	ading	a-ding	3SG-PROSP
7157	kading	ka-ding	1SG-PROSP
7158	tungta	tung-ta	arrive-PFV
7159	kipanta	ki-pan-ta	REFL-begin-PFV
7160	om ta	om ta	exist PFV
7163	thuhilhna	thu-hilh-na	word-teach-NMLZ
7164	mawhna	mawh-na	err-NMLZ
7165	nuntakna	nuntak-na	live-NMLZ
7166	thuciamna	thuciam-na	promise-NMLZ
7167	siatna	siat-na	destroy-NMLZ
7168	khialhna	khialh-na	wrong-NMLZ
7169	ngeina	ngei-na	know-NMLZ
7170	gamtatna	gamtat-na	rule.land-NMLZ
7171	biakna	biak-na	worship-NMLZ
7172	vangliatna	vangliat-na	strong-NMLZ
7173	lungdamna	lungdam-na	rejoice-NMLZ
7174	damna	dam-na	well-NMLZ
7175	kingaihna	ki-ngaih-na	REFL-desire-NMLZ
7176	kisikna	ki-sik-na	REFL-turn-NMLZ
7179	tapa	ta-pa	child-male
7180	tanu	ta-nu	child-female
7181	biakinn	biak-inn	worship-house
7182	khuapi	khua-pi	village-big
7183	leitung	lei-tung	land-on
7184	leitang	lei-tang	land-?
7185	vantung	van-tung	sky-on
7186	lungsim	lung-sim	stone-mind
7187	minam	mi-nam	person-kind
7188	kumpipa	kumpi-pa	king-male
7189	nasempa	nasem-pa	work.serve-male
7190	thupha	thu-pha	word-good
7191	thuthak	thu-thak	word-true
7194	kibawl	ki-bawl	REFL-make
7195	kibang	ki-bang	REFL-same
7196	kipan	ki-pan	REFL-begin
7197	kisai	ki-sai	REFL-concern
7198	kisik	ki-sik	REFL-turn
7199	kituah	ki-tuah	REFL-meet
7200	kikhen	ki-khen	REFL-divide
7201	kigelhna	ki-gelh-na	REFL-write-NMLZ
7202	kipankhia	ki-pan-khia	REFL-begin-exit
7203	kihongin	ki-hong-in	REFL-open-ERG
7204	kikhel	ki-khel	REFL-differ
7205	kipawlna	ki-pawl-na	REFL-associate-NMLZ
7206	kitotna	ki-tot-na	REFL-cut-NMLZ
7207	kilawmna	ki-lawm-na	REFL-worthy-NMLZ
7208	kihutna	ki-hut-na	REFL-shelter-NMLZ
7209	kilakna	ki-lak-na	REFL-appear-NMLZ
7212	innkuanpihte	innkuanpih-te	household-PL
7213	kiphatsakna	ki-phatsak-na	REFL-glorify-NMLZ
7216	hiangte	hiang-te	branch-PL
7217	hingkik	hing-kik	live-ITER
7218	ngahtheih	ngah-theih	get-ABIL
7219	hithiat	hi-thiat	be-quiet
7220	hoihpen	hoih-pen	good-TOP
7221	nitakin	ni-tak-in	day-exact-ERG
7222	pulnatna	pul-nat-na	fear-very-NMLZ
7223	ngimna	ngim-na	think-NMLZ
7224	haina	hai-na	possess-NMLZ
7227	kantanin	kantan-in	cross.over-ERG
7228	kammalte	kammal-te	word-PL
7229	kampauna	kampau-na	voice-NMLZ
7230	lasaknate	lasak-na-te	take.CAUS-NMLZ-PL
7231	cial	ci-al	say-must
7232	pial	pi-al	give-must
7233	zaksa	zak-sa	hear-PL.POSS
7234	awk	awk	ram
7235	vet	vet	do
7236	vawh	vawh	name
7237	puantualpi	puan-tual-pi	cloth-many.colored-big
7238	khutnuaiah	khut-nuai-ah	hand-below-LOC
7241	paisak	pai-sak	go-CAUS
7242	damsak	dam-sak	well-CAUS
7243	suaksak	suak-sak	become-CAUS
7244	maisak	mai-sak	face-CAUS
7245	kumsuk	kum-suk	bow-CAUS
7246	sepsak	sep-sak	work-CAUS
7249	paipih	pai-pih	go-APPL
7250	honpih	hon-pih	come-APPL
7253	thawhkhiat	thawh-khiat	rise-emerge
7254	honkhia	hon-khia	come-exit
7255	paikhia	pai-khia	go-exit
7256	lutkhia	lut-khia	enter-exit
7257	bawlkhol	bawl-khol	make-prepare
7258	tuiphum	tui-phum	water-immerse
7261	hunhoih	hun-hoih	time-good
7262	tawntung	tawn-tung	ever-always
7263	nipi	ni-pi	day-great
7266	mahmah	mahmah	very
7267	lungkim	lung-kim	heart-full
7268	lungzing	lung-zing	heart-anguish
7269	thakhat	tha-khat	spirit-one
7272	khempeuhte	khempeuh-te	all-PL
7273	khempeuhah	khempeuh-ah	all-LOC
7274	khempeuhin	khempeuh-in	all-ERG
7275	peuhpeuh	peuh-peuh	DISTR-DISTR
7278	paito	pai-to	go-UP
7279	paitoin	pai-to-in	go-UP-ERG
7280	paisuk	pai-suk	go-DOWN
7281	paisukin	pai-suk-in	go-DOWN-ERG
7284	ciangin	ciang-in	then-ERG
7285	hangin	hang-in	because-ERG
7286	bangin	bang-in	like-ERG
7287	manin	man-in	reason-ERG
7288	zongin	zong-in	although-ERG
7289	ahihleh	a-hih-leh	3SG-be.II-if
7290	hitaleh	hi-ta-leh	be-PFV-if
7291	laitakin	lai-tak-in	midst-exact-ERG
7294	loh	lo-h	NEG-NOM
7295	loin	lo-in	NEG-ERG
7296	kuamah	kua-mah	who-EMPH
7297	bangmah	bang-mah	what-EMPH
7298	bangmahin	bang-mah-in	what-EMPH-ERG
7301	bang	bang	what/like
7302	bangci	bang-ci	what-say
7303	banga	bang-a	what-LOC
7304	bangun	bang-un	what-PL
7305	bangzah	bang-zah	what-quantity
7306	bangbang	bang-bang	what-RED
7307	bangte	bang-te	what-PL
7308	bangzahin	bang-zah-in	what-quantity-ERG
7309	bangbangin	bang-bang-in	what-RED-ERG
7310	bangsak	bang-sak	what-CAUS
7311	bangcih	bang-cih	what-say.NOM
7312	bangsakkik	bang-sak-kik	what-CAUS-ITER
7313	bangteng	bang-teng	what-dwell
7314	bangzia	bang-zia	what-manner
7315	bangkik	bang-kik	what-ITER
7316	bangbangun	bang-bang-un	what-RED-PL
7317	bangpi	bang-pi	what-big
7318	bangkhat	bang-khat	what-one
7319	bangah	bang-ah	what-LOC
7320	bangta	bang-ta	what-PFV
7323	banah	ban-ah	besides-LOC
7326	sawmahkhat	sawm-ah-khat	ten-LOC-one
7329	panin	panin	ABL
7330	sangin	sang-in	high-ERG
7331	tawh	tawh	COM
7334	keimah	kei-mah	1SG.base-EMPH
7335	nangmah	nang-mah	2SG.base-EMPH
7336	amah	a-mah	3SG-EMPH
7337	amaute	a-mau-te	3-PL.base-PL
7340	kisikkik	ki-sik-kik	REFL-turn-ITER
7341	nawnkik	nawn-kik	still-ITER
7344	pai-in	pai-in	go-ERG
7345	om-in	om-in	exist-ERG
7346	thu-in	thu-in	word-ERG
7347	nusia-in	nusia-in	abandon-ERG
7348	paikhia-in	pai-khia-in	go-exit-ERG
7349	zui-in	zui-in	follow-ERG
7352	kikhopna	ki-khop-na	REFL-gather-NMLZ
7353	natna	nat-na	ill-NMLZ
7354	gamdaihna	gam-daih-na	land-wide-NMLZ
7355	paina	pai-na	go-NMLZ
7356	khuami	khua-mi	town-person
7357	mawhnate	mawh-na-te	err-NMLZ-PL
7360	gilote	gilo-te	enemy-PL
7361	dawite	dawi-te	demon-PL
7362	ahite	a-hi-te	3SG-be-PL
7365	nakpitakin	nak-pi-tak-in	strong-big-exact-ERG
7368	an	an	3PL.POSS
7369	pan	pan	begin/side
7370	leitang	lei-tang	land-earth
7371	thute	thu-te	word-PL
7372	tu-in	tu-in	now-ERG
7373	tuate	tua-te	DIST-PL
7374	ciang	ciang	then
7375	neih	nei-h	have-NOM
7376	ni-in	ni-in	day-ERG
7377	nai	nai	near
7378	omna	om-na	exist-NMLZ
7379	gamtat	gam-tat	land-rule
7380	gimna	gim-na	suffer-NMLZ
7381	kham	kham	forbid
7382	thuman	thu-man	word-reason
7385	ahihna	a-hih-na	3SG-be.NOM-NMLZ
7386	cihna	cih-na	say.NOM-NMLZ
7387	theihna	theih-na	know.II-NMLZ
7388	hoihna	hoih-na	good-NMLZ
7389	bawlna	bawl-na	make-NMLZ
7390	piakna	piak-na	give.to-NMLZ
7391	genna	gen-na	speak-NMLZ
7392	kikona	kiko-na	cry.out-NMLZ
7393	thuakna	thuak-na	suffer-NMLZ
7394	sawlna	sawl-na	send-NMLZ
7397	kumpite	kumpi-te	king-PL
7398	thugente	thugen-te	preacher-PL
7399	numeite	numei-te	woman-PL
7400	kamsangte	kamsang-te	prophet-PL
7401	gamte	gam-te	land-PL
7402	tanute	tanu-te	daughter-PL
7403	biaknate	biakna-te	worship-PL
7404	tuite	tui-te	water-PL
7405	neite	nei-te	have-PL
7406	gamtatnate	gamtatna-te	kingdom-PL
7407	kamtaite	kamtai-te	messenger-PL
7408	innte	inn-te	house-PL
7409	hoihte	hoih-te	good-PL
7410	nihte	nih-te	two-PL
7411	thumte	thum-te	three-PL
7412	liante	lian-te	big-PL
7413	ukte	uk-te	rule-PL
7414	lote	lo-te	NEG-PL
7417	napi-in	na-pi-in	manner-big-ERG
7418	lai-in	lai-in	midst-ERG
7419	pia-in	pia-in	give-ERG
7420	kisai-in	ki-sai-in	REFL-concern-ERG
7421	biakna-in	biakna-in	worship-ERG
7422	hinapi-in	hi-na-pi-in	be-?-big-ERG
7423	cihin-ah	cih-in-ah	say.II-ERG-LOC
7424	genin-ah	gen-in-ah	speak-ERG-LOC
7425	ma-in	ma-in	self-ERG
7426	zan-in	zan-in	night-ERG
7427	muhna-ah	muh-na-ah	see.II-NMLZ-LOC
7428	gei-ah	gei-ah	edge-LOC
7431	ciahkik	ciah-kik	return-ITER
7432	paisuak	pai-suak	go-become
7433	paisuk	pai-suk	go-CAUS
7434	paito	pai-to	go-sit
7435	paikhiatpih	pai-khiat-pih	go-emerge-APPL
7436	semsem	sem-sem	serve-RED
7439	khatpeuh	khat-peuh	one-every
7440	khatlekhat	khat-le-khat	one-and-one
7441	khatah	khat-ah	one-LOC
7442	sawmthum	sawm-thum	ten-three
7443	sawmli	sawm-li	ten-four
7444	sagih	sagih	seven
7445	vekpi-in	vek-pi-in	all-big-ERG
7448	tokhom	to-khom	sit-gather
7449	hoihtak	hoih-tak	good-exact
7450	thahat	tha-hat	strong-firm
7451	thukhen	thu-khen	word-divide
7452	neihsa	neih-sa	have.II-PAST
7454	minthanna	min-than-na	name-bless-NMLZ
7455	suanlekhakte	suanlekhak-te	genealogy-PL
7456	nisuahna	ni-suah-na	day-birth-NMLZ
7457	mihingte	mi-hing-te	person-kind-PL
7458	zanin	zan-in	night-ERG
