word	entries
biakbuk	L7141:biak-buk=worship-tent; L12881:biak-buk=worship-house
kingaihna	L7175:ki-ngaih-na=REFL-desire-NMLZ; L14694:ki-ngaih-na=REFL-love-NMLZ
awk	L7234:awk=ram; L11673:awk=trap
vawh	L7236:vawh=name; L10024:vawh=arise
puantualpi	L7237:puan-tual-pi=cloth-many.colored-big; L7849:puan-tual-pi=cloth-generation-big
paito	L7278:pai-to=go-UP; L7434:pai-to=go-sit
paisuk	L7280:pai-suk=go-DOWN; L7433:pai-suk=go-CAUS
bang	L7301:bang=what/like; L10204:bang=equal
bangzia	L7314:bang-zia=what-manner; L12834:bang-zia=what-like
amaute	L7337:a-mau-te=3-PL.base-PL; L12878:a-mau-te=3SG-EMPH-PL
kham	L7381:kham=forbid; L10767:kham=gather
piakna	L7390:piak-na=give.to-NMLZ; L12828:piak-na=give-NMLZ; L13824:piak-na=give.to-NMLZ
thuakna	L7393:thuak-na=suffer-NMLZ; L12830:thuak-na=afflict-NMLZ
ukte	L7413:uk-te=rule-PL; L8330:uk-te=tent-PL
khatpeuh	L7439:khat-peuh=one-every; L11312:khat-peuh=one-whosoever
nitak	L7466:ni-tak=day-exact; L13910:ni-tak=sun-set
nihna	L7468:nih-na=two-NMLZ; L12816:nih-na=second-NMLZ
biakpiakna	L7473:biak-piak-na=worship-give.to-NMLZ; L12880:biak-piak-na=worship-offer-NMLZ
hoihzaw	L7484:hoih-zaw=good-more; L12872:hoih-zaw=well-more
kawikawi	L7496:kawi-kawi=crooked-RED; L8332:kawi-kawi=forth~forth
lui	L7511:lui=river; L10217:lui=old; L10551:lui=tell
sepna	L7512:sep-na=work-NMLZ; L12814:sep-na=do-NMLZ
thungetna	L7513:thu-nget-na=word-request-NMLZ; L9899:thu-nget-na=word-pray-NMLZ
dingte	L7523:ding-te=stand-PL; L13181:ding-te=PROSP-PL; L13835:ding-te=PROSP-PL
pawi	L7525:pawi=Pawi; L9663:pawi=feast
pang	L7526:pang=side/small; L9697:pang=branch
san	L7529:san=flee; L9703:san=garlic; L10270:san=rely
ap	L7530:ap=entrust; L10172:ap=span; L10610:ap=devote
thuk	L7534:thuk=deep; L9671:thuk=deep; L10195:thuk=deep; L10539:thuk=revenge
khak	L7537:khak=limit; L10607:khak=lock
makaite	L7569:makai-te=leader-PL; L14508:makai-te=chief-PL
pawlpi	L7584:pawl-pi=group-big; L11323:pawl-pi=group-big; L13204:pawl-pi=group-great
ciangkhut	L7590:ciang-khut=then-hand; L9983:ciang-khut=white-part
amahmah	L7598:a-mah-mah=3SG-self-RED; L13220:a-mah-mah=3SG-self-self
