word	entries
amahmah	L7586:a-mah-mah=3SG-self-RED; L12984:a-mah-mah=3SG-self-self
bangzia	L7313:bang-zia=what-manner; L12614:bang-zia=what-like
bawlpha	L10070:bawl-pha=make-good; L12667:bawl-pha=fortify-strong
bawlsiate	L8879:bawl-sia-te=make-bad-PL; L11121:bawl-sia-te=do-evil-PL
bawngnawi	L7888:bawng-nawi=cow-butter; L13194:bawng-nawi=cow-meat; L13608:bawng-nawi=cattle-bull
behpa	L12194:beh-pa=arm-NMLZ; L12983:beh-pa=capture-NMLZ
beisak	L7883:bei-sak=end-CAUS; L11523:bei-sak=finish-CAUS
biakbuk	L7141:biak-buk=worship-tent; L12659:biak-buk=worship-house
biakpiakna	L7471:biak-piak-na=worship-give.to-NMLZ; L12658:biak-piak-na=worship-offer-NMLZ
buhlom	L8947:buh-lom=rice-heap; L14191:buh-lom=rice-bundle
buppi	L10266:bup-pi=all-big; L10681:bup-pi=all-great
cilna	L8791:cil-na=begin-NMLZ; L12665:cil-na=command-NMLZ; L13627:cil-na=thresh-NMLZ
cinatna	L8775:ci-nat-na=say-sick-NMLZ; L10794:ci-nat-na=become-sick-NMLZ
dingpi	L11887:ding-pi=stand-great; L13207:ding-pi=stand-big
gamlapi	L7806:gam-la-pi=land-take-big; L12737:gam-la-pi=land-field-great
golpi	L8952:gol-pi=round-big; L14895:gol-pi=grow-big
golpite	L12182:gol-pi-te=whale-great-PL; L14896:gol-pi-te=grow-big-PL
haksapi	L10389:hak-sa-pi=heavy-flesh-great; L12342:hak-sa-pi=difficult-PAST-great
hawmpi	L10826:hawm-pi=arrange-great; L13210:hawm-pi=join-big
hihna	L7692:hih-na=this-NMLZ; L13198:hih-na=be-NMLZ
hoihzaw	L7478:hoih-zaw=good-more; L12651:hoih-zaw=well-more
honpite	L7904:hon-pi-te=flock-big-PL; L11135:hon-pi-te=many-big-PL
innkuante	L7638:inn-kuan-te=house-household-PL; L13538:inn-kuan-te=house-family-PL
innsun	L13131:inn-sun=house-side; L14880:inn-sun=house-shade
khapna	L8625:khap-na=forbid-NMLZ; L12662:khap-na=pledge-NMLZ
khekna	L10898:khek-na=fail-NMLZ; L13221:khek-na=give.in-NMLZ
kigenna	L8245:ki-gen-na=REFL-explain-NMLZ; L14202:ki-gen-na=REFL-speak-NMLZ
kingaihna	L7175:ki-ngaih-na=REFL-desire-NMLZ; L14390:ki-ngaih-na=REFL-love-NMLZ
koihpa	L11513:koih-pa=place-NMLZ.M; L12964:koih-pa=set-NMLZ; L12974:koih-pa=put-NMLZ
mawhsakna	L7639:mawh-sak-na=err-CAUS-NMLZ; L9732:mawh-sak-na=sin-CAUS-NMLZ
mipi	L10073:mi-pi=person-great; L13562:mi-pi=person-big
nihna	L7466:nih-na=two-NMLZ; L12600:nih-na=second-NMLZ
pahtawina	L7757:pah-tawi-na=do-honor-NMLZ; L13204:pah-tawi-na=feast-sorrow-NMLZ
pawlpi	L7574:pawl-pi=group-big; L12972:pawl-pi=group-great
pawlpite	L7911:pawl-pi-te=group-big-PL; L12962:pawl-pi-te=group-great-PL
piakna	L7389:piak-na=give.to-NMLZ; L12609:piak-na=give-NMLZ
puantualpi	L7236:puan-tual-pi=cloth-many.colored-big; L7825:puan-tual-pi=cloth-generation-big
sawmsimna	L9778:sawmsim-na=conspiracy-NMLZ; L11340:sawmsim-na=conspire-NMLZ
semsemna	L12845:sem-sem-na=hate-REDUP-NMLZ; L12986:sem-sem-na=divide-REDUP-NMLZ
sepna	L7505:sep-na=work-NMLZ; L12599:sep-na=do-NMLZ
sinna	L11041:sin-na=sin-NMLZ; L12684:sin-na=prepare-NMLZ
tawnna	L11939:tawn-na=reproof-NMLZ; L14200:tawn-na=meet-NMLZ
thuakna	L7392:thuak-na=suffer-NMLZ; L12610:thuak-na=afflict-NMLZ
thungetna	L7506:thu-nget-na=word-request-NMLZ; L9728:thu-nget-na=word-pray-NMLZ
vaihawmna	L8854:vai-hawm-na=go-together-NMLZ; L9724:vai-hawm-na=plan-counsel-NMLZ
zuauna	L10107:zuau-na=lie-NMLZ; L14145:zuau-na=vain-NMLZ
zuihna	L7640:zuih-na=follow.II-NMLZ; L12664:zuih-na=turn-NMLZ
zumhuaina	L10917:zum-huai-na=filth-bad-NMLZ; L13907:zum-huai-na=trust-full-NMLZ
zumhuaipi	L10735:zum-huai-pi=filth-bad-great; L12341:zum-huai-pi=unclean-mix-great
