word	entries
gamtatna	L7170:gamtat-na=rule.land-NMLZ; L12863:gam-tat-na=earth-curse-NMLZ
vangliatna	L7172:vangliat-na=strong-NMLZ; L10081:vang-liat-na=glory-power-NMLZ
ngimna	L7223:ngim-na=think-NMLZ; L9745:ngimna=imagination
natna	L7353:nat-na=ill-NMLZ; L9785:natna=disease
neih	L7375:nei-h=have-NOM; L10463:neih=have
theihna	L7387:theih-na=know.II-NMLZ; L9689:theihna=knowledge
thugente	L7398:thugen-te=preacher-PL; L11354:thu-gen-te=word-tell-PL
semsem	L7436:sem-sem=serve-RED; L9990:semsem=breathe
tokhom	L7448:to-khom=sit-gather; L9930:tokhom=throne
minthanna	L7454:min-than-na=name-bless-NMLZ; L11656:minthan-na=glory-NMLZ
gamgi	L7467:gam-gi=land-boundary; L9699:gamgi=border; L12883:gam-gi=land-year
gitlohna	L7514:git-loh-na=hate-NEG-NMLZ; L9761:gitlohna=wickedness
pawlkhatte	L7522:pawl-khat-te=some-one-PL; L10963:pawl-khatte=group-fifty; L11309:pawl-khat-te=group-one-PL
zuih	L7535:zui-h=follow-NOM; L10302:zuih=hang
lungkhamna	L7556:lung-kham-na=heart-anxiety-NMLZ; L9791:lungkhamna=tribulation
phatna	L7558:phat-na=praise-NMLZ; L9795:phatna=praise; L13436:phat-na=praise-NMLZ; L13672:phat-na=praise-NMLZ
hauhna	L7563:hauh-na=shout-NMLZ; L9793:hauhna=riches
lakhia	L7592:lak-khia=take-exit; L7877:la-khia=take-out
namtui	L7594:nam-tui=kind-water; L9833:namtui=perfume
nopsakna	L7617:nop-sak-na=want-CAUS-NMLZ; L9921:nopsak-na=restore-NMLZ
kikoih	L7622:ki-koih=REFL-put; L9687:kikoih=foundation
vanglian	L7651:vang-lian=power-big; L9660:vanglian=mighty; L11570:vanglian=almighty
namsau	L7711:nam-sau=long.hair; L9881:namsau=knife; L14858:nam-sau=sword-long
leenggah	L7743:leeng-gah=grape-cluster; L7809:leeng-gah=grape-fruit; L9815:leenggah=grape
behlap	L7845:beh-lap=tribe-half; L10406:behlap=grow
palsat	L7846:pal-sat=wall-strike; L9957:palsat=transgress
theithei	L7873:thei~thei=know.I~RED; L12833:thei-thei=know-REDUP
galkidona	L7897:gal-kido-na=enemy-fight-NMLZ; L12604:gal-kidona=war-sword
liangko	L7927:liangko=shoulder; L10027:liangko=shoulder; L12810:liang-ko=shoulder-both; L13198:liang-ko=shoulder-both
kihtakhuai	L7932:kihtak-huai=dread-causing; L14770:kih-takhuai=abhor-despise
geelna	L7942:geel-na=plan-NMLZ; L9787:geelna=way
vaikhak	L8028:va-i-khak=go.and-?-approach; L8322:va-i-khak=go-?-command; L8431:va-i-khak=go-?-command; L8966:vai-khak=go-command
khuamluzepna	L8043:khua-mlu-zep-na=town-head-bow-NMLZ; L9889:khuam-luzep-na=pole-encircle-NMLZ
thukan	L8051:thu-kan=word-hold; L11532:thukan=messenger
ancilna	L8116:ancil-na=anoint-NMLZ; L12826:an-cil-na=corn-thresh-NMLZ
muhdahhuai	L8145:muhdah-huai=trouble-worthy; L13070:muh-dah-huai=see-hate-mix; L13216:muh-dah-huai=smell-bad-hateful
nengniam	L8153:neng-niam=stranger-oppress; L9755:nengniam=oppressor; L13211:neng-niam=stranger-oppress
kawlsing	L8156:kawl-sing=fry-wood; L15195:kawlsing=pomegranate
dangtak	L8189:dang-tak=other-true; L9897:dangtak=weary; L11601:dangtak=thirst
kaikhawmin	L8197:kai-khawm-in=gather-together-ERG; L8354:ka-i-khawm-in=1SG-?-gather-ERG; L8967:ka-i-khawm-in=1SG-go-gather-ERG
kahlei	L8207:kahlei=ladder; L13803:kah-lei=behind-earth
netum	L8209:ne-tum=eat-full; L15964:netum=young.woman
ang	L8231:a-ng=3SG-FUT; L10257:ang=be/become
khutme	L8234:khut-me=hand-span; L9801:khutme=finger
kiphasakte	L8268:ki-phasa-te=REFL-bless-PL; L12668:ki-pha-sak-te=REFL-save-CAUS-PL; L13466:ki-pha-sak-te=REFL-good-CAUS-PL
theikung	L8281:theih-kung=oil-tree; L9926:thei-kung=fruit-tree
gamsa	L8299:gam-sa=land-meat; L9669:gamsa=beast
vaihawmna	L8351:va-i-hawm-na=go-?-together-NMLZ; L8432:va-i-hawm-na=go-?-together-NMLZ; L8969:vai-hawm-na=go-together-NMLZ; L9895:vai-hawm-na=plan-counsel-NMLZ
kaikhia	L8390:ka-i-khia=1SG-?-exit; L8437:ka-i-khia=1SG-?-exit; L8968:ka-i-khia=1SG-go-exit; L12831:kai-khia=draw-out
puantungsilh	L8473:puan-tung-silh=cloth-head-wrap; L9845:puantungsilh=coat
pakan	L8481:pa-kan=father-?; L8978:pa-kan=father-?; L9092:pakan=spoon
balnen	L8505:bal-nen=owe-?; L8981:bal-nen=owe-swallow; L9998:balnen=tear
vanmanpha	L8507:van-manpha=go.and-precious; L9885:vanmanpha=treasure
ankung	L8541:an-kung=3PL-tree; L9783:ankung=herb
hazatna	L8542:ha-zat-na=hot-?-NMLZ; L9179:hazat-na=jealousy-NMLZ
kahto-in	L8548:ka-hto-in=1SG-ascend-ERG; L14732:kah-to-in=climb-up-ERG
sawmsim	L8549:sawm-sim=ten-count; L9951:sawmsim=conspire; L11543:sawmsim=conspire
lianpipi	L8554:lian-pi-pi=big-big-big; L9771:lianpipi=great
husanna	L8565:husa-nna=flood-NMLZ; L14738:husanna=hosanna
khebaite	L8610:kheba-i-te=?-?-PL; L9110:khebai-te=foreign-PL
bawngpi	L8625:bawng-pi=cattle-big; L9677:bawngpi=cattle.big
niamkhiat	L8665:niam-khiat=low-depart; L11702:niamkhiat=humble
khausai	L8669:khau-sai=spirit-?; L9002:khua-sai=spirit-?; L9148:khua-sai=spirit-voice
tuutalte	L8677:tuut-al-te=hand-?-PL; L9546:tuutal-te=ram-PL; L13534:tuu-tal-te=flock-POSS-PL
khainiang	L8705:khai-niang=hold-young; L9843:khainiang=chain
bilvang	L8719:bil-vang=ear-strength; L9767:bilvang=loop
paang	L8729:paang=father.?; L9161:pa-ang=father-side
kahtohna	L8741:ka-htoh-na=1SG-ascend-NMLZ; L14730:kah-toh-na=climb-up-NMLZ
pawite	L8746:paw-i-te=father-?-PL; L9662:pawi-te=feast-PL
lumlet	L8755:lum-let=warm-return; L11629:lumlet=overturn
tute	L8781:tut-e=sleep-?; L8824:tu-te=now-PL
palsatin	L8788:pal-sat-in=?-strike-ERG; L8829:pal-sat-in=?-strike-ERG; L9988:palsat-in=transgress-ERG
cingh	L8802:cingh=say.?; L8833:cingh=say.COMP; L13454:cing-h=lend-COMP
tuili	L8872:tui-li=water-?; L8938:tui-li=water-flow; L9679:tuili=stream
kauphete	L8880:kau-phe-te=call-?-PL; L8940:kau-phe-te=call-?-PL; L9196:kau-phe-te=call-?-PL; L9282:kau-phe-te=call-?-PL; L9322:kauphe-te=locust-PL
kipsakna	L8892:ki-psa-kna=REFL-?-NMLZ; L8945:ki-psak-na=REFL-bless-NMLZ; L14719:kip-sak-na=firm-CAUS-NMLZ
kihhuaina	L8897:ki-hhuai-na=REFL-dread-NMLZ; L9892:kihhuai-na=abominate-NMLZ; L14725:ki-huai-na=REFL-abominate-NMLZ
anlim	L8903:an-lim=3PL-feast; L9821:anlim=dainty
lungmang	L8924:lung-mang=heart-forget; L11747:lungmang=dismay
ak	L8997:a-k=3SG-?; L9167:a-k=3SG-?; L9265:ak=then/particle; L10817:ak=COMPL
daupai	L9079:dau-pai=war-pour; L11550:daupai=prosper
anne	L9160:a-nne=3SG-food; L14740:Anne=ANNA
patna	L9197:pa-t-na=father-?-NMLZ; L9287:pat-na=trust-NMLZ
innlam	L9201:inn-lam=house-side; L9759:innlam=builder
paizia	L9203:pai-zia=go-manner; L11739:paizia=way
lokho	L9239:lo-kho=able.NEG-?; L9875:lokho=farmer
zinei	L9319:zi-nei=wife-have; L10144:zinei=marry; L15078:zi-nei=wife-have
miphak	L9345:mi-phak=person-half; L9835:miphak=leper
pahtawi-in	L9386:pa-htawi-in=male-old.man-ERG; L14736:pah-tawi-in=honor-carry-ERG
thupalsatna	L9405:thu-pal-sat-na=word-cross-cut-NMLZ; L9879:thu-palsat-na=word-transgress-NMLZ
ciangkang	L9435:ciang-kang=clear-stripe; L9811:ciangkang=rod
zawt	L9462:zawh-t=finish-?; L9600:zawh-t=strong-?; L9991:zawt=weary
pataukohna	L9489:pa-tau-koh-na=male-?-call-NMLZ; L9544:pa-tau-koh-na=male-?-call-NMLZ; L10028:pataukoh-na=alarm-NMLZ
limlang	L9521:lim-lang=image-reflect; L15841:limlang=mirror
sawmngate	L9661:sawmnga-te=fifty-PL; L13207:sawm-nga-te=ten-five-PL
nengniamte	L9754:nengniam-te=oppressor-PL; L11313:neng-niam-te=oppress-low-PL
mithagol	L9769:mithagol=giant; L11411:mitha-gol=giant-?; L11489:mitha-gol=person-giant
tagahte	L9796:tagah-te=orphan-PL; L13750:ta-gah-te=child-fruit-PL
kihhuainate	L9891:kihhuaina-te=abomination-PL; L14727:ki-huai-na-te=REFL-abominate-NMLZ-PL
kisa	L9905:kisa=proud; L12873:ki-sa=REFL-PAST
tonu	L10012:tonu=mistress; L13191:to-nu=lord-woman; L13205:to-nu=lord-woman
antan	L10090:an-tan=food-stop; L14614:an-tan=3PL-fast; L14777:antan=endure
hihloh	L10242:hi-hloh=be-NEG; L14760:hih-loh=this-NEG.NOM
thangsiah	L10322:thang-siah=speak-compose; L11698:thangsiah=deceive
meidawi	L10354:mei-dawi=fire-fear; L15068:meidawi=feeble.minded
kilkel	L10525:ki-lkel=REFL-leave; L14749:kil~kel=clear~RED
momai	L10622:mo-mai=dry-without; L15080:momai=scorpion
kipsuak	L10664:ki-psuak=REFL-take; L14763:kip-suak=firm-become
zonna	L10892:zon-na=seek-NMLZ; L14205:zo-na=finish-NMLZ
ansal	L10897:an-sal=grain-store; L11678:ansal=granary
thalawh	L11077:thal-awh=bow-?; L11150:thal-awh=bow-young; L15142:thalawh=bride.price
vatawt	L11114:va-tawt=go.and-?; L11409:vatawt=owl
sikli	L11152:sik-li=robe-?; L11317:sikli=cubit
luai	L11199:lua-i=exceed-?; L11318:luai=pillar
sawkin	L11518:sa-wkin=flesh-?; L11733:sawk-in=put.hand.into-INST
hihlo	L11535:hi-hlo=be-NEG; L14761:hih-lo=this-NEG
leibat	L11554:leibat=debt; L15983:lei-bat=debt-bind
enen	L11863:en-en=look-REDUP; L15176:en~en=look~RED
phulapa	L12562:phula-pa=avenger-NMLZ; L13494:phu-la-pa=avenge-NMLZ-M
kidona	L12603:kidona=sword; L12890:ki-don-a=REFL-war-LOC
sealt	L12606:se-alt=beast-island; L12988:se-alt=beast-island; L13830:seal-t=seal-?
gulpi	L12650:gul-pi=serpent-great; L13506:gul-pi=serpent-big; L15059:gulpi=dragon
sotto	L12661:so-tto=go-come; L14765:so~tto=other~RED
tahum	L12714:ta-hum=enemy-sow; L15816:tahum=tares
lamun	L12752:la-mun=garment-cover; L13114:lam-un=direction-3PL
madawk	L12842:ma-dawk=that-morrow; L15113:madawk=edge
napiun	L12911:na-pi-un=2PL-great-3PL; L13820:napi-un=but-PL.IMP
vasakalaohte	L13046:va-sa-kalaoh-te=bird-meat-INTERJ-PL; L14295:va-sa-kala-oh-te=bird-flesh-owl-type-PL
kansak	L13164:kan-sak=dry-CAUS; L14751:kansak=dry.up
kipsaknate	L13372:ki-psak-na-te=REFL-ledge-NMLZ-PL; L14722:kip-sak-na-te=firm-CAUS-NMLZ-PL
ansite	L13805:an-site=others-?; L14611:ansi-te=chaff-PL
bil-aphuai	L14361:bil-ap-phuai=ear-close-?; L14398:bil-ap-huai=ear-close-full
thakhauhsak	L14474:thak-hauh-sak=new-strong-CAUS; L15831:tha-khauh-sak=strength-strong-CAUS
kamciamsa	L14615:ka-mciam-sa=1SG-vow-NOM; L14784:kam-ciam-sa=word-promise-PERF
kahtohpih	L14617:ka-htoh-pih=1SG-set-APPL; L14782:kah-toh-pih=climb-up-with
naksiat	L14623:na-ksiat=2SG-fall; L14773:naksiat=ruin
zaptelte	L14844:zap-tel-te=flutter-?-PL; L15294:zaptel-te=swift-PL
miksite	L14917:mik-si-te=eye-?-PL; L15825:miksi-te=ant-PL
kidomkaang	L14979:kidom-kaang=catch-?; L16541:ki-dom-kaang=REFL-stand-straight
mavan	L15239:ma-van=NEG-empty; L15906:mavan=wonder
