word	freq	segmented	gloss
tuahun	12	tuahun	?
tamlua	12	tamlua	?
ng	11	ng	?
kinawh	10	kinawh	?
guallel	10	guallel	?
kiciang	10	kiciang	?
lapa	10	lapa	?
lokho	10	lokho	?
zuautat	9	zuautat	?
hehlua	9	hehlua	?
kibulh	9	kibulh	?
khim	9	khim	?
tuahkhak	9	tuahkhak	?
taangkhia	9	taangkhia	?
kiimnai	9	kiimnai	?
sungtumin	9	sungtumin	?
koilai	9	koilai	?
kisimmawh	9	kisimmawh	?
tawmvei	9	tawmvei	?
phuahtawm	9	phuahtawm	?
sunkim	9	sunkim	?
lawp	9	lawp	?
puksi	9	puksi	?
kitamzan	9	kitamzan	?
ututin	9	ututin	?
huzo	9	huzo	?
mopawi	9	mopawi	?
gilopa	9	gilopa	?
bikbek	8	bikbek	?
bucip	8	bucip	?
gimnam	8	gimnam	?
put	8	put	?
hori	8	hori	?
meek	8	meek	?
tem	8	tem	?
giah	8	giah	?
hah	8	hah	?
kikholh	8	kikholh	?
mangpha	8	mangpha	?
kilawi	8	kilawi	?
kilai	8	kilai	?
efrath	8	efrath	?
buhlom	8	buhlom	?
dawh	8	dawh	?
sulzuih	8	sulzuih	?
haksapi	8	haksapi	?
hemkhia	8	hemkhia	?
meengkhia	8	meengkhia	?
sutkhia	8	sutkhia	?
hel	8	hel	?
phe	8	phe	?
kidiah	8	kidiah	?
kinitsak	8	kinitsak	?
laipi	8	laipi	?
tawisuang	8	tawisuang	?
kikhin	8	kikhin	?
kilaktoh	8	kilaktoh	?
kiphah	8	kiphah	?
liat	8	liat	?
galbawl	8	galbawl	?
golpi	8	golpi	?
gilvah	8	gilvah	?
daupai	8	daupai	?
ngong	8	ngong	?
kisut	8	kisut	?
khikhe	8	khikhe	?
lamdung	8	lamdung	?
kuankhiat	8	kuankhiat	?
thangling	8	thangling	?
khinkhia	8	khinkhia	?
lawmnu	8	lawmnu	?
ngia	8	ngia	?
domto	8	domto	?
phalvak	8	phalvak	?
horonaim	8	horonaim	?
tuakkha	8	tuakkha	?
lasa	8	lasa	?
pom	8	pom	?
dimdiam	8	dimdiam	?
meiphual	8	meiphual	?
pholak	8	pholak	?
guahpi	8	guahpi	?
siasa	8	siasa	?
pelmawh	8	pelmawh	?
singhiang	8	singhiang	?
kinusiacip	8	kinusiacip	?
dip	8	dip	?
ngim	8	ngim	?
limtak	8	limtak	?
kiak	8	kiak	?
kiphatsak	8	kiphatsak	?
mahun	8	mahun	?
kithatlum	8	kithatlum	?
dimtakin	8	dimtakin	?
dahhuai	8	dahhuai	?
henhan	8	henhan	?
sunteng	8	sunteng	?
lipkhaphuai	8	lipkhaphuai	?
ututun	8	ututun	?
kisaktheih	8	kisaktheih	?
kithokiksak	8	kithokiksak	?
tunma	8	tunma	?
kuumpi	7	kuumpi	?
gimpi	7	gimpi	?
kop	7	kop	?
manthan	7	manthan	?
seba	7	seba	?
phukham	7	phukham	?
mak	7	mak	?
kikhat	7	kikhat	?
haza	7	haza	?
kiphel	7	kiphel	?
gega	7	gega	?
phazaw	7	phazaw	?
meisuang	7	meisuang	?
kithawisa	7	kithawisa	?
taikhiat	7	taikhiat	?
than	7	than	?
lahtel	7	lahtel	?
kitang	7	kitang	?
kihual	7	kihual	?
kikeek	7	kikeek	?
langnih	7	langnih	?
kilawh	7	kilawh	?
simto	7	simto	?
upmawh	7	upmawh	?
thahlup	7	thahlup	?
meidawi	7	meidawi	?
koimahah	7	koimahah	?
dawk	7	dawk	?
kikalh	7	kikalh	?
phet	7	phet	?
oreb	7	oreb	?
themno	7	themno	?
dau	7	dau	?
tuma	7	tuma	?
hawkkhia	7	hawkkhia	?
lahtheih	7	lahtheih	?
kibehlap	7	kibehlap	?
kidop	7	kidop	?
siahuaizaw	7	siahuaizaw	?
manmanin	7	manmanin	?
libya	7	libya	?
hananel	7	hananel	?
seelcip	7	seelcip	?
etlawm	7	etlawm	?
kihotkhiat	7	kihotkhiat	?
teltheih	7	teltheih	?
susiazo	7	susiazo	?
hamphazaw	7	hamphazaw	?
kitun	7	kitun	?
deda	7	deda	?
kilamdang	7	kilamdang	?
hosea	7	hosea	?
kithawhkiksak	7	kithawhkiksak	?
