word	count	entries
kauphete	5	L8880:kau-phe-te=call-?-PL; L8940:kau-phe-te=call-?-PL; L9196:kau-phe-te=call-?-PL; L9282:kau-phe-te=call-?-PL; L9322:kauphe-te=locust-PL
liangkoah	5	L10026:liangko-ah=shoulder-LOC; L12910:liang-ko-ah=shoulder-both-LOC; L12994:liang-ko-ah=shoulder-both-LOC; L13199:liang-ko-ah=shoulder-both-LOC; L13819:liang-ko-ah=shoulder-both-LOC
thuk	4	L7534:thuk=deep; L9671:thuk=deep; L10195:thuk=deep; L10539:thuk=revenge
phatna	4	L7558:phat-na=praise-NMLZ; L9795:phatna=praise; L13436:phat-na=praise-NMLZ; L13672:phat-na=praise-NMLZ
tuamtuamte	4	L7684:tuam-tuam-te=different-RED-PL; L13183:tuam-tuam-te=divers-REDUP-PL; L13458:tuam-tuam-te=kind-REDUP-PL; L13839:tuam-tuam-te=various-REDUP-PL
liangko	4	L7927:liangko=shoulder; L10027:liangko=shoulder; L12810:liang-ko=shoulder-both; L13198:liang-ko=shoulder-both
vaikhak	4	L8028:va-i-khak=go.and-?-approach; L8322:va-i-khak=go-?-command; L8431:va-i-khak=go-?-command; L8966:vai-khak=go-command
miliante	4	L8195:mi-lian-te=person-great-PL; L12015:mi-lian-te=person-great-PL; L13200:mi-lian-te=person-great-PL; L13842:mi-lian-te=person-great-PL
vaihawmna	4	L8351:va-i-hawm-na=go-?-together-NMLZ; L8432:va-i-hawm-na=go-?-together-NMLZ; L8969:vai-hawm-na=go-together-NMLZ; L9895:vai-hawm-na=plan-counsel-NMLZ
kaikhia	4	L8390:ka-i-khia=1SG-?-exit; L8437:ka-i-khia=1SG-?-exit; L8968:ka-i-khia=1SG-go-exit; L12831:kai-khia=draw-out
sikkhau	4	L8561:sik-khau=repent-?; L8988:sik-khau=repent-?; L9095:sik-khau=iron-chain; L9979:sik-khau=tie-rope
ki-em	4	L8652:ki-em=REFL-?; L9162:ki-em=REFL-?; L9266:ki-em=REFL-?; L9292:ki-em=PASS-bake
kongpuankhai	4	L8785:kong-puan-khai=1SG→3-carry-?; L8828:kong-puan-khai=1SG→3-cloth-?; L9480:kong-puan-khai=1SG→3-cloth-?; L10022:kong-puan-khai=door-cloth-hang
ak	4	L8997:a-k=3SG-?; L9167:a-k=3SG-?; L9265:ak=then/particle; L10817:ak=COMPL
kisukha	4	L10864:ki-suk-ha=REFL-pollute-CAUS; L13108:ki-suk-ha=REFL-defile-already; L13467:ki-suk-ha=REFL-move-PERF; L13547:ki-suk-ha=REFL-move-out
lungso	4	L15903:lung-so=heart-?; L16412:lung-so=heart-?); L16700:lung-so=heart-?; L16887:lung-so=heart-hot
leitang	3	L7184:lei-tang=land-?; L7370:lei-tang=land-earth; L7704:lei-tang=land-earth
hoihna	3	L7388:hoih-na=good-NMLZ; L13437:hoih-na=good-NMLZ; L13674:hoih-na=good-NMLZ
