word	count	entries
ak	2	L9126:ak=then/particle; L10633:ak=COMPL
amahmah	2	L7586:a-mah-mah=3SG-self-RED; L12984:a-mah-mah=3SG-self-self
amaute	2	L7336:a-mau-te=3-PL.base-PL; L12656:a-mau-te=3SG-EMPH-PL
angvan	2	L9867:ang-van=face-see; L13539:ang-van=bright-sky
anlate	2	L9487:an-la-te=3PL-take-PL; L13546:an-la-te=PL-take-PL
ap	3	L7522:ap=entrust; L9996:ap=span; L10427:ap=devote
awk	2	L7233:awk=ram; L11464:awk=trap
bang	2	L7300:bang=what/like; L10027:bang=equal
bangzia	2	L7313:bang-zia=what-manner; L12614:bang-zia=what-like
bawlpha	2	L10070:bawl-pha=make-good; L12667:bawl-pha=fortify-strong
bawlsiate	2	L8879:bawl-sia-te=make-bad-PL; L11121:bawl-sia-te=do-evil-PL
bawngnawi	3	L7888:bawng-nawi=cow-butter; L13194:bawng-nawi=cow-meat; L13608:bawng-nawi=cattle-bull
behpa	2	L12194:beh-pa=arm-NMLZ; L12983:beh-pa=capture-NMLZ
beisak	2	L7883:bei-sak=end-CAUS; L11523:bei-sak=finish-CAUS
beng	2	L9553:beng=companion; L10182:beng=hunt
biakbuk	2	L7141:biak-buk=worship-tent; L12659:biak-buk=worship-house
biakpiakna	2	L7471:biak-piak-na=worship-give.to-NMLZ; L12658:biak-piak-na=worship-offer-NMLZ
buhlom	2	L8947:buh-lom=rice-heap; L14191:buh-lom=rice-bundle
buppi	2	L10266:bup-pi=all-big; L10681:bup-pi=all-great
cianga	2	L8217:ci-ang-a=say-FUT-NOM; L8296:ci-ang-a=say-FUT-LOC
ciangkhut	2	L7579:ciang-khut=then-hand; L9810:ciang-khut=white-part
cil	3	L7737:cil=sprout; L9515:cil=beginning; L10510:cil=piece
cilna	3	L8791:cil-na=begin-NMLZ; L12665:cil-na=command-NMLZ; L13627:cil-na=thresh-NMLZ
cin	2	L9873:cin=plant; L10531:cin=tend
cinatna	2	L8775:ci-nat-na=say-sick-NMLZ; L10794:ci-nat-na=become-sick-NMLZ
cithei	2	L8207:ci-thei=say-able; L12612:ci-thei=eye-evil
dahlua	2	L10687:dah-lua=weep-exceed; L12338:dah-lua=grieve-too
dawk	2	L9091:dawk=open; L10626:dawk=bind
dengzan	2	L12629:deng-zan=rod-iron; L13298:deng-zan=cut-break
dingpi	2	L11887:ding-pi=stand-great; L13207:ding-pi=stand-big
dingte	2	L7515:ding-te=stand-PL; L12953:ding-te=PROSP-PL
dingto	2	L8467:ding-to=stand-sit; L12666:ding-to=stand-up
dip	2	L9099:dip=valley; L15652:dip=dip
do	2	L9606:do=rise; L10395:do=throw
ek	2	L9676:ek=dung; L10503:ek=sneeze
gamh	2	L7665:gamh=land.II; L9666:gamh=inheritance
