surface_form	normalized_form	lemma	segmentation	gloss	pos	frequency	first_verse	sample_verses	is_ambiguous	status
a	a	a	a	3SG	FUNC	73582	01001001	01001001|01001002|01001002|01001002|01001004	0	auto
hi	hi	hi	hi	DECL	V	44294	01001001	01001001|01001002|01001002|01001003|01001003	0	auto
in	in	in	in	ERG	FUNC	27643	01001001	01001001|01001002|01001002|01001003|01001004	0	auto
uh	uh	uh	uh	2/3PL	FUNC	22036	01001015	01001015|01001029|01002024|01002025|01002025	0	auto
ding	ding	ding	ding	IRR	V	19250	01001016	01001016|01001016|01001016|01001029|01002005	0	auto
na	na	na	na	2SG	FUNC	15607	01001002	01001002|01001029|01002016|01002017|01002017	0	auto
hong	hong	hong	hong	3→1	V	15358	01001005	01001005|01001005|01001008|01001008|01001013	0	auto
ka	ka	ka	ka	1SG	FUNC	12549	01001030	01001030|01002018|01003002|01003010|01003010	0	auto
le	le	le	le	and	FUNC	10995	01001001	01001001|01001006|01001007|01001014|01001014	0	auto
ciangin	ciangin	ciang	ciang-in	then-ERG	UNK	9994	01001003	01001003|01001021|01001026|01001027|01002001	0	auto
Tua	tua	tua	Tua	that	FUNC	8858	01001007	01001007|01001009|01001011|01001015|01001021	0	auto
tawh	tawh	tawh	tawh	COM	FUNC	7806	01002007	01002007|01002019|01002021|01002024|01003005	0	auto
ahi	ahi	ahi	ahi	be.3SG	V	7517	01001002	01001002|01001005|01001008|01001013|01001019	0	auto
lo	lo	lo	lo	NEG	FUNC	6297	01002005	01002005|01002005|01002005|01002005|01002005	0	auto
mite	mite	mi	mi-te	person-PL	N	6134	01004026	01004026|01006001|01006002|01006004|01006004	0	auto
tungah	tungah	tung	tung-ah	on-LOC	V	6072	01001002	01001002|01001026|01001028|01001028|01001029	0	auto
ci	ci	ci	ci	say	V	5957	01001003	01001003|01001005|01001005|01001006|01001008	0	auto
kei	kei	kei	kei	NEG	FUNC	5913	01002017	01002017|01003003|01003003|01003004|01003013	0	auto
thu	thu	thu	thu	word	N	5629	01002016	01002016|01002024|01003017|01006005|01006006	0	auto
Topa	topa	topa	Topa	Lord	N	5509	01002004	01002004|01002005|01002007|01002008|01002009	0	auto
om	om	om	om	exist	V	5119	01001003	01001003|01001003|01001006|01001007|01001007	0	auto
khempeuh	khempeuh	khempeuh	khempeuh	all	FUNC	5068	01001021	01001021|01001025|01001026|01001028|01001029	0	auto
