item_type	item_id	verse_id	tedim_text	segmented	glossed	kjv_text	example_quality	word_count	sense_id	usage_type	function_match
lemma	Https://Www.Bible.Com/Bible/368	# URL:	https://www.bible.com/bible/368	https://www.bible.com/bible/368	URL		shortest	1	Https://Www.Bible.Com/Bible/368.1	lexical	1
lemma	Ctd	# closest ISO 639-3:	ctd	ctd	CTD		shortest	1		lexical	1
lemma	scraped	# year_short:	scraped 2026	scraped	scraped		shortest	2	scraped.1	lexical	1
lemma	scraped	# copyright_long:	Scraped from bible.com. See original source for copyright.	Scraped	scraped		transparent	8	scraped.1	lexical	1
lemma	from	# copyright_long:	Scraped from bible.com. See original source for copyright.	from	from		shortest	8	from.1	lexical	1
lemma	Bible.Com	# copyright_short:	See bible.com for copyright information	bible.com	FGN		shortest	5	Bible.Com.1	lexical	1
lemma	Bible.Com	# copyright_long:	Scraped from bible.com. See original source for copyright.	bible.com	FGN		transparent	8	Bible.Com.1	lexical	1
lemma	original	# copyright_long:	Scraped from bible.com. See original source for copyright.	original	original		shortest	8	original.1	lexical	1
lemma	source	# copyright_long:	Scraped from bible.com. See original source for copyright.	source	source		shortest	8	source.1	lexical	1
lemma	For	# copyright_short:	See bible.com for copyright information	for	FGN		shortest	5	For.1	lexical	1
lemma	For	# copyright_long:	Scraped from bible.com. See original source for copyright.	for	FGN		transparent	8	For.1	lexical	1
lemma	Copyright	# copyright_short:	See bible.com for copyright information	copyright	FGN		shortest	5	Copyright.1	lexical	1
lemma	Copyright	# copyright_long:	Scraped from bible.com. See original source for copyright.	copyright	FGN		transparent	8	Copyright.1	lexical	1
lemma	information	# copyright_short:	See bible.com for copyright information	information	information		shortest	5	information.1	lexical	1
lemma	tedim	# language_name:	Tedim Chin	tedim	Tedim		shortest	2	tedim.1	lexical	1
lemma	tedim	# title:	Tedim Chin	tedim	Tedim		transparent	2	tedim.1	lexical	1
lemma	Chin	# language_name:	Tedim Chin	Chin	CHIN		shortest	2		lexical	1
lemma	Chin	# title:	Tedim Chin	Chin	CHIN		transparent	2		lexical	1
lemma	available	# year_long:	Not available	available	available		shortest	2	available.1	lexical	1
lemma	2026	# year_short:	scraped 2026	2026	NUM		shortest	2	2026.1	lexical	1
lemma	pat	01001001	A kipat cil-in Pasian in vantung le leitung a piangsak hi.	ki-pat	beginning	In the beginning God created the heaven and the earth.	shortest	11	pat.1	unresolved	1
lemma	pat	12011021	Joash in uk ding a kipat ciangin ama khan kum sagih pha pan hi.	ki-pat	beginning	Seven years old was Jehoash when he began to reign.	transparent	14	pat.1	unresolved	1
lemma	pat	01010010	Ama kumpi gam kipatna Babel, Erek, le Akkad hi a, tuate khempeuh Shinar gam sungah om hi.	ki-pat-na	REFL-begin-NMLZ	And the beginning of his kingdom was Babel, and Erech, and Accad, and Calneh, in the land of Shinar.	additional	17	pat.1	unresolved	1
lemma	pat	01011006	Topa in, “En un, amaute minam khat hi uh a, amaute khempeuh in kampau khat nei uh hi. Hih pen amau' sep ding a kipatna bek ahi hi. Tu-in sep dinga amau' vaihawmte amau a dingin hi thei nawn lo ding hi.	ki-pat-na	REFL-begin-NMLZ	And the LORD said, Behold, the people is one, and they have all one language; and this they begin to do: and now nothing will be restrained from them, which they have imagined to do.	additional	42	pat.1	unresolved	1
lemma	pat	01013003	Amah Negeb gam pan kipanin Bethel ciang dong, a kipat cil-in a puanbuk omnasa mun Bethel le Ai kikal,	ki-pat	beginning	And he went on his journeys from the south even to Beth-el, unto the place where his tent had been at the beginning, between Beth-el and Hai;	additional	19	pat.1	unresolved	1
lemma	Pasian	01001001	A kipat cil-in Pasian in vantung le leitung a piangsak hi.	Pasian	God	In the beginning God created the heaven and the earth.	shortest	11	Pasian.1	lexical	1
lemma	Pasian	01001003	Pasian in, “Khuavak om hen,” ci hi; tua ciangin khuavak om pah hi.	Pasian	God	And God said, Let there be light: and there was light.	transparent	13	Pasian.1	lexical	1
lemma	Pasian	01001004	Pasian in tua khuavak hoih hi, ci-in a mu hi. Pasian in khuamial panin khuavak khenkhia hi.	Pasian	God	And God saw the light, that it was good: and God divided the light from the darkness.	additional	17	Pasian.1	lexical	1
lemma	Pasian	01001005	Pasian in khuavak pen “Sun” ci a, khuamial pen “Zan” ci hi. Nitak hong bei-in, zingsang hong tung a, ni khat ni ahi hi.	Pasian	God	And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day.	additional	24	Pasian.1	lexical	1
lemma	Pasian	01001006	Pasian in, “Tuite' laizangah van kuumpi om hen la, tua van kuumpi in tui le tui kikhensak hen,” ci hi.	Pasian	God	And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.	additional	20	Pasian.1	lexical	1
lemma	van	01001001	A kipat cil-in Pasian in vantung le leitung a piangsak hi.	van-tung	sky-on	In the beginning God created the heaven and the earth.	shortest	11	van.1	lexical	1
lemma	van	01002001	Tua ahih ciangin vantung, leitung, le a sunga omte khempeuh kiman khin hi.	van-tung	sky-on	Thus the heavens and the earth were finished, and all the host of them.	transparent	13	van.1	lexical	1
lemma	van	01001006	Pasian in, “Tuite' laizangah van kuumpi om hen la, tua van kuumpi in tui le tui kikhensak hen,” ci hi.	van	sky	And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.	additional	20	van.1	lexical	1
lemma	van	01001007	Pasian in van kuumpi bawl a, van kuumpi tunga om tuite le van kuumpi nuai-a om tuite a khen hi. Tua mah bangin a piang pah hi.	van	sky	And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.	additional	27	van.1	lexical	1
lemma	van	01001008	Pasian in van kuumpi pen “Vantung” ci hi. Nitak hong bei-in zingsang hong tung a, ni nih ni ahi hi.	van	sky	And God called the firmament Heaven. And the evening and the morning were the second day.	additional	20	van.1	lexical	1
lemma	le	01001001	A kipat cil-in Pasian in vantung le leitung a piangsak hi.	le	and	In the beginning God created the heaven and the earth.	shortest	11	le.1	lexical	1
lemma	le	01002012	Tua gam a khamte hoih hi. Tua munah bedolak singnai le onik suang om hi.	le	and	and the gold of that land is good: there is bdellium and the onyx stone.	transparent	15	le.1	lexical	1
