lemma	citation_form	pos	primary_gloss	gloss_candidates	review_gloss_summary	english_glosses	all_glosses	gloss_counts	inflected_forms	token_count	form_count	compounds	top_collocates	example_verses	is_polysemous	is_grammatical	needs_review	entry_status	polysemy_notes	grammaticalization_notes	sense_count	pos_variants	entry_type	lexical_frequency	grammatical_frequency	review_priority	backend_issues
hi	hi	V	DECL	DECL|this|be|3SG|1PL.INCL		DECL|be|beI|do|this	1PL.INCL|1SG|3SG|DECL|DECL.POSS|REFL|be|be.II|do|this	DECL:47708|this:6100|be:620|3SG:283|1PL.INCL:206|do:50|REFL:38|be.II:12|1SG:6|DECL.POSS:1	(hih|ahihkhak|ahihlam|ahihloh|ahihlohna|ahihna|ahite|hi|hi!”|hi'ng|hi)|hi,'”|hi,”|hi-in|hi.)|hi.”|hi.”)|hi;)|hiamin|hiamsak	55024	104		ding:11983|ci:11432|ahi:4551|thu:1847|om:1702|mi:1524|pai:1315|hong:1298|thei:1287|ciang:1231	01001001|01001002|01001002|01001003|01001003	1	1	1	clean		sentence-final declarative marker (88% of uses)	7	V:55010|DET:7|ADV:4|N:3	unresolved	6782	48242	high	multiple_pos_variants|polysemous_needs_sense_split
ding	ding	V	IRR	IRR|2SG|stand|3SG|REFL		IRR	2SG|3SG|IRR|REFL|stand	IRR:24295|2SG:683|stand:228|3SG:13|REFL:4	ading|adingin|ding|ding!”|ding)|ding,”|dinga|dingah|dingin|dingkhawm|dingkhawmsak|dingkhia-in|dingkikzo|dinglai|dinglaite|dingpah|dingpi|dingpi-in|dingsak|dingsakin	25223	39		hi:11983|pia:1175|thei:1171|hong:1061|pai:994|mi:913|ahi:861|om:740|thu:719|bawl:606	01001014|01001015|01001016|01001016|01001016	1	1	1	clean		irrealis/prospective marker	5	V:25219|N:4	grammatical	228	24995	high	multiple_pos_variants|polysemous_needs_sense_split
hong	hong	V		3→1	3→1	DIR	3→1	3→1:15578	hong|“'hong|“hong	15578	3		pai:2124|hi:1298|thu:1198|tung:1142|ding:1061|pia:965|ci:917|gen:765|pan:735|mi:527	01001005|01001005|01001008|01001008|01001013	1	1	1	mixed_lex_gram		directional (toward speaker)	1	V:15578	grammatical	86	15492	high	polysemous_needs_sense_split
mi	mi	N	person	person|idol|person.POSS|mankind|hatred		everyone|hatred|idol|mankind|noble|person|righteous	everyone|hatred|idol|mankind|noble|person|person.POSS|righteous	person:13356|idol:375|person.POSS:53|mankind:3|hatred:2|noble:1|righteous:1|everyone:1	(mi|mi|mi,”|mi-a|mi-in|mibuppite|midangpi|midik|midikin|midikte|migi|migi-in|migina|miginalo|migit|migitna|mihaipi|mihaipi-in|mihatte|mihau	13792	78		hi:1524|khat:957|ding:913|tung:895|ciang:759|om:599|ahi:570|thu:557|pan:531|hong:527	01001026|01001027|01002005|01002007|01002007	0	0	0	clean			7	N:13792	lexical	13792	0	low	
ci	ci	V	say	say|say.NOM|say.II|REFL|become		command|say|say.NOM|sayI|testimony	REFL|become|command|corner|eye|fear|return|salt|say|say.II|say.NOM|sick|skin|testimony	say:8447|say.NOM:3090|say.II:344|REFL:29|become:6|eye:6|corner:5|fear:3|return:3|command:3	(ci|ci|ci-a|ci-al|ci-in|ci-lei|cia|cial|cialin|cianga|ciangah|ciapkhit|ciapna|ciatna|ciatte|cidam|cidamin|cidamna|cidamna-in|cidamsak	11943	111		hi:11432|hong:917|ahi:667|topa:641|ding:553|gen:418|thei:354|mi:299|thu:282|dawng:233	01001003|01001004|01001005|01001005|01001006	0	1	0	clean		quotative verb	2	V:11750|ADV:191|N:2	lexical	11914	29	high	multiple_pos_variants
thu	thu	N	word	word|law|speech|knowledge|REFL		portion|reflexive|word|wordI	REFL|covenant|judgment|knowledge|law|measure|pleasant.thing|portion|pray|promise|promises|speech|teach|thing|truth|word|word.II	word:9736|law:564|speech:384|knowledge:25|REFL:25|promises:8|measure:6|word.II:4|covenant:4|thing:4	(thunuama|kithuap|kithuapcip|kithuapin|kithuapsuk|kithuh|kithuhilh|kithukim|kithukimna|kithuneihnate|kithupi|kithutuak|kithutuakin|thu|thu,”|thu-a|thu-ah|thu-helhawt|thu-in|thu-khak	10771	209		hi:1847|hong:1198|gen:1126|ding:719|tung:614|pia:558|mi:557|thei:514|topa:505|pasian:499	01001022|01001028|01002003|01002016|01002024	0	1	0	clean		word/matter (not portion)	2	N:10194|V:515|ADV:58|AUX:4	lexical	10746	25	high	multiple_pos_variants
ciang	ciang	CONJ	then	then|REFL|measure|clear|weave		announce|become|clear|flesh|good|measure|sit|then|time|way|weave	REFL|announce|become|clear|good|measure|then|time|way|weave	then:10590|REFL:20|measure:8|clear:7|weave:5|become:4|way:3|good:3|announce:2|time:2	ciang|ciang,”|ciangbek|ciangin|ciangin)|ciangin,”|ciangka|ciangkang|ciangkhut|ciangkhut,”|ciangkhutin|ciangkik|ciangpha|ciangpha-in|ciangpi|ciangtan|ciangtang|ciangte|ciangun|ciangzo	10644	28		ahih:1517|hi:1231|mi:759|topa:731|kumpi:460|pai:377|hong:344|mu:336|ni:336|tun:317	01001003|01001021|01001026|01001027|01002001	0	1	0	clean			10	CONJ:10644	lexical	10173	471	low	
ahi	ahi	V		be.3SG	be.3SG	be.3SG	be.3SG	be.3SG:8634	(ahi|ahi|ahi)|ahipa|ahizo|“'ahi|“ahi	8634	7		hi:4551|ding:861|ci:667|mi:570|pasian:325|thu:314|om:256|topa:238|ta:231|khat:221	01001002|01001005|01001008|01001013|01001019	0	1	1	mixed_lex_gram		copula 3rd person	1	V:8634	lexical	8634	0	low	
tung	tung	V	on	on|arrive|above|upon|top		on	1SG→3|REFL|above|age|arrive|on|rebuke|top|upon|upper|well	on:7994|arrive:180|above:14|upon:10|top:6|upper:5|well:4|REFL:3|rebuke:3|age:2	kitung|kongtungzawl|tung|tunga|tungah|tungdap|tunghak|tungin|tungkha|tungkhin|tungkhuh|tungkhuhna|tungkhum|tungkik|tungkikin|tungkiksak|tungkim|tunglam|tunglamah|tungman	8222	48		hong:1142|mi:895|topa:871|hi:753|thu:614|pia:462|ama:451|pasian:441|ding:428|pan:416	01001002|01001002|01001005|01001007|01001008	1	1	1	clean		"on/above; also ""arrive"""	2	V:8221|N:1	lexical	8219	3	high	multiple_pos_variants|polysemous_needs_sense_split
topa	topa	N	Lord	Lord|Lord.POSS|lord|lord.POSS		Lord|lord	Lord|Lord.POSS|lord|lord.POSS	Lord:5640|Lord.POSS:1995|lord:200|lord.POSS:61	topa|topa,”|topa-in|“'topa|“topa	7896	5		pasian:1199|hi:1196|tung:871|ciang:731|aw:644|ci:641|thu:505|ding:423|hong:388|bia:294	01002004|01002005|01002007|01002008|01002009	0	0	0	clean			2	N:7896	lexical	7896	0	low	
