# language_name:	Lautu Chin
# closest ISO 639-3:	clt
# year_short:	scraped 2026
# year_long:	Not available
# title:	Lautu Chin
# URL:	https://www.bible.com/bible/2640
# copyright_short:	See bible.com for copyright information
# copyright_long:	Scraped from bible.com. See original source for copyright.
40001001	Abraham samingsahlaa, David samingsahlaa ta a cuopa Messiah Zingsuv thukina ca hinghaahingtana a cuo.
40001002	Abraham ca Isak paa ta a cuo, Isak ca Jakob paa ta a cuo, Jakob ca Judah hne a nuta zaw paa ta a cuo,
40001003	Judah ca Perez hne Zerah paa ta a cuo (Ama nung ca Tamar ta a cuo), Perez ca Hezron paa ta a cuo, Hezron ca Aram paa ta a cuo,
40001004	Aram ca Amminadab paa ta a cuo, Amminadab ca Nahshon paa ta a cuo, Nahshon ca Salmon paa ta a cuo,
40001005	Salmon ca Boaz paa ta a cuo (A nung ca Rahab ta a cuo), Boaz ca Obed paa ta a cuo (a nung ca Ruth ta a cuo), Obed ca Jesse paa ta a cuo,
40001006	Jesse ca Siepahruo David paa ta a cuo. David ca Solomon paa ta a cuo (a nung ca Uriah napuvnung khata na a cuo),
40001007	Solomon ca Rehoboam paa ta a cuo, Rehoboam ca Abijah paa ta a cuo, Abijah ca Asaph paa ta a cuo,
40001008	Asaph ca Jehoshafat paa ta a cuo, Jehoshafat ca Joram paa ta a cuo, Joram ca Uzziah paa ta a cuo,
40001009	Uzziah ca Jotham paa ta a cuo, Jotham ca Ahaz paa ta a cuo, Ahaz ca Hezekiah paa ta a cuo,
40001010	Hezekiah ca Manasseh paa ta a cuo, Manasseh ca Amos paa ta a cuo, Amos ca Josiah paa ta a cuo,
40001011	Josiah ca Jekhoniah hne a nuta zaw ama paa ta a cuo, capa cuo lieca Israel ming ca Babilon ruo luo sii ta amaa da.
40001012	Babilon luo sii ta amaa da khu taata: Jaekhoniah ca Salathiel paa ta a cuo, Salathiel ca Zerubbabel paa ta a cuo,
40001013	Zerubbabel ca Abiud paa ta a cuo, Abiud ca Eliakim paa ta a cuo, Eliakim ca Azor paa ta a cuo,
40001014	Azor ca Zadok paa ta a cuo, Zadok ca Akhim paa ta a cuo, Akhim ca Eliud paa ta a cuo,
40001015	Eliud ca Eleazar paa ta a cuo, Eleazar ca Matthan paa ta a cuo, Matthan ca Jakob paa ta a cuo,
40001016	Jakob ca Josef paa ta a cuo, Josef ca Mary navaapa ta a cuo, Mary ca Messiah tapa Zingsuv nung khata a cuo.
40001017	Cacuonakaw Abraham taata David te chuohraa hlyipaliy, David taata Babilon luo sii ta amaa dana te ta chuohraa hlyipaliy, Sii ta amaa dana taata Messiah puvna te ta chuohraa hlyipaliy ta a cuo.
40001018	Zingsuv Khrih a puvna zya ca hinghaahingta a cuo. A nung Mary ca Josef ta pahaa te cuorasala amaa hlaw hluo khata Thlaapa Pathe ta nu a hnyi aa tapa kha pachang sa pata a cuo.
40001019	A navaapa Josef ca a dangsapa ta cuote, Mary kha zaapuv pachang ta thuo pachipa a khing li nakawta a paruvta tah a che riypata khue a khuo.
40001020	Cahaa cata tue riypa a pacuo nguoluoning kha Abyipa avuoming pakha ta a muo lie zaa luo te, “David saming Josef, Mary hing napuv ta a la riypata ciy kha, nu a phyapa hing Thlaapa Pathe taata tlihing a cuo.
40001021	Ama ta saacapaa hnyi'a te a ming ca Zingsuv tapata na paphya aa, tahematapakieca ama ta a cawsaa zaw kha ama suena taata a khuo'a yi.
40001022	Hingpa bangkhuo a cuopa hing Abyipa ta profet pakaa taata a ripa a tlingna riypatana a cuo:
40001023	“Mang tie, Lesaa pathepa pakha ta nu phya'a te saacapaa pakha a hnyi aa, ama ca Immanuel tapata ming ama paphya aa,” a ri khingna ca, “Khazing ca kiema'a liena a aw,” tana pata a cuo.
40001024	Josef ca aa hmungna taata aa kya cha tiyta Abyipa avuoming ta ama changpa haakhata Mary ca napuv ta aa la.
40001025	Cuorasala saacapaa a sa hluo bangkhuo nung hne vaa cuo khyi vyi. Saacapaa ca Zingsuv tapata ming a sa.
40002001	Herod siepahruo a cuo nguoluo-ning, Judea pe Bethlehem khy lie Zingsuv a puv khutaa khata ning-chiy luo taata mingsing tie kha Jerusalem luo vya chiy yite,
40002002	“Judah siepahruo, zaa puv thaapa haatiyta ca khaapaliema a aw? A aasiy aa luopa kha hmung pate na ama kha abie riypata ma vya chiy,” ama ta.
40002003	Siepahruo Herod ta capa bie a thyi tiyta a thlaa zang laalaw te Jerusalem khy ming bangkhuo zaw ama thlaa a zangsa ra.
40002004	Ama ta tluobyilepa tie hne phungbiesaya tie zaw kha pakiy yite, “Messiah ca khaapaliema a puv aa?” tapata a hiehriy yi.
40002005	Iema ta, “Judea pe Bethlehem khy lie,” ama ta. “Profet ta a cape siypa ca:
40002006	‘Judah ruo chunglie a awpa Bethlehem, nama ca Judah pe khypuv zaw hrawlie hing a cawcepa ta cuo changchiy vaciy. Na chung taahingta luochiytuv pakha pya'a te i cawsaa Israel ming kha luo a chiy'a yi,’” a ta.
40002007	Cacuonakaw Herod ta mingsing tie kha a paruvta tah ku yite khaapa cuo lie kha tama aasiy aa luo tapa kha a hiehriy yi.
40002008	Cakhutaata Bethlehem luo kha pathlie yite, “Si ungla haatiy kha a phasa pata va huv tie ung, nama hmung pata a cuo kieca, vaa'a ang te i bie ra khu riypata, kama kha ina pachang sa pakhaa ungciy,” tapata bie a taa yi.
40002009	Siepahruopa bie naa ama thlie khu taata amaa thu ca a kya luo ningta ama hmungpa aasiy ca haatiy awna hmang a dadaw lie a daa nate ta ama hmielie kha a sile.
40002010	Aasiy a daapa ama hmung tiyta ama palung a tluo hringhruo.
