word	count
a	99866
chu	28961
an	23564
chuan	21754
ni	19353
lo	14855
ang	14264
ka	13521
leh	12389
Tin	10180
mi	9213
in	8857
i	8210
zawng	7815
awm	7376
te	7269
ti	7139
hi	6438
Lalpa	6409
ta	6215
hnênah	5805
tûr	4850
u	4844
va	4087
rawh	4068
che	4008
Pathian	3857
la	3639
pawh	3528
thu	3479
kan	3405
hian	3176
kal	3126
tin	3050
tih	2972
si	2946
tak	2891
A	2644
lal	2503
ram	2416
ṭhîn	2389
thil	2152
tûrin	2141
nge	2134
tawh	2117
vang	2034
Ka	2022
chungah	2017
chhuak	2016
fapa	2013
mite	1921
Israel	1899
sawi	1882
ata	1881
loh	1876
dâwn	1795
mai	1785
I	1753
e	1637
teh	1635
siam	1586
rêng	1582
ṭha	1544
nei	1540
avângin	1514
ve	1512
lam	1504
pe	1501
Mi	1496
emaw	1461
Tichuan	1457
nih	1447
bawk	1404
Chutichuan	1402
ho	1398
rawn	1389
kha	1375
nên	1371
thlahte	1360
hnêna	1346
tiin	1337
tân	1336
ani	1336
zâwk	1296
eng	1291
takin	1289
mah	1254
ngai	1228
hre	1226
hmun	1225
se	1218
han	1213
hmu	1192
suh	1175
hruai	1159
erawh	1147
heti	1146
Lalpan	1134
kum	1133
tu	1090
nân	1084
pakhat	1071
khân	1068
thleng	1067
reng	1054
zînga	1042
chunga	1041
lai	1028
min	1024
ula	1016
ei	1001
Juda	1001
dân	988
angin	988
An	988
thei	982
tichuan	972
ngei	971
Davida	960
hriat	945
duh	937
amah	933
vek	933
hming	919
tûra	916
tam	899
chumi	899
Aw	876
khat	866
pa	863
pêk	843
theih	835
sela	820
pawhin	819
Nimahsela	818
Jerusalem	816
hek	812
lamah	801
hrilh	795
zîngah	791
hmaah	773
êm	768
kut	768
khua	759
hnam	756
Aigupta	745
chhûng	739
zawngte	734
rama	733
dang	733
hria	732
sual	728
sâwm	727
ding	727
atân	724
Pathianin	719
lût	719
dah	718
em	717
puan	700
lei	693
Israela	691
mit	686
chhuah	680
ah	678
taka	677
zêl	666
Mosia	662
hmuh	656
lâwm	654
anmahni	650
lovin	641
In	638
fapate	638
thi	637
thianghlim	633
chûng	630
Ngai	627
Isua	627
khaw	612
apiang	609
bo	608
sa	598
tui	597
thilhlan	591
tîr	590
aw	584
chung	580
thla	579
puithiam	578
le	573
he	570
anni	568
khâwm	560
hote	559
nasa	557
avâng	555
hma	551
pahnih	546
thlengin	545
nimahsela	522
kei	517
chhâng	515
ramah	512
inah	509
nunna	506
Krista	491
thlen	489
khuaa	483
ber	482
fate	481
hun	480
aṭangin	480
aṭanga	473
hotu	470
pu	466
Chuvângin	461
thinlung	457
tho	455
tlâng	454
khuaah	453
lakah	451
Lal	451
ropui	449
fel	448
bei	441
tâk	439
fa	438
kawng	437
chutah	430
chhiahhlawh	430
en	429
chauh	429
ro	428
hêng	428
hle	423
khawpui	423
bûk	423
mihring	420
rangkachak	415
au	414
neih	413
chhûngte	413
ruat	413
nang	412
Chu	410
Saula	410
chi	409
anga	409
Tu	408
lova	406
chuang	401
ziak	400
zo	395
Ani	394
tâna	393
biak	387
theihna	384
chho	384
thing	382
hnên	382
dam	377
chak	377
thiam	377
lama	375
Chumi	374
Kan	372
ring	372
mipui	371
vân	368
chhan	368
ngaithla	367
khai	362
rual	361
tlân	359
rilru	358
unaute	358
nupui	356
hmaa	356
thisen	355
fanu	355
awmna	355
tê	353
ama	352
thiltih	351
hunah	351
mahni	351
chutiang	347
ina	346
dik	346
chia	342
aṭang	341
nu	339
man	336
tawng	333
that	331
hlân	331
Jakoba	331
Arona	331
awmte	329
kulh	328
zîng	327
kîr	327
mipuite	326
zawngin	324
thuchhuak	322
tum	319
Isuan	318
maw	317
lung	316
veleh	313
ṭheuh	312
ko	312
He	310
hla	310
maichâm	309
zêlin	308
zawh	307
rawng	307
Eng	306
chaw	303
mei	302
nangni	302
sarih	301
Babulon	298
Chûng	297
nîah	296
hring	295
hlau	292
nia	291
thih	290
thawk	290
sipai	289
ropuina	289
Philistia	288
rah	287
hriattîr	287
ṭhin	285
vêl	285
thlah	284
pawm	283
lâk	282
Kei	281
fak	281
nung	280
chhang	280
Mihring	279
avânga	279
Levi	279
Sipaihote	278
lian	277
kutah	277
zâwlnei	277
Thil	275
thupêk	274
hmang	273
khawngaih	271
ṭhu	271
Hêng	268
thum	268
chang	268
thûah	267
bâwl	265
sâng	264
chibai	264
lui	263
hnuah	262
bia	261
hriak	261
Solomona	260
berâm	259
hâlral	259
haw	259
kawngka	258
chhia	256
chhûnga	256
ran	256
Nang	256
thlarau	256
vawi	256
kai	256
Amaherawhchu	252
lohna	252
hlim	250
paih	249
tlat	248
za	247
chhiar	246
takte	246
bâwm	246
pâwl	245
unau	245
Pharaoa	244
zirtîr	244
pui	243
buh	243
ngaihtuah	243
Pa	243
lû	241
chhuk	240
pung	239
lalte	239
Josefa	238
chan	238
rêl	237
uain	234
sawmhnih	233
hmasa	231
takah	229
laka	229
ṭan	229
tûn	228
grêp	227
Abrahama	227
hâl	227
hei	226
khandaih	224
zui	224
hlawm	223
Hei	221
chutichuan	221
sum	221
chanchin	221
pute	220
hnih	219
