candidate_id	topic	candidate_form	evidence_type	source_reference	source_zone	orthographic_form	phonological_claim	tone_claim	morphophonological_context	candidate_status	print_status	diagnostic_status	why_selected	caveat
phon-seg-consonants	phonology_tone	consonant inventory	literature_backed_phonology_claim	docs/grammar/lit-reviews/02-phon-01-phonology-lit.md; docs/SKELETON_GRAMMAR.md	Literature	practical consonant spellings	A conservative consonant summary is supported by the literature.	none	segmental inventory	accepted_with_caveat	print_usable_with_caveat	segment_inventory_support	This is the safest segmental anchor for first-slice orientation prose.	Treat this as a conservative summary, not a full phoneme table.
phon-seg-vowels	phonology_tone	vowel inventory	literature_backed_phonology_claim	docs/grammar/lit-reviews/02-phon-01-phonology-lit.md; docs/SKELETON_GRAMMAR.md	Literature	vowel spellings and length	The literature supports a conservative vowel summary with length contrasts.	none	segmental inventory	accepted_with_caveat	print_usable_with_caveat	segment_inventory_support	This is the safest vowel anchor for first-slice orientation prose.	Do not treat orthographic doubling as a full phonological transcript.
phon-syllable-shape	phonology_tone	syllable shape	literature_backed_phonology_claim	docs/grammar/lit-reviews/02-phon-01-phonology-lit.md; docs/SKELETON_GRAMMAR.md	Literature	syllable spellings	Tedim syllables can be summarized as a mostly simple CV/CVC system with limited codas.	none	phonotactics	accepted	print_ready	phonotactic_support	This is the clearest safe phonotactic orientation claim.	This is orientation prose, not a full phonological derivation.
phon-orthography-tone	phonology_tone	practical orthography	orthography_support	docs/grammar/lit-reviews/02-phon-01-phonology-lit.md	Literature	tone not marked	Practical spelling is useful for locating forms but remains indirect phonological evidence.	Tone is not marked in ordinary spelling.	orthography	accepted_with_caveat	print_usable_with_caveat	orthography_support	This keeps the orthography caveat explicit in print-facing prose.	Orthography is indirect evidence, not direct proof.
phon-tone-threeway	phonology_tone	three-tone system	literature_backed_tone_claim	docs/grammar/lit-reviews/02-phon-02-tone-lit.md; docs/grammar/lit-reviews/02-phon-01-phonology-lit.md	Literature	H/M/L	The literature describes Tedim as a three-tone language.	Three tones are contrastive in the literature.	tone system	accepted	print_ready	tone_literature_support	This is the safest tone summary for the first slice.	The section does not solve sandhi or every morpheme-level assignment.
phon-tone-grammatical	phonology_tone	grammatical tone	literature_backed_tone_claim	docs/grammar/lit-reviews/02-phon-02-tone-lit.md	Literature	grammatical tone marks	Tone participates in grammatical contrasts.	Grammatical tone exists, but this slice does not resolve every assignment.	tone grammar	accepted_with_caveat	print_usable_with_caveat	tone_boundary	This keeps lexical and grammatical tone visible without overclaiming.	Keep grammatical tone wording cautious and bounded.
phon-bible-hi-hi	phonology_tone	hi / hi	homographic_lexical_grammatical_contrast	Genesis 16:13	OT	hi / hi	Bible attests copular `hi` and declarative `hi` in the clause `na hi hi`.	Literature reports lexical high-tone `hi` versus declarative low-tone `hi`; orthography does not mark this directly.	lexical/grammatical homograph boundary	accepted_with_caveat	print_usable_with_caveat	tone_literature_support	This is the cleanest orthography-identical lexical/grammatical contrast currently source-resolved in Bible context.	Context supports the role contrast, but tone values remain literature-backed because spelling is identical.
phon-bible-thei-lutthei	phonology_tone	thei / -thei	near_minimal_pair	Genesis 4:9; Matthew 7:21	OT+Gospel	thei / lutthei	Bible attests lexical `thei` and abilitative `-thei` hosts in context.	Literature reports lexical high-tone `thei` versus abilitative low-tone `-thei`; orthography does not mark this directly.	lexical/grammatical homograph boundary	accepted_with_caveat	print_usable_with_caveat	tone_literature_support	This gives a source-resolved OT/Gospel near-minimal set without fabricating tone in the Bible layer.	The grammatical member is host-bound in orthography, so this stays near-minimal rather than strict minimal.
phon-bible-ta-nungta	phonology_tone	ta / -ta	supporting_bible_attestation	Genesis 11:30; Matthew 4:4	OT+Gospel	ta / nungta	Genesis 11:30 attests lexical `ta` 'child', and Matthew 4:4 attests `nungta`, which the analyzer consistently parses as `nung-ta`.	Literature distinguishes lexical high-tone `ta` and grammatical low-tone `-ta`; Bible orthography does not mark tone directly.	lexical/grammatical homograph boundary	accepted_with_caveat	print_usable_with_caveat	tone_literature_support	This keeps `ta / -ta` visible as Bible-attested support while avoiding overclaim of strict minimality.	Use as supporting attestation, not a strict minimal pair; morphology is analyzer-supported but tone values remain literature-backed.
phon-a-blocked	phonology_tone	-a	analyzer_gap_blocked	docs/grammar/README_ANALYZER_GAPS.md; docs/grammar/ANALYZER_LITERATURE_GAPS.md; docs/grammar/ANALYZER_GAPS_CORPUS_EXAMPLES.md	Analyzer gap	-a	The tone-sensitive case distinction is not recoverable from the current corpus spelling.	Keep the high/low distinction blocked.	case-marking boundary	blocked	blocked	a_tone_blocked	This is the main blocked contrast and must stay explicit.	Do not flatten this contrast into a single case marker.
phon-tone-unresolved	phonology_tone	tone sandhi	unresolved_or_conflicting	docs/grammar/lit-reviews/02-phon-02-tone-lit.md; docs/grammar/ANALYZER_LITERATURE_GAPS.md	Literature	tone sandhi / tonal alternation	Tone sandhi and related assignment questions remain unsettled.	Unresolved or conflicting in current sources.	tone system	deferred	boundary_only	unresolved_or_conflicting	This keeps unresolved tone questions visible without promoting them.	Do not print this as solved.
phon-boundary-stem	phonology_tone	Form I / Form II	literature_backed_tone_claim	docs/grammar/lit-reviews/02-phon-02-tone-lit.md; output/publication_review/grammar_stem_alternation_print_slice.md	Boundary	Form I / Form II	Tone interacts with stem alternation, but full analysis belongs in that section.	Tone behavior is boundary material here.	stem alternation	deferred	boundary_only	morphophonology_boundary	Keeps the stem boundary explicit without reopening that packet.	Do not move stem-alternation analysis into phonology/tone.
phon-boundary-tam	phonology_tone	TAM / aspect / modal	literature_backed_tone_claim	docs/grammar/lit-reviews/02-phon-02-tone-lit.md; output/publication_review/grammar_tam_print_slice.md	Boundary	TAM / aspect / modal	Tone interacts with suffixal TAM material, but TAM belongs elsewhere.	Tone behavior with TAM is boundary material here.	TAM boundary	deferred	boundary_only	morphophonology_boundary	Keeps TAM overlap visible without broadening the slice.	Do not move TAM analysis into this section.
phon-boundary-pih	phonology_tone	-pih	literature_backed_tone_claim	docs/grammar/lit-reviews/02-phon-02-tone-lit.md; output/publication_review/grammar_pih_comitative_applicative_print_slice.md	Boundary	-pih	The comitative/applicative suffix stays with derivation/valency rather than phonology.	Tone questions around `-pih` remain boundary material.	derivation/valency boundary	deferred	boundary_only	morphophonology_boundary	Keeps the `-pih` boundary visible and controlled.	Keep `-pih` in its own section.
