example_id	np_topic	candidate_form	construction_type	source_reference	source_zone	tedim_text	segmentation	gloss	translation	example_quality	print_status	why_selected	caveat
npnorm-dem-hih-mite-exod5	demonstratives_and_nouns	hih mite	demonstrative_plus_head_noun	Exodus 5:5	Old Testament	hih mite	hih | mi-te	PROX | person-PL	these people	high	print_ready	Cleanest current adnominal demonstrative anchor for NP ordering.	Gospel demonstrative comparanda are less clean in the current packet.
npnorm-dem-a-hih-mite-matt6	demonstratives_and_nouns	hih mite	demonstrative_related_phrase	Matthew 6:2	Gospels	a hih mite	a | hih | mi-te	3SG/AGR | PROX | person-PL	those who do thus / those people	medium	deferred	Records the Gospel search result for demonstrative-related material without promoting a less clean embedded phrase.	Embedded in a larger relative-like construction rather than a simple demonstrative-plus-noun NP.
npnorm-num-ni-li-john11	numerals_and_nouns	li	head_noun_plus_numeral	John 11:39	Gospels	ni li	ni | li	day | four	four days	high	print_ready	Clean Gospel noun-plus-numeral anchor reused from the normalized numerals section.	Full numeral formation stays in the numerals section.
npnorm-num-kum-sawm-le-nih-matt9	numerals_and_nouns	sawm le nih	head_noun_plus_compound_numeral	Matthew 9:20	Gospels	kum sawm le nih	kum | sawm le nih	year | twelve	twelve years	high	print_ready	Shows the same noun-plus-numeral order with a compound numeral.	Compound-ten analysis stays in the numerals section.
npnorm-quant-mi-khempeuh-luke2	quantifiers_and_nouns	khempeuh	head_noun_plus_quantifier	Luke 2:1	Gospels	mi khempeuh	mi | khem-peuh	person | all	all people	high	print_ready	Cleanest noun-plus-total-quantifier anchor for NP ordering.	Full quantifier semantics stay in the quantifiers section.
npnorm-quant-mi-pawlkhat-matt2	quantifiers_and_nouns	pawlkhat	head_noun_plus_quantifier	Matthew 2:1	Gospels	mi pawlkhat	mi | pawl-khat	person | group-one	some people	medium	print_usable_with_caveat	Useful Gospel support for noun-plus-quantifier order.	Group or partitive nuance remains caveated.
npnorm-quant-mi-tampi-mark6	quantifiers_and_nouns	tampi	head_noun_plus_quantity_modifier	Mark 6:34	Gospels	mi tampi	mi | tam-pi	person | many	many people	medium	print_usable_with_caveat	Adds a second Gospel noun-plus-quantity row without making the section Genesis-heavy.	Borders on broader degree or adjective-like modification.
npnorm-poss-na-pa-inn-gen24	possession	na pa' inn-ah	pronominal_possessor_plus_possessed_np	Genesis 24:23	Old Testament	na pa' inn-ah	na pa' inn-ah	2SG.POSS father house-LOC	in thy father's house	high	print_usable_with_caveat	Cleanest compact possessive phrase currently safe to print.	Overlaps with possessive prefixes, apostrophe analysis, and locative closure.
npnorm-poss-a-zi-min-gen3	possession	a zi' min	possessed_np_chain	Genesis 3:20	Old Testament	a zi' min	a zi' | min	3SG.POSS wife | name	his wife's name	high	print_usable_with_caveat	Gives a second compact possession example without forcing a whole possession paradigm.	Possession remains OT-led in the current pass.
npnorm-poss-a-pa-inn-control	possession	a pa' inn	layered_possession_chain	report_control	Control	a pa' inn	a pa' inn	3SG.POSS father house	layered possession chain	medium	deferred	Retains the key boundary row already present in candidates_np_possession.tsv.	Too boundary-heavy for the normalized printed subsection.
