example_id	prefix_agreement_topic	candidate_form	construction_type	source_reference	source_zone	tedim_text	segmentation	gloss	translation	example_quality	print_status	why_selected	caveat
prefnorm-kanei-gen21	agreement_verbal_host	kanei	prefix_plus_verb_agreement	Genesis 21:7	Old Testament	Ahi zongin a teek khitin amah tawh tapa khat ka nei hi.	ahi | zongin | a | teek | khitin | amah | tawh | tapa | khat | ka-nei | hi	but | then | 3SG | old.age | after | 3SG.PRO | with | son | one | 1SG-have | DECL	Yet when she was old, I have a son by him.	high	print_ready	OT anchor for agreement routing before a verbal host.	Clause context is narrative and larger than the focused form.
prefnorm-kanei-john4	agreement_verbal_host	kanei	prefix_plus_verb_agreement	John 4:17	Gospels	Numei in, "Pasal ka nei kei hi," a ci hi.	numei | in | pasal | ka-nei | kei | hi | a | ci | hi	woman | ERG | husband | 1SG-have | NEG | DECL | 3SG | say | DECL	The woman said, "I have no husband."	high	print_ready	Gospel counterpart for agreement routing with ka-nei.	Negative polarity is present in the clause.
prefnorm-kainn-gen15	possession_nominal_host	kainn	prefix_plus_noun_possessive	Genesis 15:3	Old Testament	Ta nong pia kei a, ka inn sunga a suak sila in keima gamh a luah ding hi ta hi.	ta | nong | pia | kei | a | ka-inn | sung-a | a | suak | sila | in | keima | gamh | a | luah | ding | hi	child | 2SG | give | NEG | and | 1SG.POSS-house | inside-LOC | 3SG | servant | male | ERG | 1SG.PRO | inheritance | 3SG | take | IRR | DECL	You gave me no child, and a male servant from my house will inherit me.	high	print_ready	OT anchor for possessive routing before a nominal host.	Contains broader inheritance discourse beyond the core phrase.
prefnorm-kainn-luke7	possession_nominal_host	kainn	prefix_plus_noun_possessive	Luke 7:6	Gospels	Topa aw, ka inn-ah nong pai nadingin kei kilawm zo lo ka hih manin hong pai dah hoh in.	Topa | aw | ka-inn-ah | nong | pai | nadingin | kei | kilawm | zo | lo | ka | hih | manin	Lord | VOC | 1SG.POSS-house-LOC | 2SG | come | for | 1SG.PRO | worthy | COMPL | NEG | 1SG | be | because	Lord, I am not worthy for you to come under my roof.	high	print_ready	Gospel counterpart for possessive routing with ka-inn.	Contains honorific and politeness framing.
prefnorm-abawlmi-exod30	relative_a_boundary	a bawl mi	prenominal_relative_boundary	Exodus 30:38	Old Testament	Tua tawh a kibangin paknamtui a bawl mi peuhmah ama mite' kiang panin kikhenkhia ding hi.	tua | tawh | a | kibangin | paknamtui | a | bawl | mi | peuhmah | ama | mite' | kiang | panin | kikhenkhia | ding | hi	that | with | 3SG | like | perfume | REL | make | person | every | 3SG.PRO | people.POSS | side | from | separate | IRR | DECL	Whoever makes perfume like it shall be cut off from his people.	high	print_usable_with_caveat	OT boundary example for a- and relative-clause overlap.	Relative marking and possession co-occur in the clause.
prefnorm-abawlmi-matt13	relative_a_boundary	a bawl mi	prenominal_relative_boundary	Matthew 13:41	Gospels	Mihing Tapa in a vantung mite hong sawl ding a, ama ukna sungah a om migilote le mi a mawh nadingin a bawl mi khempeuh kaikhawmin.	mihing | Tapa | in | a | vantung | mite | hong | sawl | ding | a | ama | ukna | sung-ah | a | om | migilote | le | mi | a | mawh | nadingin | a | bawl | mi | khempeuh | kaikhawm-in	human | Son | ERG | 3SG | heaven | angels | VEN | send | IRR | and | 3SG.PRO | kingdom | inside-LOC | REL | be | evildoers | and | person | REL | sin | for | REL | make | person | all | gather-CVB	The Son of Man will send his angels, and they will gather all who cause sin.	medium	print_usable_with_caveat	Gospel boundary counterpart for a- plus relative-clause structure.	Clause is complex and includes multiple a-marked segments.
prefnorm-kongmu-jer7	object_inverse_boundary	kongmu	object_prefix_or_inverse_like	Jeremiah 7:11	Old Testament	Keimah in note' hih khempeuh kong mu khin hi, Topa in kong ci hi.	keimah | in | note' | hih | khempeuh | kong-mu | khin | hi | Topa | in | kong | ci | hi	1SG.PRO | ERG | 2PL.POSS | this | all | 1SG-see.2 | PFV | DECL | LORD | ERG | 1SG | say | DECL	I have seen all these things, says the Lord.	high	print_usable_with_caveat	OT boundary anchor for kong- object/inverse-like behavior.	Form is speech-framed and context-heavy.
prefnorm-hongmu-matt25	object_inverse_boundary	hongmu	object_prefix_or_inverse_like	Matthew 25:37	Gospels	Topa aw, cikin na gilkial hong mu-in an hong pia ka hi uh hiam?	Topa | aw | cikin | na | gilkial | hong-mu | in | an | hong | pia | ka | hi | uh | hiam	Lord | VOC | when | 2SG | hungry | 3→1-see | ERG | food | 3→1 | give | 1SG | be | 2/3PL | Q	Lord, when did we see you hungry and give you food?	medium	print_usable_with_caveat	Gospel boundary counterpart for hong- object/inverse-like behavior.	Includes discourse and interrogative framing.
prefnorm-kipan-gen4	ki_boundary	kipan	ki_reflexive_middle_boundary	Genesis 4:26	Old Testament	Tua hun a kipanin mite in Topa bia-in a min lawh ding kipan ta uh hi.	tua | hun | a | ki-pan-in | mite | in | Topa | bia-in | a | min | lawh | ding | ki-pan | ta | uh | hi	that | time | 3SG | REFL-begin-ERG | people | ERG | LORD | worship-CVB | 3SG | name | call | IRR | REFL-begin | PFV | 2/3PL | DECL	From that time people began to call on the name of the Lord.	high	print_usable_with_caveat	OT boundary anchor for ki- overlap with broader derivational behavior.	ki- function remains partly unsettled.
prefnorm-kipan-matt4	ki_boundary	kipan	ki_reflexive_middle_boundary	Matthew 4:17	Gospels	Tua hun a kipan Jesuh in thuhilh ding kipan a.	tua | hun | a | ki-pan | Jesuh | in | thu-hilh | ding | ki-pan | a	that | time | 3SG | REFL-begin | Jesus | ERG | word-teach | IRR | REFL-begin | DECL	From that time Jesus began to preach.	high	print_usable_with_caveat	Gospel boundary counterpart for ki- routing behavior.	Not all ki- forms have the same analysis.
