pair_id	form_i	form_ii	gloss	alternation_type	form_i_total	form_ii_total	total	dominant_form_i_environments	dominant_form_ii_environments	analyzer_status	used_in_print_packet	in_candidate_tsv	candidate_statuses	publication_status	recommendation	notes
bawl-bawlh	bawl	bawlh	make	+h	2806	0	2806	finite_main_or_matrix:2036; nominalized_na:187; negative_clause:184		known_to_analyzer	no	no		needs_analyzer_review	needs_analyzer_review	
bia-biak	bia	biak	worship	+k	287	2793	3080	finite_main_or_matrix:194; purpose_nadingin:27; negative_clause:26	nominalized_na:1551; unknown_or_needs_review:914; purpose_nadingin:163	known_to_analyzer	yes	no		needs_analyzer_review	candidate_for_expansion	
ci-cih	ci	cih	say	+h	8244	3476	11720	finite_main_or_matrix:7540; negative_clause:305; imperative_or_directive:110	quotative_or_say_complement:2048; finite_main_or_matrix:813; nominalized_na:314	known_to_analyzer	yes	no		needs_analyzer_review	candidate_for_expansion	
dipkua-dipkuat	dipkua	dipkuat	haste	+t	11	1	12	unknown_or_needs_review:7; finite_main_or_matrix:4	nominalized_na:1	known_to_analyzer	no	no		needs_analyzer_review	candidate_for_expansion	
gamla-gamlat	gamla	gamlat	wilderness	+t	81	1	82	unknown_or_needs_review:57; negative_clause:14; finite_main_or_matrix:9	unknown_or_needs_review:1	known_to_analyzer	yes	no		needs_analyzer_review	candidate_for_expansion	
gen-genh	gen	genh	speak	+h	3579	0	3579	finite_main_or_matrix:2036; unknown_or_needs_review:476; imperative_or_directive:266		known_to_analyzer	no	no		needs_analyzer_review	needs_analyzer_review	
hawlkhia-hawlkhiat	hawlkhia	hawlkhiat	drive.out	+t	164	22	186	finite_main_or_matrix:130; negative_clause:23; imperative_or_directive:4	unknown_or_needs_review:15; finite_main_or_matrix:5; negative_clause:1	known_to_analyzer	no	no		needs_analyzer_review	candidate_for_expansion	
hi-hih	hi	hih	be	+h	47853	6399	54252	finite_main_or_matrix:34200; quotative_or_say_complement:7851; negative_clause:5274	unknown_or_needs_review:4660; nominalized_na:572; negative_clause:366	known_to_analyzer	yes	no		needs_analyzer_review	candidate_for_expansion	
honkhia-honkhiat	honkhia	honkhiat	bring.out	+t	363	1	364	compound_or_lexicalized:363	compound_or_lexicalized:1	known_to_analyzer	yes	yes	excluded	exclude_for_now	keep_excluded	
hu-huh	hu	huh	help	+h	164	464	628	compound_or_lexicalized:164	compound_or_lexicalized:464	packet_pair_not_in_VERB_STEM_PAIRS	yes	no		exclude_for_now	keep_excluded	Present in the stem packet, but absent from VERB_STEM_PAIRS.
husia-husiat	husia	husiat	tempest	+t	9	0	9	finite_main_or_matrix:6; unknown_or_needs_review:2; imperative_or_directive:1		known_to_analyzer	no	no		needs_analyzer_review	needs_analyzer_review	
keu-keuh	keu	keuh	dig	+h	166	7	173	unknown_or_needs_review:89; finite_main_or_matrix:44; causative_or_derivational_sak:15	finite_main_or_matrix:5; causative_or_derivational_sak:1; negative_clause:1	known_to_analyzer	no	no		needs_analyzer_review	candidate_for_expansion	
khai-khaih	khai	khaih	hold	+h	235	2	237	unknown_or_needs_review:94; finite_main_or_matrix:85; nominalized_na:35	unknown_or_needs_review:2	known_to_analyzer	no	no		needs_analyzer_review	candidate_for_expansion	
khial-khialh	khial	khialh	err	+h	268	507	775	finite_main_or_matrix:153; unknown_or_needs_review:41; negative_clause:37	nominalized_na:420; finite_main_or_matrix:40; causative_or_derivational_sak:23	known_to_analyzer	no	no		needs_analyzer_review	candidate_for_expansion	
kho-khoh	kho	khoh	labor	+h	77	6	83	finite_main_or_matrix:38; negative_clause:32; purpose_nadingin:4	unknown_or_needs_review:4; finite_main_or_matrix:1; causative_or_derivational_sak:1	known_to_analyzer	no	no		needs_analyzer_review	candidate_for_expansion	Shared Form I base with kho-khot.
kho-khot	kho	khot	labor	+t	0	2	2		unknown_or_needs_review:2	known_to_analyzer	no	no		needs_analyzer_review	needs_analyzer_review	Shared Form I base with kho-khoh.
khua-khuat	khua	khuat	town	+t	3708	3	3711	unknown_or_needs_review:2810; finite_main_or_matrix:653; negative_clause:60	finite_main_or_matrix:2; unknown_or_needs_review:1	known_to_analyzer	yes	no		needs_analyzer_review	candidate_for_expansion	
kia-kiak	kia	kiak	fear	+k	179	14	193	finite_main_or_matrix:126; negative_clause:24; causative_or_derivational_sak:16	finite_main_or_matrix:13; unknown_or_needs_review:1	known_to_analyzer	no	no		needs_analyzer_review	candidate_for_expansion	
kido-kidot	kido	kidot	fight	+t	99	3	102	finite_main_or_matrix:47; nominalized_na:34; purpose_nadingin:8	dependent_temporal_ciangin:1; nominalized_na:1; finite_main_or_matrix:1	known_to_analyzer	no	no		needs_analyzer_review	candidate_for_expansion	
lampi-lampih	lampi	lampih	way	+h	362	1	363	unknown_or_needs_review:254; finite_main_or_matrix:77; negative_clause:25	negative_clause:1	known_to_analyzer	yes	no		needs_analyzer_review	candidate_for_expansion	
lua-luah	lua	luah	exceed	+h	220	254	474	unknown_or_needs_review:103; finite_main_or_matrix:73; negative_clause:36	finite_main_or_matrix:149; purpose_nadingin:46; unknown_or_needs_review:17	known_to_analyzer	no	no		needs_analyzer_review	candidate_for_expansion	
mu-muh	mu	muh	see	+h	1361	993	2354	finite_main_or_matrix:1008; negative_clause:246; imperative_or_directive:27	finite_main_or_matrix:406; nominalized_na:295; dependent_temporal_ciangin:173	known_to_analyzer	yes	yes	accepted	print_ready	interpretive_revision_of_slice	Shared Form I base with mu-muk.
mu-muk	mu	muk	see	+k	2	34	36	finite_main_or_matrix:2	unknown_or_needs_review:26; finite_main_or_matrix:7; imperative_or_directive:1	known_to_analyzer	yes	no		needs_analyzer_review	candidate_for_expansion	Shared Form I base with mu-muh.
mual-mualh	mual	mualh	mountain	+h	864	1	865	unknown_or_needs_review:736; finite_main_or_matrix:103; negative_clause:12	quotative_or_say_complement:1	known_to_analyzer	yes	no		needs_analyzer_review	candidate_for_expansion	
ne-neh	ne	neh	eat	+h	0	33	33		finite_main_or_matrix:13; unknown_or_needs_review:13; negative_clause:6	known_to_analyzer	no	no		needs_analyzer_review	needs_analyzer_review	Shared Form I base with ne-nek.
ne-nek	ne	nek	eat	+k	774	441	1215	finite_main_or_matrix:514; negative_clause:138; purpose_nadingin:32	finite_main_or_matrix:279; nominalized_na:55; purpose_nadingin:41	known_to_analyzer	yes	yes	accepted	print_ready	interpretive_revision_of_slice	Shared Form I base with ne-neh.
nei-neih	nei	neih	have	+h	2126	823	2949	finite_main_or_matrix:1472; negative_clause:421; unknown_or_needs_review:91	finite_main_or_matrix:579; nominalized_na:80; negative_clause:54	known_to_analyzer	yes	yes	accepted	print_ready	interpretive_revision_of_slice	
