example_id	case_topic	candidate_form	construction_type	source_reference	source_zone	tedim_text	segmentation	gloss	translation	example_quality	print_status	why_selected	caveat
casenorm-in-kain-gen4	ergative_or_agentive_in	-in	ergative_agent_np	Genesis 4:3	Old Testament	Kain in	Kain | in	Cain | ERG	Cain as transitive subject	high	print-ready	Primary candidate-backed ergative anchor already used in the packet.	Raw -in strings still overgenerate forms such as ciangin.
casenorm-in-herod-matt2	ergative_or_agentive_in	-in	ergative_agent_np	Matthew 2:4	Gospels	Herod in	Herod | in	Herod | ERG	Herod as transitive subject	high	print-usable with caveat	Clean Gospel support row added for source balance after manual review.	The core ergative claim still rests on the candidate-backed Genesis anchor.
casenorm-ah-khua-gen11	locative_or_goal_ah	-ah	simple_noun_plus_case	Genesis 11:28	Old Testament	khua-ah	khua | -ah	town | LOC	in the town	high	print-ready	Cleanest plain noun-plus-locative control in the current packet.	Does not settle the larger locative versus allative distinction.
casenorm-ah-inn-matt8	locative_or_goal_ah	-ah	goal_like_np_final_case	Matthew 8:8	Gospels	keima inn-ah	keima | inn | -ah	1SG.self | house | LOC	into my house	high	print-usable with caveat	Clean Gospel -ah row with simple NP-final marking and clear motion context.	Goal-like force comes from the larger clause as well as the marker.
casenorm-panin-inn-gen12	source_marking	-panin	source_marking_np	Genesis 12:1	Old Testament	inn panin	inn | panin	house | from	from the house	medium	print-usable with caveat	Best compact non-relator source row already retained in the candidate packet.	The internal structure of panin remains under review.
casenorm-poss-na-pa-inn-gen24	genitive_or_possessive_boundary	pa' inn-ah	possessed_np_plus_case	Genesis 24:23	Old Testament	na pa' inn-ah	na | pa' | inn | -ah	2SG.POSS | father | house | LOC	in thy father's house	high	print-usable with caveat	Shows that case-like marking can close a possessed noun phrase.	Does not settle whether the apostrophe should be analyzed as genitive, possessive linker, or orthographic boundary.
casenorm-relator-lakpan-matt5	relator_or_postposition_boundary	-pan	relator_hosted_source	Matthew 5:19	Gospels	lakpan	lak | -pan	among | ABL	from among	high	print-usable with caveat	Clean Gospel source row showing that the source marker can be hosted by a relator noun.	Belongs jointly with the relators / postpositions section rather than a suffix-only inventory.
casenorm-relator-david-khuapi-sungah-luke2	relator_or_postposition_boundary	-ah	relator_hosted_locative	Luke 2:11	Gospels	David khuapi sungah	David | khuapi | sung | -ah	David | city | inside | LOC	in the city of David	high	print-usable with caveat	Clean Gospel relator-hosted locative row for the case or relator boundary discussion.	The relational host sung remains part of the analysis.
casenorm-tawh-kei-gen14	other_controlled_oblique	-tawh	comitative_accompaniment	Genesis 14:24	Old Testament	kei tawh	kei | tawh	1SG.PRO | COM	with me	high	print-ready	Best current accompaniment anchor already controlled in the packet.	Should stay distinct from material or instrumental extension.
casenorm-tawh-leivui-gen2	other_controlled_oblique	-tawh	material_or_instrumental_extension	Genesis 2:7	Old Testament	leivui tawh	leivui | tawh	dust | COM	with dust	high	print-usable with caveat	Retains the packet's material-extension row so tawh is not flattened into simple accompaniment.	The exact semantic label remains broader than ordinary human accompaniment.
