example_id	reduplication_topic	candidate_form	construction_type	source_reference	source_zone	tedim_text	segmentation	gloss	translation	example_quality	print_status	why_selected	caveat
ex:red-mahmah-gen1-31	full-intensification	mahmah	full reduplication intensifier	Genesis 1:31	OT	hoih sa mahmah hi	hoih | sa | mah~mah | hi	good | become.good | EMPH~EMPH | DECL	it was very good	high	formal	Primary Old Testament anchor for full-reduplication intensification.	None.
ex:red-mahmah-matt2-3	full-intensification	mahmah	full reduplication intensifier	Matthew 2:3	Gospel	lamdangsa mahmah	lamdang-sa | mah~mah	amazed-STAT | EMPH~EMPH	very alarmed / greatly troubled	high	formal	Gospel comparandum for the same intensifier pattern.	Short phrase; lexical nuance remains context-sensitive.
ex:red-taktak-gen27-24	full-intensification-support	taktak	full reduplication intensifier support	Genesis 27:24	OT	Esau taktak na hi hiam?	Esau | tak~tak | na | hi | hiam	Esau | TRUE~TRUE | 2SG | be | Q	Are you really Esau?	high	formal	Old Testament support row for intensifier-like full reduplication.	Question context; not a standalone discourse particle claim.
ex:red-taktak-matt27-54	full-intensification-support	taktak	full reduplication intensifier support	Matthew 27:54	Gospel	Pasian' Tapa taktak mah ahi hi	Pasian' | Tapa | tak~tak | mah | ahi | hi	God-GEN | son | TRUE~TRUE | EMPH | be.3SG.REL | DECL	Truly this was the Son of God	high	formal	Gospel support row for the same taktak intensifier function.	Also contains emphatic mah; interpretation kept narrow.
ex:red-peuhpeuh-gen18-14	secondary-distributive	peuhpeuh	full reduplication distributive-like	Genesis 18:14	OT	Na khat peuhpeuh Topa a dingin haksa lua ahi hiam?	na | khat | peuh~peuh | Topa | a | ding-in | haksa | lua | ahi | hiam	thing | one | EACH~EACH | Lord | 3SG/FUNC | IRR-ERG | difficult | very | be.3SG.REL | Q	Is anything too hard for the Lord?	medium	formal	Old Testament row showing distributive/free-choice adjacency with peuhpeuh.	Quantifier-adjacent behavior remains explicit.
ex:red-peuhpeuh-matt10-11	secondary-distributive	peuhpeuh	full reduplication distributive-like	Matthew 10:11	Gospel	khua khat peuhpeuh na tun uh ciangin	khua | khat | peuh~peuh | na | tun | uh | ciangin	town | one | EACH~EACH | 2PL | arrive | PL | when	whichever town you enter	medium	formal	Gospel comparandum for secondary distributive peuhpeuh evidence.	Not promoted as the leading reduplication claim.
ex:red-ni-ni-1chr12-22	boundary-syntactic	ni ni	syntactic repetition boundary	1 Chronicles 12:22	OT	a ni ni-in	a | ni | ni-in	3SG/FUNC | day | day-ERG	day by day	medium	boundary_prose	Controlled boundary row for syntactic/adverbial repetition.	No equally clean Gospel comparandum is currently used formally.
ex:red-leuleu-acts28-13	boundary-aspectual	leuleu	aspectual or VP-boundary repetition	Acts 28:13	OtherNT	pai leuleu-in	pai | leu~leu | in	go | ITER~ITER | CVB	go gradually	medium	boundary_prose	Boundary control row for TAM/aspect and VP overlap.	Other-NT evidence kept prose-only in this section.
ex:red-kawikawi-mark6-55	boundary-lexicalized	kawikawi	expressive or lexicalized-looking repetition	Mark 6:55	Gospel	tai kawikawi uh	tai | kawi~kawi | uh	run | side~side | PL	they ran all around	low	deferred	Shows why expressive/spatial rows are kept deferred.	Not promoted as core reduplication evidence.
ex:red-gengen-control	boundary-verbal	gengen	verbal reduplication candidate	no-source-available	NoSource	gengen	gen~gen	speak~speak / saying repeatedly	saying repeatedly	low	deferred	Tracks report-visible verbal row in deferred set.	No clean controlled formal example is currently promoted.
ex:red-theithei-control	boundary-modal	theithei	adverbial-modal boundary row	no-source-available	NoSource	theithei	thei~thei	KNOW~KNOW / adverbial-modal boundary	adverbial or modal boundary	low	deferred	Tracks report-visible modal-looking row in deferred set.	No clean controlled formal example is currently promoted.
ex:red-report-only-bang-family	boundary-report-only	bangbang, bekbek, zenzen, tuamtuam	report-only reduplicative-looking rows	no-source-available	NoSource	bangbang / bekbek / zenzen / tuamtuam	bang~bang / bek~bek / zen~zen / tuam~tuam	kind~kind / only~only / complete~complete / various~various	report-only boundary set	low	deferred	Records report-only lexicalized-looking rows kept outside the core claim.	Deferred until cleaner candidate-backed examples are available.
