pair_id	form_i	form_ii	environment	form_i_count	form_ii_count	total_count	representative_references	notes
bawl-bawlh	bawl	bawlh	causative_or_derivational_sak	102	0	102	Genesis 2:18; Genesis 21:6; Genesis 26:22; Genesis 34:21; Genesis 37:3	Causative or derivational `sak` blocks promotion as simple stem-alternation evidence.:102
bawl-bawlh	bawl	bawlh	clause_linking_kipan	2	0	2	Genesis 39:5; Luke 15:24	Local `a kipan` sequence marks a clause-linking or source/beginning environment.:2
bawl-bawlh	bawl	bawlh	dependent_temporal_ciangin	12	0	12	Exodus 29:36; Leviticus 27:2; Numbers 6:2; Numbers 10:2; 1 Samuel 22:8	Immediate following `ciangin` provides a conservative dependent-temporal cue.:12
bawl-bawlh	bawl	bawlh	dependent_temporal_ni_in	2	0	2	Exodus 12:14; Hosea 7:5	Immediate following `ni-in` provides a conservative dependent-temporal cue.:2
bawl-bawlh	bawl	bawlh	finite_main_or_matrix	2036	0	2036	Genesis 1:7; Genesis 1:16; Genesis 1:26; Genesis 2:4; Genesis 2:7	No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket.:2036
bawl-bawlh	bawl	bawlh	imperative_or_directive	81	0	81	Genesis 6:14; Genesis 6:16; Genesis 16:6; Genesis 18:6; Genesis 34:9	A following imperative-like particle may indicate directive force.:81
bawl-bawlh	bawl	bawlh	negative_clause	184	0	184	Genesis 12:18; Genesis 45:8; Genesis 45:9; Genesis 47:29; Exodus 20:4	Nearby negative material marks a negative or irrealis-heavy clause.:184
bawl-bawlh	bawl	bawlh	nominalized_na	187	0	187	Genesis 13:4; Genesis 16:5; Genesis 21:9; Genesis 31:12; Genesis 31:13	Suffixal `-na` in the analyzer segmentation supports a nominalized environment.:187
bawl-bawlh	bawl	bawlh	possessed_or_genitive_attributive	4	0	4	Psalms 22:16; Proverbs 24:8; Ezekiel 23:37; Ezekiel 23:45	A following `mi` plus a preceding possessor-like token suggests an attributive or possessed nominal environment.:4
bawl-bawlh	bawl	bawlh	purpose_nadingin	66	0	66	Genesis 26:27; Genesis 27:9; Genesis 31:52; Genesis 35:3; Genesis 50:2	Local `ding` or `nadingin` material suggests a purpose or irrealis-heavy environment.:66
bawl-bawlh	bawl	bawlh	quotative_or_say_complement	28	0	28	Genesis 11:4; Genesis 27:7; Genesis 38:29; Genesis 41:51; Genesis 41:52	Nearby quotative material suggests embedded or reported-speech structure.:28
bawl-bawlh	bawl	bawlh	relative_or_attributive_mi	9	0	9	Exodus 30:33; Exodus 30:38; Proverbs 6:33; Matthew 5:22; Matthew 13:41	A following `mi` suggests a relative-like or attributive nominal environment.:9
bawl-bawlh	bawl	bawlh	unknown_or_needs_review	93	0	93	Genesis 1:31; Genesis 19:9; Exodus 28:36; Numbers 35:22; Deuteronomy 8:9	No conservative local environment rule fired for this token.:93
