candidate_id	topic	candidate_group	candidate_form	construction_type	source_type	source_reference	anchor_form	segmentation_span	gloss_span	rough_function	candidate_status	confidence	print_status	why_selected	why_excluded	manual_review_status	notes
tam_ngei_test_paingei	tam	experiential	ngei	verb_ngei_experiential	test	tests/test_habitual_markers.py::test_ngei_with_verb	paingei	pai-ngei	go-EXP	experiential / have V-ed before	accepted	high	print_ready	Clean verb-attached experiential anchor already protected by analyzer-backed habitual-marker tests.		reviewed	Prefer `paingei` over bare `ngei` for the first print-facing TAM sub-scope.
tam_gige_test_neigige	tam	habitual	gige	verb_gige_habitual	test	tests/test_habitual_markers.py::test_gige_with_verb	neigige	nei-gige	have-HAB	habitual / regularly do	accepted	high	print_ready	Clean verb-plus-suffix habitual anchor already covered by tests.		reviewed	A good first habitual row because it stays compact and analyzer-backed.
tam_zel_test_paizel	tam	habitual_continuative	zel	verb_zel_habitual_continuative	test	tests/test_habitual_markers.py::test_zel_habitual_continuative	paizel	pai-zel	go-HAB.CONT	habitual continuative / keep doing	accepted_with_caveat	high	print_usable_with_caveat	The habitual-marker tests already keep `-zel` visible through a compact verbal row.	Do not broaden `-zel` into all continuative-looking or lexicalized forms without tighter construction control.	reviewed	Usable in a first slice, but the habitual-versus-broader-aspect boundary must stay explicit.
tam_ta_test_kilawmta	tam	aspect	ta	verb_ta_perfective	test	tests/test_vp_slots.py::test_aspect_ta_perfective	kilawmta	ki-lawm-ta	REFL-worthy-PFV	perfective / completed event	accepted_with_caveat	medium	print_usable_with_caveat	`kilawmta` is a compact analyzer-backed perfective anchor from the existing VP-slot tests.	`-ta` also overlaps clause-final and sentence-final material elsewhere, so the first TAM slice must keep it construction-controlled.	reviewed	Use compact suffixed verbs, not every orthographic `ta`, as TAM evidence.
tam_zo_test_bawlzo	tam	aspect	zo	verb_zo_completive	test	tests/test_vp_slots.py::test_aspect_zo_completive	bawlzo	bawl-zo	make-COMPL	completive / finish V-ing	accepted_with_caveat	medium	print_usable_with_caveat	`bawlzo` is a clean analyzer-backed verbal completive anchor from the VP-slot tests.	Bare `zo` overlaps lexical and sentence-final material, so only suffixed verbal rows are safe here.	reviewed	Keep `-zo` tied to compact verbal anchors rather than bare `zo`.
tam_kik_test_hongpaikik	tam	aspect	kik	verb_kik_iterative	test	tests/test_vp_slots.py::test_aspect_kik_iterative	hongpaikik	hong-pai-kik	3→1-go-ITER	iterative / again	accepted_with_caveat	medium	print_usable_with_caveat	The existing VP-slot tests already protect a compact iterative row.	The broader TAM report often shows `-kik` in return or motion-flavored constructions, so later prose should stay narrow.	reviewed	Use as iterative evidence without broadening into a full motion-or-return chapter.
tam_ding_test_omding	tam	modal	ding	verb_ding_irrealis	test+report	tests/test_vp_slots.py::test_modal_ding_irrealis; docs/grammar/reports/05-verb-04-tam.md#-ding-(Irrealis/Future)	omding	om-ding	exist-IRR	irrealis / future / modal	accepted_with_caveat	medium	print_usable_with_caveat	`omding` is a compact analyzer-backed IRR anchor, and the TAM report confirms `-ding` as a discovery target.	The report's easiest corpus examples are often `ding-in` or `na-ding` clause-bound forms rather than simple bare-suffix rows.	reviewed	Start with compact `omding`, not with report-style purpose or clause material.
tam_thei_test_bawlthei	tam	modal	thei	verb_thei_abilitative	test+report	tests/test_vp_slots.py::test_modal_thei_abilitative; docs/grammar/reports/05-verb-04-tam.md#-thei-(Abilitative)	bawlthei	bawl-thei	make-ABIL	abilitative / can / be able	accepted_with_caveat	medium	print_usable_with_caveat	`bawlthei` is a cleaner abilitative anchor than the report's more entangled examples.	The report often shows `-thei` together with negation or irrealis, so the first slice should not start from stacked or negative modal strings.	reviewed	Keep `-thei` separate from negated `...thei lo` or `...thei ding` strings in the first slice.
tam_lai_test_pailai	tam	prospective	lai	verb_lai_prospective_or_lexical	test	tests/test_vp_slots.py::test_modal_lai_prospective	pailai	pai-lai	go-midst	prospective candidate / lexical overlap	deferred	medium	not_print_ready	The VP-slot tests keep `-lai` visible as a possible prospective marker, so the scoping packet records it explicitly.	The current analyzer output for `pailai` is `go-midst`, which is too lexically entangled for a clean first print-facing TAM claim.	needs_followup	Do not promote `-lai` until a cleaner analyzer-backed corpus row is chosen.
tam_dingin_report_gen1_14_dingin	tam	clause_bound	ding	ding_in_clause_boundary	report	docs/grammar/reports/05-verb-04-tam.md#-ding-(Irrealis/Future)	dingin	ding-in	IRR-ERG	irrealis in clause-bound or purposive environment	deferred	medium	not_print_ready	The generated TAM report repeatedly highlights `dingin`, so the scoping packet keeps one explicit clause-bound `-ding` form visible.	`ding-in` is construction-bound material, not the safest first print-facing modal suffix anchor.	needs_followup	Keep report-style `dingin` separate from cleaner bare-suffix anchors such as `omding`.
