candidate_id	topic	construction_id	marker	construction_type	verse_id	reference	surface_span	token_indices	segmentation_span	gloss_span	lemma_span	pos_span	kjv	candidate_status	confidence	print_status	why_selected	why_excluded	manual_review_status	notes
case_in_gen4_3_kain_in	case_marking	case_in_ergative	in	ergative_agent	01004003	Genesis 4:3	Kain in	3-4	Kain | in	KAIN | ERG	Kain | in	PROP | FUNC	And in process of time it came to pass, that Cain brought of the fruit of the ground an offering unto the LORD.	accepted	high	print_ready	Current grammar slice anchor for ergative -in; analyzer export preserves a clean proper-noun-plus-ERG window.		reviewed	Use as the main accepted ergative candidate.
case_in_gen1_3_ciangin_review	case_marking	case_in_ambiguity	in	ambiguous_homograph	01001003	Genesis 1:3	ciangin	8	ciang-in	then-ERG	ciang	CONJ	And God said, Let there be light: and there was light.	needs_review	low	blocked	Retained to show why automatic -in extraction is risky.	String matching on -in would overgenerate conjunctional or non-case material such as ciangin.	needs_followup	This row is an ambiguity control, not a case example.
case_ah_gen11_28_khuaah	case_marking	case_ah_locative	ah	locative_place	01011028	Genesis 11:28	khua-ah	13	khua-ah	town-LOC	khua	FUNC	And Haran died before his father Terah in the land of his nativity.	accepted	high	print_ready	Clean noun-plus-locative example from the analyzer export; use as the ordinary -ah locative control.		reviewed	Plain locative row, kept separate from relator-noun constructions.
case_relator_gen1_6_laizangah	case_marking	case_relator_spatial	relator_noun_plus_case	relator_noun_spatial	01001006	Genesis 1:6	laizangah	3	lai-zang-ah	middle-side-LOC	lai	FUNC	And God said, Let there be a firmament in the midst of the waters.	accepted_with_caveat	medium	print_usable_with_caveat	Existing slice example; analyzer export preserves the spatial construction cleanly enough for candidate review.		reviewed	Keep as relator-noun-plus-case evidence rather than flattening it into a bare -ah example.
case_relator_gen1_14_vantungah	case_marking	case_relator_spatial	relator_noun_plus_case	relator_noun_spatial	01001014	Genesis 1:14	vantungah	8	vantung-ah	heaven-LOC	vantung	FUNC	And God said, Let there be lights in the firmament of the heaven.	accepted_with_caveat	medium	print_usable_with_caveat	Second existing slice example showing spatial-stem plus locative marking in the analyzer export.		reviewed	Keep as relator-noun-plus-case evidence rather than as a bare place-noun locative.
case_relator_gen2_19_kiangah	case_marking	case_relator_spatial	relator_noun_plus_case	relator_noun_spatial	01002019	Genesis 2:19	kiangah	31	kiang-ah	beside-LOC	kiang	FUNC	And brought them unto Adam to see what he would call them.	accepted	medium	print_usable_with_caveat	Representative relator-noun-plus-case row from the token export.		reviewed	Supports the claim that relator-noun spatial grammar cannot be reduced to a suffix list.
case_relator_gen1_11_sungah	case_marking	case_relator_spatial	relator_noun_plus_case	relator_noun_spatial	01001011	Genesis 1:11	sungah	15	sung-ah	inside-LOC	sung	FUNC	And God said, Let the earth bring forth grass, the herb yielding seed.	accepted	medium	print_usable_with_caveat	Representative internal-space relator construction from the analyzer export.		reviewed	Relator-noun evidence, not a plain -ah control.
case_relator_gen1_2_tungah	case_marking	case_relator_spatial	relator_noun_plus_case	relator_noun_spatial	01001002	Genesis 1:2	tungah	18	tung-ah	on-LOC	tung	FUNC	And darkness was upon the face of the deep.	accepted	medium	print_usable_with_caveat	Representative surface or vertical relator construction from the analyzer export.		reviewed	Keep with relator-noun-plus-case rows.
case_a_gen2_7_a_review	case_marking	case_a_review	a	review_needed	01002007	Genesis 2:7	a	9-10	a | a	3SG | 3SG	a | a	FUNC | FUNC	And the LORD God formed man of the dust of the ground.	deferred	low	blocked	Retained as a control because the current export does not cleanly separate allative -a from pronominal or other functional tokens.	The current export does not cleanly separate allative -a from other ambiguous exported a tokens, so do not force them into a candidate layer until the analyzer route is sharper.	needs_followup	This row documents why -a remains deferred instead of being collapsed into -ah.
case_pan_matt5_19_lakpan	case_marking	case_pan_source	pan	source_relator	40005019	Matthew 5:19	lakpan	5	lak-pan	midst-ABL	lak	FUNC	Whosoever therefore shall break one of these least commandments.	accepted_with_caveat	medium	print_usable_with_caveat	Matches the current case slice's source example and is analyzer-supported as a relator-noun source construction.		reviewed	Keep as source marking on a relator noun, not as a bare suffix token.
case_panin_gen12_1_inn_panin	case_marking	case_panin_source	panin	source_ablative	01012001	Genesis 12:1	inn panin	11-12	inn | pan-in	house | ABL-ERG	inn | pan	N | FUNC	Now the LORD had said unto Abram, Get thee out of thy country, and from thy kindred, and from thy father's house.	accepted_with_caveat	medium	print_usable_with_caveat	Analyzer export preserves the `inn panin` span and supports conservative source-marking treatment.		reviewed	Treat -panin conservatively as source-marking evidence without forcing a fully settled compositional `pan + in` analysis.
case_tawh_gen14_24_kei_tawh	case_marking	case_tawh_comitative	tawh	comitative_accompaniment	01014024	Genesis 14:24	kei tawh	3-4	kei | tawh	1SG.PRO | COM	kei | tawh	PRON | FUNC	Save only that which the young men have eaten, and the portion of the men which went with me.	accepted	high	print_ready	Current slice example for accompaniment; analyzer export preserves the pronoun-plus-COM window cleanly.		reviewed	Use as the main comitative/accompaniment candidate.
case_tawh_gen2_7_leivui_tawh	case_marking	case_tawh_material	tawh	material_or_instrumental_extension	01002007	Genesis 2:7	leivui tawh	5-6	leivui | tawh	dust | COM	leivui | tawh	N | FUNC	And the LORD God formed man of the dust of the ground.	accepted_with_caveat	high	print_usable_with_caveat	Current slice and review notes treat this as material or means extension rather than ordinary accompaniment.		reviewed	Keep distinct from accompaniment so tawh is not flattened into a single undifferentiated with-category.
