lexeme_id	promotion_group	form_side	reference	verse_id	token_index	surface_form	normalized_form	segmentation	gloss_span	lemma	pos	tedim_clause_or_sentence	local_context	kjv	environment	construction_label	example_role	citation_quality	why_this_example	remaining_caveat	use_in_grammar	notes
mu-muh	core_showcase	form_i	Genesis 1:4	01001004	8	mu	mu	mu	see.I	mu	V	Pasian in tua khuavak hoih hi, ci-in a mu hi. Pasian in khuamial panin khuavak khenkhia hi.	hi ci-in a [mu] hi Pasian in	And God saw the light, that it was good: and God divided the light from the darkness.	finite_main_or_matrix	main finite perception predicate	lead_form_i_example	print_ready	Exact finite Form I token for the strongest showcase pair.	none	use_as_main_example	Core citation anchor for the Form I side.
mu-muh	core_showcase	form_ii	Genesis 19:1	01019001	20	muh	muh	muh	see.II	mu	V	Vantung mi nihte Sodom ah nitakin hong tung a, Sodom khua kulhkongpi-ah Lot na tu hi. Lot in amaute a muh ciangin, amaute a dawn dingin ding a, leilakah a mai ngatin kun a,	in amaute a [muh] ciangin amaute a	And there came two angels to Sodom at even; and Lot sat in the gate of Sodom: and Lot seeing them rose up to meet them; and he bowed himself with his face toward the ground;	dependent_temporal_ciangin	dependent temporal `muh ciangin` clause	lead_form_ii_example	print_usable_with_caveat	Exact Form II row with clear dependent syntax and stable verbal analysis.	Form II illustration is strongest in a dependent clause rather than as a plain finite contrast.	use_as_main_example	Keeps the packet on exact `muh` rather than nominalized `muhna` material.
ne-nek	core_showcase	form_i	Genesis 2:17	01002017	12	ne	ne	ne	eat	ne	V	Ahih hangin a pha le a sia theihna singkung gah pen na ne kei ding hi. Bang hang hiam cih leh tua na nek ni-in na si ding hi,” a ci hi.	gah pen na [ne] kei ding hi	but of the tree of the knowledge of good and evil, thou shalt not eat of it: for in the day that thou eatest thereof thou shalt surely die.	negative_clause	negative prohibition on eating	lead_form_i_example	print_ready	Exact Form I row from the clearest same-verse pedagogical contrast in the packet.	none	use_as_main_example	Retains the long-standing core showcase contrast.
ne-nek	core_showcase	form_ii	Genesis 2:17	01002017	23	nek	nek	nek	eat.II	ne	V	Ahih hangin a pha le a sia theihna singkung gah pen na ne kei ding hi. Bang hang hiam cih leh tua na nek ni-in na si ding hi,” a ci hi.	leh tua na [nek] ni-in na si	but of the tree of the knowledge of good and evil, thou shalt not eat of it: for in the day that thou eatest thereof thou shalt surely die.	dependent_temporal_ni_in	dependent temporal `nek ni-in` clause	lead_form_ii_example	print_ready	Exact Form II token in a transparent non-final environment from the same verse as the Form I lead.	none	use_as_main_example	Best compact showcase of the I/II contrast in one verse.
nei-neih	core_showcase	form_i	Genesis 11:30	01011030	5	nei	nei	nei	have	nei	V	Tu-in Sarai ciing a, ta nei lo hi.	ciing a ta [nei] lo hi	But Sarai was barren; she had no child.	negative_clause	negative possession predicate	lead_form_i_example	print_ready	Exact Form I token with simple clause structure and minimal lexical noise.	none	use_as_main_example	Stable Form I citation for the possession verb.
nei-neih	core_showcase	form_ii	2 Samuel 23:8	10023008	1	neih	neih	nei-h	have-NOM	nei	V	David’ neih mi thahatte’ minte: Tahkhemon mi Joshebbasshebeth hi a, amah pen mi thumte a ukpa ahi hi. Amah in a teipi tawh mihing zagiat do-in hun khat sungin thatmang khin hi.	David [neih] mi thahatte minte	These be the names of the mighty men whom David had: the Tachmonite that sat in the seat, chief among the captains; the same was Adino the Eznite: he lift up his spear against eight hundred, whom he slew at one time.	possessed_or_genitive_attributive	possessed or attributive `David neih ...` construction	supporting_form_ii_example	print_ready	Exact Form II row in a clear non-final attributive environment.	This is structurally strong but less introductory than a simple finite clause.	use_as_supporting_example	Useful for showing that Form II need not be finite to be citation-grade.
za-zak	caveated_promoted	form_i	2 Samuel 20:16	10020016	9	“Za	“za	Za	hear	za	V	Tua ciangin numei pil khat in khuapi panin samin, “Za un! Joab kiangah gen un: ‘Nang tungah thu kong gen theih nadingin hih lai-ah hong pai in,’ ci un,” a ci hi.	khuapi panin samin [“Za] un Joab kiangah	Then cried a wise woman out of the city, Hear, hear; say, I pray you, unto Joab, Come near hither, that I may speak with thee.	imperative_or_directive	directive hearing imperative	lead_form_i_example	print_usable_with_caveat	Exact Form I row with overt directive force and transparent lexical meaning.	The surface token carries clause-initial quotation punctuation, so it is not the cleanest first print example.	use_as_supporting_example	Still the best concise Form I citation for `za ~ zak`.
za-zak	caveated_promoted	form_ii	Genesis 24:52	01024052	6	zak	zak	zak	hear.II	za	V	Abraham’ nasempa in amau’ kammalte a zak ciangin Topa’ mai leilakah a kunsuk hi.	amau kammalte a [zak] ciangin Topa mai	And it came to pass, that, when Abraham's servant heard their words, he worshipped the LORD , bowing himself to the earth.	dependent_temporal_ciangin	dependent temporal `zak ciangin` clause	lead_form_ii_example	print_usable_with_caveat	Exact Form II row in a transparent dependent environment.	The pair is real, but `zak` still has broader lexical spread than the core showcase verbs.	use_as_supporting_example	Preferred Form II citation because the non-final syntax is explicit in the clause.
pia-piak	caveated_promoted	form_i	Genesis 3:12	01003012	13	pia	pia	pia	give	pia	V	Mipa in, “Kei tawh a om dinga nong piak numei in singgah hong pia a, ke’n ka ne hi,” ci hi.	in singgah hong [pia] a ke'n ka	And the man said, The woman whom thou gavest to be with me, she gave me of the tree, and I did eat.	finite_main_or_matrix	main finite transfer predicate	lead_form_i_example	print_usable_with_caveat	Exact Form I row in a compact narrative clause already central to the packet.	The verse is usable, but neighboring transfer material makes it better as a supporting than a headline contrast.	use_as_supporting_example	Keeps the pair anchored in an exact row already familiar from the review packet.
pia-piak	caveated_promoted	form_ii	Genesis 3:12	01003012	8	piak	piak	piak	give.to	pia	V	Mipa in, “Kei tawh a om dinga nong piak numei in singgah hong pia a, ke’n ka ne hi,” ci hi.	om dinga nong [piak] numei in singgah	And the man said, The woman whom thou gavest to be with me, she gave me of the tree, and I did eat.	finite_main_or_matrix	main finite transfer predicate	lead_form_ii_example	print_usable_with_caveat	Exact Form II token from the same verse as the Form I lead.	Good lexical evidence, but not the clearest clause for showing a distinctive Form II environment.	use_as_supporting_example	Pairs neatly with the Form I citation for quick comparison.
