lexeme_id	form_i	form_ii	gloss	current_lexical_category	current_promotion_status	current_promotion_blocker	clean_verb_form_i_count	clean_verb_form_ii_count	best_form_i_review_example	best_form_ii_review_example	environment_distribution_summary	main_obstacle	manual_review_decision	recommended_new_promotion_status	recommended_grammar_location	decision_rationale	next_manual_check
bawl-bawlh	bawl	bawlh	make	lexical_verb	mention_in_inventory_only	no_clean_form_ii_verb_example	1540	0	Zechariah 9:3 `bawl` [finite_main_or_matrix; V]		finite_main_or_matrix:1269; negative_clause:112; imperative_or_directive:63; purpose_nadingin:61; quotative_or_say_complement:23; dependent_temporal_ciangin:10	Bible evidence is effectively one-sided because the questionnaire control `bawl ~ bawl` already covers the overt written form	retain_inventory_only	mention_in_inventory_only	difficult_cases	The lexical verb remains relevant to the inventory, but there is still no clean overt Form II evidence to justify promotion into the alternating-verb table.	Keep it in the one-sided inventory unless exact `bawlh` verbal rows appear.
bia-biak	bia	biak	worship	lexical_verb	promote_with_caveat	needs_manual_philological_review	213	211	Zephaniah 2:11 `bia` [finite_main_or_matrix; V]	Philippians 1:3 `biak` [finite_main_or_matrix; V]	finite_main_or_matrix:232; purpose_nadingin:141; negative_clause:35; imperative_or_directive:14; relative_or_attributive_mi:6; quotative_or_say_complement:2	Form II is heavily clustered in worship, offering, and nominalized material	promote_with_caveat_now	promote_with_caveat	caveated_promoted_verbal_inventory	Both forms survive as genuine verbal evidence, so the pair belongs in the promoted inventory, but the grammar should keep noting that the Form II distribution is domain-specific.	Prefer a finite or purpose-context Form II token that avoids sacrificial lexical crowding.
dipkua-dipkuat	dipkua	dipkuat	haste	lexical_verb	mention_in_inventory_only	no_clean_form_ii_verb_example	2	0	Psalms 48:5 `dipkua` [finite_main_or_matrix; V]	Leviticus 26:16 `dipkuatna` [nominalized_na; V]	finite_main_or_matrix:2	Form II currently survives only in nominalized or otherwise complex material	retain_inventory_only	mention_in_inventory_only	difficult_cases	The lexical item is probably real, but the current Bible evidence is too constructionally narrow for promotion.	Look for an exact non-nominalized `dipkuat` verbal token before promoting it.
gen-genh	gen	genh	speak	lexical_verb	mention_in_inventory_only	no_clean_form_ii_verb_example	2392	0	Zephaniah 3:8 `gen` [finite_main_or_matrix; V]		finite_main_or_matrix:1726; imperative_or_directive:252; negative_clause:140; quotative_or_say_complement:137; purpose_nadingin:72; dependent_temporal_ciangin:65	no clean verbal Form II evidence has survived the current audit	retain_inventory_only	mention_in_inventory_only	difficult_cases	The Bible strongly attests Form I, but promotion should wait until a defensible exact `genh` verbal token is isolated.	Treat any future `genh` candidate as a manual philology item rather than auto-promoting it.
hawlkhia-hawlkhiat	hawlkhia	hawlkhiat	drive.out	lexical_verb	mention_in_inventory_only	no_clean_form_ii_verb_example	101	0	Zephaniah 3:11 `hawlkhia` [finite_main_or_matrix; V]	Mark 11:15 `hawlkhiat` [finite_main_or_matrix; N]	finite_main_or_matrix:77; negative_clause:22; unknown_or_needs_review:15; imperative_or_directive:4; purpose_nadingin:2; quotative_or_say_complement:2	current Form II candidates drift toward non-verbal or lemma-unstable readings	retain_inventory_only	mention_in_inventory_only	difficult_cases	The lexeme deserves inventory coverage, but the present Form II evidence is not yet clean enough for promotion.	Require an exact verbal `hawlkhiat` token with stable lemma and POS before promotion.
husia-husiat	husia	husiat	tempest	lexical_verb	mention_in_inventory_only	no_clean_form_ii_verb_example	6	0	Revelation 16:18 `husia` [finite_main_or_matrix; V]		finite_main_or_matrix:6	no clean form ii verb example	retain_inventory_only	mention_in_inventory_only	difficult_cases	Keep the row in the broader inventory for now because no clean form ii verb example.	Retain in the wider inventory until cleaner evidence appears.
keu-keuh	keu	keuh	dig	noun_or_nominal_compound	block_from_verb_inventory_pending_review	nominal_or_compound_examples_only	0	0	Psalms 90:6 `keu` [finite_main_or_matrix; N]	Isaiah 34:15 `keuh` [finite_main_or_matrix; N]	unknown_or_needs_review:44; finite_main_or_matrix:10; negative_clause:2; imperative_or_directive:2; quotative_or_say_complement:1; dependent_temporal_ciangin:1	current Bible hits are nominal rather than verbal on both sides	block_nonverbal	block_from_verb_inventory_pending_review	blocked_nonverbal_appendix	This is the kind of analyzer pair the manual review is meant to keep out of the verb-stem alternation grammar.	Leave blocked unless a clean verbal reading is documented for both forms.
khai-khaih	khai	khaih	hold	lexical_verb	block_from_verb_inventory_pending_review	no_clean_form_i_verb_example	0	0	Psalms 74:4 `khai` [finite_main_or_matrix; N]	Proverbs 9:2 `khaih` [unknown_or_needs_review; N]	unknown_or_needs_review:36; finite_main_or_matrix:20; negative_clause:4; imperative_or_directive:2; purpose_nadingin:1	no clean form i verb example	block_noise	block_from_verb_inventory_pending_review	difficult_cases	Current evidence is too noisy or too weakly verbal for promotion.	Leave blocked unless new exact verbal evidence is found.
khial-khialh	khial	khialh	err	lexical_verb	promote_with_caveat	needs_manual_philological_review	171	54	Zephaniah 1:17 `khial` [finite_main_or_matrix; V]	Romans 5:14 `khialh` [finite_main_or_matrix; V]	finite_main_or_matrix:177; negative_clause:32; quotative_or_say_complement:10; relative_or_attributive_mi:4; dependent_temporal_ciangin:4; purpose_nadingin:3	the `khialsak` family still creates derivational noise around otherwise clean rows	promote_with_caveat_now	promote_with_caveat	caveated_promoted_verbal_inventory	Both forms have enough clean verbal evidence for grammar discussion, so this pair should stay promoted with caveat.	Prefer exact rows that stay away from `khialsak` and related causative material.
kho-khoh	kho	khoh	labor	lexical_verb	mention_in_inventory_only	needs_manual_philological_review	45	0	Zechariah 13:3 `kho` [finite_main_or_matrix; V]	Jeremiah 36:25 `khoh` [finite_main_or_matrix; N]	finite_main_or_matrix:26; negative_clause:16; purpose_nadingin:4	Form II remains effectively unattested as a clean verbal row, and the base overlaps with `kho-khot`	retain_inventory_only	mention_in_inventory_only	difficult_cases	The Form I side looks verbal enough to keep in the inventory, but the pair is still too one-sided for promotion.	Review `khoh` against `kho-khot` and nominal uses before revisiting promotion.
