example_id	tam_topic	candidate_form	construction_type	source_reference	source_zone	tedim_text	segmentation	gloss	translation	example_quality	print_status	why_selected	caveat
tamnorm-ta-exod1	change_of_state	ta	verb_ta_change_of_state	Exodus 1:12	Old Testament	kihta uh hi	kih-ta | uh | hi	fear-PFV | 2/3PL | DECL	they were afraid	medium	print_usable_with_caveat	Compact OT change-of-state row for -ta without reopening clause-final material.	The exact lexical nuance of kih-ta still needs constructional caution.
tamnorm-ta-matt4	change_of_state	ta	verb_ta_result_state	Matthew 4:4	Gospels	nungta zaw hi	nung-ta | zaw | hi	live-PFV | more | DECL	lives rather	medium	print_usable_with_caveat	Gospel counterpart keeps -ta visible outside an OT-only subsection.	The verse is discourse-heavy, so the row is best kept compact.
tamnorm-zo-exod34	completive	zo	verb_zo_completive	Exodus 34:27	Old Testament	ka bawlzo hi	ka | bawl-zo | hi	1SG | make-COMPL | DECL	I have made it	high	print_usable_with_caveat	Compact OT completive anchor that stays verbal.	Bare zo remains outside the normalized core.
tamnorm-zo-matt7	completive	zo	verb_zo_completive	Matthew 7:14	Gospels	a zuizo uh hi	a | zui-zo | uh | hi	3SG | follow-COMPL | 2/3PL | DECL	they followed it	high	print_usable_with_caveat	Clear Gospel completive counterpart for -zo.	The wider verse is metaphorical, so the row stays narrowly constructional.
tamnorm-ngei-luke4	experiential	ngei	verb_ngei_experiential	Luke 4:16	Gospels	a paingei bangin	a | pai-ngei | bangin	3SG | go-EXP | like	as was his custom	medium	print_usable_with_caveat	Best compact experiential row currently used formally.	Comparable OT rows more often cluster with negation or nawn sequences.
tamnorm-gige-ps33	habitual	gige	verb_gige_habitual	Psalms 33:15	Old Testament	en gige hi	en | gige | hi	look | HAB | DECL	keeps watching	high	print_ready	Clean OT habitual row for the balanced habitual subsection.	Orthography keeps gige separate here.
tamnorm-gige-luke20	habitual	gige	verb_gige_habitual	Luke 20:20	Gospels	vil gige uh a	vil | gige | uh | a	watch | HAB | 2/3PL | DECL	they kept watching	high	print_ready	Clear Gospel habitual counterpart for gige.	The clause is discourse-heavy, so the row stays compact.
tamnorm-zel-exod33	continuative	zel	verb_zel_continuative	Exodus 33:11	Old Testament	Topa in Moses hopih zel hi	Topa | in | Moses | hopih | zel | hi	TOPA | ERG | Moses | speak.with | CONT | DECL	the Lord kept speaking with Moses	medium	print_usable_with_caveat	Best checked continuative row currently used formally.	No equally compact Gospel z-el row is yet singled out formally.
tamnorm-ding-gen2	prospective	ding	verb_ding_irrealis	Genesis 2:17	Old Testament	na si ding hi	na | si | ding | hi	2SG | die | IRR | DECL	you will die	high	print_ready	Clean OT prospective anchor.	Clause-bound dingin material remains outside the subsection.
tamnorm-ding-matt1	prospective	ding	verb_ding_irrealis	Matthew 1:23	Gospels	Emmanuel kiphuak ding hi	Emmanuel | ki-phuak | ding | hi	Emmanuel | REFL-name | IRR | DECL	will be called Emmanuel	high	print_ready	Clean Gospel prospective counterpart.	The row is naming-heavy rather than a full verbal paradigm example.
tamnorm-thei-gen41	ability	thei	verb_thei_abilitative	Genesis 41:16	Old Testament	mang a khiathei ka hi kei hi	mang | a | khia-thei | ka | hi | kei | hi	dream | 3SG | interpret-ABIL | 1SG | DECL | NEG | DECL	I cannot interpret a dream	high	print_usable_with_caveat	Best OT ability row even though it already meets negation.	Shows why thei quickly reaches negation territory.
tamnorm-thei-matt7	ability	thei	verb_thei_abilitative	Matthew 7:21	Gospels	lutthei ding uh hi	lut-thei | ding | uh | hi	enter-ABIL | IRR | 2/3PL | DECL	they will be able to enter	high	print_ready	Clean Gospel ability anchor.	The row already includes irrealis stacking, so it should not be generalized too far.
tamnorm-kik-gen3	repetition	kik	verb_kik_iterative	Genesis 3:19	Old Testament	na ciahkik matengin	na | ciah-kik | matengin	2SG | return-ITER | until	until you return	high	print_ready	Compact OT repetition/return row.	Return-oriented meaning should not be widened into all motion events.
tamnorm-kik-matt2	repetition	kik	verb_kik_iterative	Matthew 2:12	Gospels	a ciahkik uh hi	a | ciah-kik | uh | hi	3SG | return-ITER | 2/3PL | DECL	they returned	high	print_ready	Clear Gospel iterative/return counterpart.	The subsection remains constructional rather than a full motion chapter.
