pair_id	form_i	form_ii	gloss	alternation_type	stem_side	attested_form	environment	environment_count_for_side	verse_id	reference	token_index	surface_form	normalized_form	segmentation	gloss_span	lemma	pos	local_context	kjv	print_status	selection_reason	notes
bawl-bawlh	bawl	bawlh	make	+h	form_i	bawl	causative_or_derivational_sak	102	01037003	Genesis 37:3	35	bawlsak	bawlsak	bawl-sak	make-CAUS	bawl	V	bansau khat a [bawlsak] hi	Now Israel loved Joseph more than all his children, because he was the son of his old age: and he made him a coat of many colours.	exclude_for_now	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Causative or derivational `sak` blocks promotion as simple stem-alternation evidence. Derived or lexicalized environments stay excluded at the row level even when the pair is retained for review.
bawl-bawlh	bawl	bawlh	make	+h	form_i	bawl	clause_linking_kipan	2	01039005	Genesis 39:5	12	bawl	bawl	bawl	make	bawl	V	a ukin a [bawl] a kipan Topa	And it came to pass from the time that he had made him overseer in his house, and over all that he had, that the LORD blessed the Egyptian's house for Joseph's sake; and the blessing of the LORD was upon all that he had in the house, and in the field.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Local `a kipan` sequence marks a clause-linking or source/beginning environment. Row status is capped by the pair-level publication status. Needs review before print use.
bawl-bawlh	bawl	bawlh	make	+h	form_i	bawl	dependent_temporal_ciangin	12	04006002	Numbers 6:2	29	bawl	bawl	bawl	make	bawl	V	mahmah kiciamna a [bawl] ciangin	Speak unto the children of Israel, and say unto them, When either man or woman shall separate themselves to vow a vow of a Nazarite, to separate themselves unto the LORD :	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Immediate following `ciangin` provides a conservative dependent-temporal cue. Row status is capped by the pair-level publication status. Needs review before print use.
bawl-bawlh	bawl	bawlh	make	+h	form_i	bawl	dependent_temporal_ni_in	2	02012014	Exodus 12:14	15	bawlna	bawlna	bawl-na	make-NMLZ	bawl	V	Topa tungah pawi [bawlna] ni-in na nei	And this day shall be unto you for a memorial; and ye shall keep it a feast to the LORD throughout your generations; ye shall keep it a feast by an ordinance for ever.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Immediate following `ni-in` provides a conservative dependent-temporal cue. Row status is capped by the pair-level publication status. Needs review before print use.
bawl-bawlh	bawl	bawlh	make	+h	form_i	bawl	finite_main_or_matrix	2036	01003001	Genesis 3:1	5	bawlsa	bawlsa	bawl-sa	make-PAST	bawl	V	pen Topa Pasian [bawlsa] gamlak ganhing dangte	Now the serpent was more subtil than any beast of the field which the LORD God had made. And he said unto the woman, Yea, hath God said, Ye shall not eat of every tree of the garden?	needs_analyzer_review	preferred because this verse is already cited in the dossier or packet; kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status. Needs review before print use.
bawl-bawlh	bawl	bawlh	make	+h	form_i	bawl	imperative_or_directive	81	01006016	Genesis 6:16	33	bawl	bawl	bawl	make	bawl	V	a dawl thumnate [bawl] in	A window shalt thou make to the ark, and in a cubit shalt thou finish it above; and the door of the ark shalt thou set in the side thereof; with lower, second, and third stories shalt thou make it.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	A following imperative-like particle may indicate directive force. Row status is capped by the pair-level publication status. Needs review before print use.
bawl-bawlh	bawl	bawlh	make	+h	form_i	bawl	negative_clause	184	52005020	1 Thessalonians 5:20	1	simmawhbawl	simmawhbawl	simmawh-bawl	blaspheme-do	simmawh	N	thuhilhnate [simmawhbawl] kei un	Despise not prophesyings.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Nearby negative material marks a negative or irrealis-heavy clause. Row status is capped by the pair-level publication status. Needs review before print use.
bawl-bawlh	bawl	bawlh	make	+h	form_i	bawl	nominalized_na	187	05025017	Deuteronomy 25:17	11	bawlna	bawlna	bawl-na	make-NMLZ	bawl	V	in note hong [bawlna]	Remember what Amalek did unto thee by the way, when ye were come forth out of Egypt;	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Suffixal `-na` in the analyzer segmentation supports a nominalized environment. Row status is capped by the pair-level publication status. Needs review before print use.
bawl-bawlh	bawl	bawlh	make	+h	form_i	bawl	possessed_or_genitive_attributive	4	19022016	Psalms 22:16	6	bawl	bawl	bawl	make	bawl	V	om a siatna [bawl] mi honkhat in	For dogs have compassed me: The assembly of the wicked have inclosed me: They pierced my hands and my feet.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	A following `mi` plus a preceding possessor-like token suggests an attributive or possessed nominal environment. Row status is capped by the pair-level publication status. Needs review before print use.
bawl-bawlh	bawl	bawlh	make	+h	form_i	bawl	purpose_nadingin	66	03008015	Leviticus 8:15	1	bawl	bawl	bawl	make	bawl	V	Kilemna [bawl] nadingin Moses in	And he slew it ; and Moses took the blood, and put it upon the horns of the altar round about with his finger, and purified the altar, and poured the blood at the bottom of the altar, and sanctified it, to make reconciliation upon it.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Local `ding` or `nadingin` material suggests a purpose or irrealis-heavy environment. Row status is capped by the pair-level publication status. Needs review before print use.
