example_id	quantifier_topic	candidate_form	construction_type	source_reference	source_zone	tedim_text	segmentation	gloss	translation	example_quality	print_status	why_selected	caveat
qnorm-khempeuh-gen2	universal_total	khempeuh	noun_plus_khempeuh	Genesis 2:1	Old Testament	vantung leitung le a sunga omte khempeuh	van-tung | lei-tung | le | a | sung-a | om-te | khempeuh	sky-on | land-on | and | 3SG | inside-3SG | exist-PL | all	the heavens and the earth, and all that was in them	high	print_ready	Candidate-backed universal anchor remains the clearest scoped quantifier row.	Do not treat this single row as a full universal/distributive system or as license for raw count claims.
qnorm-mi-khempeuh-luke2	universal_total	khempeuh	noun_plus_khempeuh	Luke 2:1	Gospels	mi khempeuh	mi | khempeuh	person | all	all people / everyone	high	print_ready	Clean Gospel counterpart for total quantification and source balance in the normalized section.	Short NP window only; fuller clause context concerns the census event rather than quantifier syntax alone.
qnorm-pawlkhat-gen32	existential_indefinite	pawlkhat	pawlkhat_partitive	Genesis 32:8	Old Testament	pawlkhat	pawl-khat	group-one	one group / one company	medium	print_usable_with_caveat	Candidate-backed control row for partitive or alternative grouping remains the packet anchor.	Treat as grouping or alternative-set evidence, not as an uncomplicated bare some.
qnorm-mi-pawlkhat-matt2	existential_indefinite	pawlkhat	noun_plus_pawlkhat	Matthew 2:1	Gospels	mi pawlkhat	mi | pawl-khat	person | group-one	some people	medium	print_usable_with_caveat	Cleaner Gospel NP-shaped supplement for existential/indefinite-like quantification.	Context is still group-indefinite and should not be flattened into a general article.
qnorm-mi-khat-gen32	numeral_overlap	khat	noun_plus_khat	Genesis 32:24	Old Testament	mi khat	mi | khat	person | one	a man / one person	high	print_usable_with_caveat	Shared boundary row keeps quantifiers explicit about numeral overlap.	Do not treat khat as an uncomplicated quantifier anchor.
qnorm-kuamah-exod2	negative_quantifier	kuamah	negative_clause	Exodus 2:12	Old Testament	kuamah mu lo	kuamah | mu | lo	nobody | see.I | NEG	he saw nobody	high	print_usable_with_caveat	Clean negative-licensed human quantifier row from the candidate packet.	Keep the negation-overlap caveat explicit.
qnorm-bangmah-gen39	negative_quantifier	bangmah	negative_existential	Genesis 39:9	Old Testament	bangmah om lo hi	bangmah | om | lo | hi	nothing | exist | NEG | DECL	there is nothing	high	print_usable_with_caveat	Candidate-backed nonhuman negative quantifier anchor remains compact and clear.	Bang-family overlap remains explicit outside clear negative clauses.
qnorm-kuamah-bangmah-john3	negative_quantifier	kuamah/bangmah	negative_clause	John 3:27	Gospels	kuamah in bangmah hih thei lo hi	kuamah | in | bangmah | hih | thei | lo | hi	nobody | ERG | anything | do | can | NEG | DECL	nobody can do anything	high	print_usable_with_caveat	Strong Gospel row showing human and nonhuman negative-licensed domains together.	Construction depends on clear clause-level negation rather than on a self-standing quantifier paradigm.
qnorm-tampi-tak-gen17	quantity_degree	tampi	quantity_degree	Genesis 17:2	Old Testament	tampi tak	tampi | tak	many | truly	very many / exceedingly	medium	print_usable_with_caveat	Candidate-backed quantity/degree anchor inherited from the original packet.	Keep it from widening into a broad adjective/adverb chapter.
qnorm-mi-tampi-mark6	quantity_np	tampi	noun_plus_tampi	Mark 6:34	Gospels	mi tampi	mi | tampi	person | many	many people	high	print_usable_with_caveat	Clean Gospel noun-phrase quantity row for source balance and NP structure discussion.	Quantity/degree overlap with tampi tak remains explicit.
qnorm-mi-peuhpeuh-gen31	free_choice_boundary	peuhpeuh	free_choice_np	Genesis 31:32	Old Testament	mi peuhpeuh	mi | peuhpeuh	person | whoever	whoever / any person	medium	deferred	Keeps deferred free-choice-looking material visible in the normalization supplement.	Current evidence still leans toward free-choice or discourse material rather than settled distributive-universal evidence.
qnorm-tawm-exod16	low_quantity_boundary	tawm	low_quantity_edge	Exodus 16:17	Old Testament	tawm	tawm	produce	less	low	deferred	Keeps the report-visible low-quantity row visible without promoting it to print-ready evidence.	Current export gloss remains too noisy for publication-facing promotion.
