example_id	pronoun_topic	candidate_form	construction_type	source_reference	source_zone	tedim_text	segmentation	gloss	translation	example_quality	print_status	why_selected	caveat
ex:pro-amah	independent_pronouns	amah	independent_third_person	Genesis 3:20	OT	amah pen mihing khempeuh' nu ahi hi	amah | pen | mihing | khempeuh' | nu | ahi | hi	3SG.PRO | TOP | person | all.POSS | mother | be.3SG | DECL	She was the mother of all living people.	high	print_ready	Clean third-person independent pronoun with transparent predicate.	None.
ex:pro-note	independent_pronouns	note	independent_second_plural	Matthew 5:13	Gospel	Note pen leitung mite a dingin ci tawh na kibang uh hi	note | pen | leitung | mi-te | a | dingin | ci | tawh | na | kibang | uh | hi	2PL.PRO | TOP | world | person-PL | GEN | for | salt | COM | 2 | resemble | PL | DECL	You are like salt for the people of the world.	high	print_ready	Clear second-person plural independent pronoun in Gospel material.	None.
ex:pro-eite	clusivity	eite	first_plural_inclusive_like	Genesis 13:8	OT	Bang hang hiam cih leh eite beh khat ihi hi	bang | hang | hiam | cih | leh | eite | beh | khat | i-hi | hi	what | reason | Q | QUOT | COND | 1PL.PRO | side | one | 1PL-be | DECL	Because we are one kin-group.	high	print_ready	Stable first-plural form with inclusive reading in controlled context.	Global clusivity value for eite remains provisional.
ex:pro-kote	clusivity	kote	first_plural_exclusive_like	Genesis 34:9	OT	Kote tawh kitenna hong bawl un	kote | tawh | ki-ten-na | hong | bawl | un	1PL.PRO.EXCL | COM | RECP-marry-NMLZ | VEN | do | IMP.PL	Arrange intermarriage with us.	high	print_ready	Controlled row supporting exclusive-like kote usage.	No equally clear Gospel kote token at comparable quality.
ex:poss-na	possessive_prefixes	na-	second_person_possessive	Genesis 24:23	OT	Na pa' inn-ah kote' giah nading a awng ding hiam?	na | pa' | inn-ah | kote' | giah | nading | a | awng | ding | hiam	2SG.POSS | father | house-LOC | 1PL.POSS | stay | for | GEN | room | IRR | Q	Is there room in your father's house for us to stay?	high	print_ready	Clear possessive-prefix host phrase with ordinary nominal possession.	None.
ex:poss-ka-pa-inn	possessive_prefixes	ka-	first_person_possessive	Luke 2:49	Gospel	Ka Pa' inn sungah ka om ding lamtak thei lo na hi uh hiam?	ka | pa' | inn | sung-ah | ka | om | ding | lamtak | thei | lo | na | hi | uh | hiam	1SG.POSS | father | house | inside-LOC | 1SG | stay | IRR | naturally | know | NEG | 2 | be | PL | Q	Did you not know that I should be in my Father's house?	high	print_ready	Clear Gospel possessive-prefix row for source balance.	None.
ex:poss-a	possessive_prefixes	a-	third_person_possessive	Genesis 3:20	OT	Mipa in a zi' min pen Eve, ci hi	mipa | in | a | zi' | min | pen | Eve | ci | hi	man | ERG | 3SG.POSS | wife | name | TOP | Eve | say | DECL	The man called his wife's name Eve.	high	print_ready	Stable third-person possessive prefix on kinship noun.	None.
ex:emph-keimah	emphatic_pronouns	keimah	emphatic_pronoun	Genesis 4:13	OT	Keimah gim hong kipiakna, ka thuak zawh ding hi lo hi	keimah | gim | hong | ki-piak-na | ka | thuak | zawh | ding | hi | lo | hi	1SG.EMPH | punishment | VEN | REFL-give-NMLZ | 1SG | bear | able | IRR | be | NEG | DECL	My punishment is more than I can bear.	high	print_ready	Clear first-person emphatic pronoun in argument position.	None.
ex:emph-nangmah	emphatic_pronouns	nangmah	emphatic_pronoun	Matthew 8:22	Gospel	Nangmah in kei hong zui in	nangmah | in | kei | hong | zui | in	2SG.EMPH | ERG | 1SG.PRO | VEN | follow | IMP	You yourself, follow me.	high	print_ready	Gospel row balancing emphatic pronoun subsection.	None.
ex:refl-ki	reflexive_reciprocal_boundary	ki-gawm	reciprocal_predicate	Genesis 2:24	OT	a zi tawh kigawm a, amau tegel pum khat a bang uh hi	a | zi | tawh | ki-gawm | a | amau | tegel | pum | khat | a | bang | uh | hi	3SG.POSS | wife | COM | RECP-join | CONJ | 3PL.PRO | pair | body | one | GEN | become | PL | DECL	He is joined with his wife, and the two become one body.	high	print_ready	Clean reciprocal ki- anchor for boundary treatment.	ki- remains broader than pronoun domain.
ex:refl-ki-matt19	reflexive_reciprocal_boundary	ki-gawm	reciprocal_predicate	Matthew 19:5	Gospel	a zi tawh kigawm ding a, amau tegel pumkhat a bang ding uh hi	a | zi | tawh | ki-gawm | ding | a | amau | tegel | pum-khat | a | bang | ding | uh | hi	3SG.POSS | wife | COM | RECP-join | IRR | CONJ | 3PL.PRO | pair | body-one | GEN | become | IRR | PL | DECL	He will be joined with his wife, and the two will become one body.	high	print_ready	Gospel row balancing reciprocal ki- subsection.	None.
ex:hong-prefix	participant_oriented_prefix_boundary	hong-	participant_oriented_boundary	Matthew 25:37	Gospel	Topa aw, cikin na gilkial hong mu-in an hong pia ka hi uh hiam?	Topa | aw | cikin | na | gilkial | hong | mu-in | an | hong | pia | ka | hi | uh | hiam	Lord | VOC | when | 2 | hungry | VEN | see-CVB | food | VEN | give | 1SG | be | PL | Q	Lord, when did we see you hungry and give you food?	medium	print_ready	Good Gospel anchor for hong- as participant-oriented boundary material.	Full analysis deferred to directionals/agreement interfaces.
ex:kong-prefix	participant_oriented_prefix_boundary	kong-	participant_oriented_boundary	Genesis 41:41	OT	Egypt gam khempeuh a uk dingin nang kong koih khinzo hi	Egypt | gam | khempeuh | a | uk | dingin | nang | kong | koih | khinzo | hi	Egypt | land | all | GEN | rule | for | 2SG.PRO | DIR | place | already | DECL	I have placed you over all the land of Egypt.	medium	print_ready	Clear OT anchor for kong- in participant-oriented boundary treatment.	Functional range remains broader than current section.
