candidate_id	topic	construction_id	quantifier_type	quantifier_form	construction_type	verse_id	reference	surface_span	token_indices	segmentation_span	gloss_span	lemma_span	pos_span	kjv	candidate_status	confidence	print_status	why_selected	why_excluded	manual_review_status	notes
quant_univ_gen2_1_khempeuh	quantifiers	quantifier-khempeuh	universal	khempeuh	noun_plus_khempeuh	01002001	Genesis 2:1	vantung leitung le a sunga omte khempeuh	3-9	van-tung | lei-tung | le | a | sung-a | om-te | khempeuh	sky-on | land-on | and | 3SG | inside-3SG | exist-PL | all	van | lei | le | a | sung | om | khempeuh	N | N | CONJ | FUNC | N | N | DET	Thus the heavens and the earth were finished, and all the host of them.	accepted	high	print_ready	Analyzer confirms `khempeuh` in a clean scoped noun phrase, giving the packet a conservative universal anchor.		reviewed	Keep this as the core universal row rather than importing generated-report frequency counts or broad raw `khempeuh` searches.
quant_exist_gen32_8_pawlkhat	quantifiers	quantifier-pawlkhat	existential	pawlkhat	pawlkhat_partitive	01032008	Genesis 32:8	pawlkhat	7	pawl-khat	some-one	pawl	DET	and said, If Esau come to the one company, and smite it, then the other company which is left shall escape.	accepted_with_caveat	medium	print_usable_with_caveat	The generated-report Esau contingency verse still yields a clean analyzer-backed `pawlkhat` token and preserves the partitive or alternative-grouping reading the packet needs.		reviewed	Treat as partitive or alternative-grouping evidence (`one company ... the other company`), not as an uncomplicated bare `some` entry. The opening `Pawlkhatah` token in this verse remains noisy in the current export, so the clean control token is the later `pawlkhat`.
quant_boundary_gen32_24_mi_khat	quantifiers	quantifier-khat-boundary	numeral_indefinite_boundary	khat	khat_indefinite_boundary	01032024	Genesis 32:24	mi khat	9-10	mi | khat	person | one	mi | khat	N | NUM	And Jacob was left alone; and there wrestled a man with him until the breaking of the day.	accepted_with_caveat	medium	print_usable_with_caveat	`mi khat` is the clearest familiar analyzer-backed `khat` row, but it sits on the numeral-versus-indefinite boundary that quantifier work must keep explicit.		reviewed	Boundary evidence only: reuse the already-audited numerals row so quantifiers does not silently absorb numeral `one` as an uncomplicated article-like quantifier.
quant_neg_exod2_12_kuamah	quantifiers	quantifier-kuamah	negative_quantifier	kuamah	negative_quantifier_kuamah	02002012	Exodus 2:12	kuamah mu lo	4-6	kuamah | mu | lo	nobody | see.I | NEG	kuamah | mu | lo	N | V | FUNC	And he looked this way and that way, and when he saw that there was no man, he slew the Egyptian, and hid him in the sand.	accepted_with_caveat	high	print_usable_with_caveat	Analyzer confirms `kuamah mu lo` in a true negative clause, giving the packet a controlled negative-quantifier row without reopening the negation slice.		reviewed	Negation-overlap caveat: keep this as quantifier evidence only in the licensed negative clause; cross-reference the stabilized negation packet instead of re-arguing `lo` here.
quant_neg_gen39_9_bangmah	quantifiers	quantifier-bangmah	negative_quantifier	bangmah	negative_quantifier_bangmah	01039009	Genesis 39:9	bangmah om lo hi	25-28	bangmah | om | lo | hi	nothing | exist | NEG | DECL	bangmah | om | lo | hi	N | ADJ | FUNC | FUNC	there is none greater in this house than I; neither hath he kept back any thing from me but thee, because thou art his wife: how then can I do this great wickedness, and sin against God?	accepted_with_caveat	high	print_usable_with_caveat	Analyzer confirms `bangmah om lo hi` as a negative-existential or negative-quantifier clause with a compact analyzer-backed span.		reviewed	Keep both cautions explicit: this row depends on clear negative licensing, and it must not override interrogative-packet controls on other bang-family material.
quant_degree_gen17_2_tampi_tak	quantifiers	quantifier-tampi	degree	tampi	degree_tampi	01017002	Genesis 17:2	tampi tak	8-9	tampi | tak	many | truly	tampi | tak	DET | ADV	And I will make my covenant between me and thee, and will multiply thee exceedingly.	accepted_with_caveat	high	print_usable_with_caveat	Analyzer confirms `tampi tak` as a compact quantity or degree row for the first quantifiers pass.		reviewed	Keep as quantity or degree evidence only; do not let this first pass broaden into a general adjective or adverb chapter.
quant_comp_gen26_16_zaw	quantifiers	quantifier-zaw	comparative	zaw	comparative_zaw	01026016	Genesis 26:16	vanglian zaw	18-19	vang-lian | zaw	power-big | more	vang | zaw	N | V	And Abimelech said unto Isaac, Go from us; for thou art much mightier than we.	accepted_with_caveat	medium	print_usable_with_caveat	A short analyzer-backed `vanglian zaw` span keeps one comparative boundary row visible without overextending the packet.		reviewed	Comparative caveat: retain only as a compact edge case; do not expand quantifiers into a general comparison chapter.
quant_int_gen13_2_hau_mahmah	quantifiers	quantifier-mahmah	intensifier	mahmah	intensifier_mahmah	01013002	Genesis 13:2	hau mahmah	6-7	hau | mahmah	rich | very	hau | mahmah	N | N	And Abram was very rich in cattle, in silver, and in gold.	accepted_with_caveat	medium	print_usable_with_caveat	A compact `hau mahmah` span keeps intensifier material explicit without pretending this packet now covers full intensifier syntax.		reviewed	Intensifier caveat: useful as a boundary row, not as the start of a broad degree-modification chapter.
quant_dist_gen31_32_mi_peuhpeuh	quantifiers	quantifier-peuhpeuh	distributive_universal	peuhpeuh	peuhpeuh_distributive	01031032	Genesis 31:32	mi peuhpeuh	4-5	mi | peuhpeuh	person | every	mi | peuhpeuh	N | DET	With whomsoever thou findest thy gods, let him not live: before our brethren discern thou what is thine with me, and take it to thee. For Jacob knew not that Rachel had stolen them.	deferred	medium	not_print_ready	The report mentions `peuhpeuh`, so the candidate layer keeps one clean analyzer-backed span visible instead of losing track of the form entirely.	The current clean window `mi peuhpeuh` behaves more like free-choice or `whoever / any person` material than a settled distributive-universal anchor, so it is deferred.	needs_followup	Defer rather than manufacturing a cleaner distributive example from the report alone.
quant_degree_exod16_17_tawm	quantifiers	quantifier-tawm	degree	tawm	degree_tawm	02016017	Exodus 16:17	tawm	18	tawm	produce	tawm	ADJ	And the children of Israel did so, and gathered, some more, some less.	deferred	low	not_print_ready	The quantity-contrast verse behind report-visible `tampi ... tawm` is worth keeping in view for later quantifier work.	The current export glosses `tawm` as `produce` and leaves the low-quantity reading too noisy for print promotion in this first pass.	needs_followup	Keep deferred until a cleaner analyzer-backed low-quantity row is available; do not infer a settled `tawm` quantifier entry from this contrast alone.
