candidate_id	topic	construction_id	interrogative_type	question_word	particle	construction_type	verse_id	reference	surface_span	token_indices	segmentation_span	gloss_span	lemma_span	pos_span	kjv	candidate_status	confidence	print_status	why_selected	why_excluded	manual_review_status	notes
int_hiam_gen24_23_awng_ding_hiam	interrogatives	interrogative-hiam-yes-no	yes_no_question		hiam	clause_final_hiam	01024023	Genesis 24:23	Na pa inn-ah kote giah nading a awng ding hiam?”	8-17	Na | pa' | inn-ah | kote' | giah | nading | a | awng | ding | hiam	2SG | male.POSS | house-LOC | 1PL.PRO.POSS | camp | PURP | 3SG | open | IRR | Q	na | pa | inn | kote | giah | Nading | a | awng | ding | hiam	FUNC | PRON | FUNC | PRON | N | PROP | FUNC | N | V | FUNC	and said, Whose daughter art thou? tell me, I pray thee: is there room in thy father's house for us to lodge in?	accepted_with_caveat	medium	print_usable_with_caveat	Analyzer-backed clause-final hiam yes/no question from the existing interrogatives report.		reviewed	Use the attested yes/no clause `Na pa inn-ah kote giah nading a awng ding hiam`; do not silently back-project the report paraphrase `Inn-ah hong tum theih na hiam` onto the export.
int_kua_gen48_8_hihte_kua_ahi_hiam	interrogatives	interrogative-kua	content_question	kua	hiam	wh_plus_hiam	01048008	Genesis 48:8	“Hihte kua ahi hiam?”	9-12	Hihte | kua | ahi | hiam	HIHTE | who | be.3SG | Q	“Hihte | kua | ahi | hiam	PROP | NUM | V | FUNC	And Israel beheld Joseph's sons, and said, Who are these?	accepted_with_caveat	medium	print_usable_with_caveat	Canonical who-question with clause-final hiam from the existing report.		reviewed	The analyzer exports `kua` as NUM; treat that as an export caveat rather than rejecting the interrogative window.
int_bang_exod16_15_bang_ahi_hiam	interrogatives	interrogative-bang	content_question	bang	hiam	wh_plus_hiam	02016015	Exodus 16:15	“Bang ahi hiam?”	10-12	Bang | ahi | hiam	like | be.3SG | Q	bang | ahi | hiam	N | V | FUNC	And when the children of Israel saw it , they said one to another, It is manna: for they wist not what it was . And Moses said unto them, This is the bread which the LORD hath given you to eat.	accepted_with_caveat	medium	print_usable_with_caveat	Compact analyzer-backed what-question with clause-final hiam.		reviewed	The analyzer glosses `bang` as `like`; the clause is still the report's core `Bang ahi hiam?` evidence.
int_bangci_gen3_13_bangci_hici_gamtat_na_hi_hiam	interrogatives	interrogative-bangci	content_question	bangci	hiam	wh_plus_hiam	01003013	Genesis 3:13	“Bangci a hici gamtat na hi hiam?”	7-13	Bangci | a | hi-ci | gam-tat | na | hi | hiam	how | 3SG | this-say | land-rule | 2SG | DECL | Q	bangci | a | hi | gam | na | hi | hiam	N | FUNC | N | N | FUNC | FUNC | FUNC	And the LORD God said unto the woman, What is this that thou hast done? And the woman said, The serpent beguiled me, and I did eat.	accepted	high	print_ready	Clean how-question with bangci plus clause-final hiam.		reviewed	Keep the analyzer-backed bangci window visible rather than flattening it into a generic bang example.
int_banghangin_gen4_6_mai_sia_ahi_hiam	interrogatives	interrogative-banghangin	content_question	banghangin	hiam	wh_plus_hiam	01004006	Genesis 4:6	bang hangin na mai sia ahi hiam	9-15	bang | hang-in | na | mai | sia | ahi | hiam	like | because-ERG | 2SG | face | evil | be.3SG | Q	bang | hang | na | mai | sia | ahi | hiam	N | CONJ | FUNC | N | ADJ | V | FUNC	And the LORD said unto Cain, Why art thou wroth? and why is thy countenance fallen?	accepted_with_caveat	medium	print_usable_with_caveat	Analyzer-backed why-question showing the banghangin reason-question family with clause-final hiam.		reviewed	The export splits `banghangin` as `bang` + `hangin`; keep it as curated reason-question evidence rather than trusting every raw bang hit.
int_kua_2sam22_32_topa_longal_pasian_kua_hiam	interrogatives	interrogative-kua	content_question	kua	hiam	wh_plus_hiam	10022032	2 Samuel 22:32	Topa longal Pasian kua hiam	0-4	Topa | longal | Pasian | kua | hiam	Lord | save | God | who | Q	topa | longal | Pasian | kua | hiam	N | V | PROP | NUM | FUNC	For who is God, save the LORD ? And who is a rock, save our God?	accepted_with_caveat	medium	print_usable_with_caveat	Report-backed who-question with explicit clause-final hiam.		reviewed	As in Genesis 48:8, the analyzer tags `kua` as NUM; the interrogative reading is still clear in the full clause.
int_embedded_exod16_15_bang_hiam_cih_thei_lo_uh_hi	interrogatives	interrogative-embedded-bang-hiam-cih	embedded_question	bang	hiam	embedded_bang_hiam_cih	02016015	Exodus 16:15	bang hiam cih thei lo uh hi	25-31	bang | hiam | cih | thei | lo | uh | hi	like | Q | say.NOM | know | NEG | 2/3PL | DECL	bang | hiam | ci | thei | lo | uh | hi	N | FUNC | V | ADJ | FUNC | N | FUNC	And when the children of Israel saw it , they said one to another, It is manna: for they wist not what it was . And Moses said unto them, This is the bread which the LORD hath given you to eat.	needs_review	medium	not_print_ready	Keeps embedded question material visible in the first-pass candidate layer.	Indirect question complements need separate editorial treatment before they can be reused as ordinary clause-final hiam evidence.	needs_followup	This is useful embedded-question evidence, but it should not yet drive the first print-facing interrogatives slice.
int_formulaic_gen3_20_bang_hang_hiam_cih_leh	interrogatives	interrogative-formulaic-bang-hang-hiam-cih	rhetorical_or_formulaic	banghangin	hiam	formulaic_reason_expression	01003020	Genesis 3:20	Bang hang hiam cih leh	9-13	Bang | hang | hiam | cih | leh	like | reason | Q | say.NOM | and	bang | hang | hiam | ci | leh	N | N | FUNC | V | FUNC	And Adam called his wife's name Eve; because she was the mother of all living.	excluded	high	blocked	Records the formulaic reason-expression guard already enforced in grammar integration tests.	`Bang hang hiam cih leh` is a formulaic explanatory frame, not an ordinary clause-final hiam question for print promotion.	reviewed	Keep this blocked so formulaic reason expressions do not leak into core interrogative examples.
int_falsefriend_2kings11_11_a_hiam_ciat_uh	interrogatives	interrogative-hiam-lexical-false-friend	false_friend		hiam	lexical_or_noninterrogative_hiam	12011011	2 Kings 11:11	a hiam ciat uh	15-18	a | hiam | ciat | uh	3SG | Q | each | 2/3PL	a | hiam | ciat | uh	FUNC | FUNC | DET | N	And the guard stood, every man with his weapons in his hand, round about the king, from the right corner of the temple to the left corner of the temple, along by the altar and the temple.	excluded	high	blocked	Makes the lexical `a hiam ciat uh` blocker explicit in the publication-review workflow.	This lexical sequence is not clause-final interrogative hiam evidence and should stay blocked.	reviewed	Use as an explicit hiam false-friend control instead of relying only on integration-test exclusions.
int_falsefriend_rev1_16_langnih_a_hiam_namsau	interrogatives	interrogative-hiam-lexical-false-friend	false_friend		hiam	lexical_or_noninterrogative_hiam	66001016	Revelation 1:16	langnih a hiam namsau	10-13	lang-nih | a | hiam | namsau	side-two | 3SG | Q | sword	lang | a | hiam | namsau	N | FUNC | FUNC | N	And he had in his right hand seven stars: and out of his mouth went a sharp twoedged sword: and his countenance was as the sun shineth in his strength.	excluded	high	blocked	Captures the Revelation 1:16 sharp/two-edged-sword false friend already guarded by integration tests.	The `a hiam` sequence here belongs to lexical sword description, not to interrogative particle hiam.	reviewed	Do not treat sharp/two-edged sword contexts as interrogative evidence just because the export surfaces `hiam`.
