example_id	interrogative_topic	candidate_form	construction_type	source_reference	source_zone	tedim_text	segmentation	gloss	translation	example_quality	print_status	why_selected	caveat
ex:int-hiam-gen24-23	clause_final_hiam	hiam	clause_final_hiam	Genesis 24:23	OT	Na pa inn-ah kote giah nading a awng ding hiam	Na | pa' | inn-ah | kote' | giah | nading | a | awng | ding | hiam	2SG | male.POSS | house-LOC | 1PL.PRO.POSS | camp | PURP | 3SG | open | IRR | Q	Is there room in your father's house for us to stay?	high	print_ready	Clean OT clause-final hiam anchor.	None.
ex:int-hiam-matt6-25	clause_final_hiam	hiam	clause_final_hiam	Matthew 6:25	Gospel	Nuntakna pen an sangin thupizaw a, pumpi pen puan sangin thupizaw hi lo ahi hiam	Nuntakna | pen | an | sangin | thupizaw | a | pumpi | pen | puan | sangin | thupizaw | hi | lo | ahi | hiam	life | TOP | food | than | more.important | CONJ | body | TOP | clothing | than | more.important | DECL | NEG | be.3SG | Q	Is not life more important than food, and the body more important than clothing?	high	print_ready	Clean Gospel yes/no hiam row.	None.
ex:int-bang-exod16-15	what_question	bang	wh_plus_hiam	Exodus 16:15	OT	Bang ahi hiam	Bang | ahi | hiam	what | be.3SG | Q	What is it?	high	print_ready	Clean OT what-question anchor.	None.
ex:int-bang-matt6-31	what_question	bang	wh_plus_hiam	Matthew 6:31	Gospel	Bang ne ding a, bang dawn ding a, bang silh ding ihi hiam	Bang | ne | ding | a | bang | dawn | ding | a | bang | silh | ding | i | hi | hiam	what | eat | IRR | CONJ | what | drink | IRR | CONJ | what | wear | IRR | 1PL | be | Q	What shall we eat, what shall we drink, and what shall we wear?	high	print_ready	Clear Gospel what-question frame with repeated bang.	None.
ex:int-kua-gen48-8	who_question	kua	wh_plus_hiam	Genesis 48:8	OT	Hihte kua ahi hiam	Hihte | kua | ahi | hiam	these | who | be.3SG | Q	Who are these?	high	print_ready	Clean OT who-question anchor.	Analyzer sometimes tags kua as NUM.
ex:int-kua-matt16-15	who_question	kua	wh_plus_hiam	Matthew 16:15	Gospel	Tua ahihleh note in kei kua hi hong ci na hi uh hiam	Tua | ahihleh | note | in | kei | kua | hi | hong | ci | na | hi | uh | hiam	then | if.so | 2PL.PRO | ERG | 1SG.PRO | who | DECL | VEN | say | 2 | DECL | PL | Q	But who do you say that I am?	high	print_ready	Clear Gospel who-question anchor.	Analyzer sometimes tags kua as NUM.
ex:int-bangci-gen3-13	manner_question	bangci	wh_plus_hiam	Genesis 3:13	OT	Bangci a hici gamtat na hi hiam	Bangci | a | hi-ci | gam-tat | na | hi | hiam	how | 3SG | this-say | conduct-do | 2SG | DECL | Q	How have you acted thus?	high	print_ready	Clean OT manner-question anchor.	None.
ex:int-bangci-matt12-26	manner_question	bangci	wh_plus_hiam	Matthew 12:26	Gospel	Tua mah bangin Satan le Satan kihawlkhia le-uh a ukna bangci kip theih ding ahi hiam	Tua | mah | bangin | Satan | le | Satan | ki-hawl-khia | le-uh | a | uk-na | bangci | kip | theih | ding | ahi | hiam	thus | same | like | Satan | and | Satan | REFL-drive-out | if-PL | 3SG | kingdom | how | stand | know | IRR | be.3SG | Q	How then can Satan cast out Satan?	high	print_ready	Clear Gospel manner-question anchor.	Segmented clause is slightly noisy but the question reading is clear.
ex:int-banghangin-gen4-6	reason_question	banghangin	wh_plus_hiam	Genesis 4:6	OT	bang hangin na mai sia ahi hiam	bang | hang-in | na | mai | sia | ahi | hiam	what | because-ERG | 2SG | face | evil | be.3SG | Q	Why is your countenance fallen?	high	print_ready	Clean OT reason-question anchor.	Export splits banghangin as bang + hangin.
ex:int-banghangin-matt6-28	reason_question	banghangin	wh_plus_hiam	Matthew 6:28	Gospel	Bang hangin puansilh ding lunghimawh na hi uh hiam	Bang | hangin | puan-silh | ding | lunghimawh | na | hi | uh | hiam	why | clothing | IRR | worry | 2PL.PRO | be | PL | Q	Why are you anxious about clothing?	high	print_ready	Clear Gospel reason-question anchor.	None.
ex:int-embedded-exod16-15	embedded_question	bang hiam cih	embedded_question_boundary	Exodus 16:15	OT	bang hiam cih thei lo uh hi	bang | hiam | cih | thei | lo | uh | hi	what | Q | say.NMLZ | know | NEG | 2/3PL | DECL	They did not know what it was.	medium	print_usable_with_caveat	Clear boundary example for embedded-question complements.	Keep this at the boundary with complementation.
ex:int-embedded-luke23-34	embedded_question	bang hiam cih	embedded_question_boundary	Luke 23:34	Gospel	Pa aw, amaute in bang hih ihi hiam cih thei lo uh ahih manin a mawhna uh na maisak in	Pa | aw | amaute | in | bang | hih | ihi | hiam | cih | thei | lo | uh | ahih | manin | a | mawhna | uh | na | maisak | in	father | VOC | they | ERG | what | do | 1PL | Q | say.NMLZ | know | NEG | PL | be.REL | because | 3SG | sin | PL | 2SG | forgive | IMP	For they know not what they are doing.	medium	print_usable_with_caveat	Gospel boundary example for embedded-question complements.	Keep this at the boundary with complementation.
