example_id	nominalization_topic	candidate_form	construction_type	source_reference	source_zone	tedim_text	segmentation	gloss	translation	example_quality	print_status	why_selected	caveat
nmlznorm-theihna-gen2	deverbal_na	theihna	deverbal_nominalization	Genesis 2:17	Old Testament	a pha le a sia theihna singkung gah	a | pha | le | a | sia | theih-na | singkung | gah	3SG | good | and | 3SG | bad | know-NMLZ | tree | fruit	the fruit of the tree of the knowledge of good and evil	high	print_ready	Clean OT anchor for productive -na nominalization.	The wider clause includes prohibition material and is kept compact.
nmlznorm-ciaptehna-matt1	deverbal_na	ciaptehna	deverbal_nominalization	Matthew 1:1	Gospels	Abraham' suan David, David' suan Jesuh Khrih' khang ciaptehna hih bang ahi hi.	Abraham' suan David | David' suan Jesuh Khrih' | khang | ciapteh-na | hih | bang | ahi | hi	Abraham descendant David | David descendant Jesus Christ | lineage | record-NMLZ | PROX | like.this | be | DECL	This is the record of the genealogy of Jesus Christ, son of David, son of Abraham.	high	print_ready	Clear Gospel counterpart showing productive -na nominalization.	Genealogical framing is formulaic and not a full derivational paradigm.
nmlznorm-stem-theihna-gen2	stem_boundary	theihna	nominalization_stem_overlap	Genesis 2:9	Old Testament	a pha le a sia theihna singkung	a | pha | le | a | sia | theih-na | singkung	3SG | good | and | 3SG | bad | know-NMLZ | tree	the tree of the knowledge of good and evil	high	print_usable_with_caveat	OT row for nominalization and stem-alternation boundary discussion.	The row is nominal-domain heavy and not a full stem-class argument.
nmlznorm-stem-theihna-matt7	stem_boundary	theihna	nominalization_stem_overlap	Matthew 7:5	Gospels	na lakkhiat theihna dingun	na | lak-khiat | theih-na | ding-un	2SG.POSS | remove-out | be.able-NMLZ | purpose-2/3PL	so that you may be able to remove it	medium	print_usable_with_caveat	Gospel boundary counterpart showing nominalized stem behavior.	The phrase is clause-embedded and should not be overgeneralized.
nmlznorm-lawmpa-judg7	agentive_boundary	lawmpa	agentive_person_head_boundary	Judges 7:14	Old Testament	Tua ciangin a lawmpa in dawngin.	tua | ciangin | a | lawm-pa | in | dawng-in	that | when | 3SG.POSS | companion-AGT | ERG | reply-CVB	Then his companion answered.	high	print_usable_with_caveat	OT evidence for -pa person-head boundary behavior.	The lexical profile is title-like in places and not uniformly productive.
nmlznorm-lawmpa-matt1	agentive_boundary	lawmpa	agentive_person_head_boundary	Matthew 1:19	Gospels	A lawmpa Josef pen a manin a gamta nuam mi khat ahih manin	a | lawm-pa | Josef | pen | a | manin | a | gamta | nuam | mi | khat | ahih | manin	3SG.POSS | companion-AGT | Joseph | TOP | 3SG | rightness | 3SG | act | want | person | one | be | because	Because Joseph her husband was a righteous man	high	print_usable_with_caveat	Gospel counterpart for agentive/person-head boundary treatment.	The passage is lexicalized and discourse-heavy.
nmlznorm-hong-pai-mi-zech14	relative_boundary	hong pai mi	nominalized_relative_boundary	Zechariah 14:21	Old Testament	biakna a pia dingin a hong pai mi khempeuh in tua beelte zangin	biakna | a | pia | dingin | a | hong | pai | mi | khempeuh | in | tua | beelte | zang-in	sacrifice | 3SG | give | for | REL | VEN | come | person | all | ERG | those | pots | use-CVB	all who come to offer sacrifice will use those pots	medium	print_usable_with_caveat	OT boundary anchor for relative-linked nominalization.	The clause structure overlaps purposive linkage.
nmlznorm-hong-pai-mi-john6	relative_boundary	hong pai mi	nominalized_relative_boundary	John 6:37	Gospels	ka kiangah a hong pai mi peuhmah ka hawlkhia kei ding hi.	ka | kiang-ah | a | hong | pai | mi | peuhmah | ka | hawl-khia | kei | ding | hi	1SG | side-LOC | REL | VEN | come | person | every | 1SG | drive-out | NEG | IRR | DECL	I will never cast out anyone who comes to me.	high	print_usable_with_caveat	Clear Gospel boundary counterpart for relative-linked nominalization.	Contains irrealis and negation material beyond nominalization.
nmlznorm-muhna-ah-gen6	case_boundary	muhna-ah	nominalization_case_boundary	Genesis 6:11	Old Testament	Tu-in Pasian' muhna-ah leitung sia a.	tu-in | Pasian' | muh-na-ah | leitung | sia | a	now-ERG | God.GEN | see-NMLZ-LOC | earth | corrupt | DECL	Now the earth was corrupt in the sight of God.	high	print_usable_with_caveat	OT anchor for nominalization plus case boundary.	Functions as an idiomatic sight-expression in context.
nmlznorm-muhna-ah-luke19	case_boundary	muhna-ah	nominalization_case_boundary	Luke 19:27	Gospels	keima muhna-ah that un.	keima | muh-na-ah | that | un	1SG | see-NMLZ-LOC | kill | IMP.2PL	kill them before me.	high	print_usable_with_caveat	Gospel counterpart for nominalization plus case boundary.	Highly condensed imperative context.
nmlznorm-kumpipa-gen26	lexicalized_title_boundary	kumpipa	lexicalized_title_boundary	Genesis 26:1	Old Testament	Filistia mite' kumpipa Abimelek' omna Gerar-ah Isaac pai hi.	Filistia | mite' | kumpipa | Abimelek' | om-na | Gerar-ah | Isaac | pai | hi	Philistine | people.GEN | king | Abimelech.GEN | be-NMLZ | Gerar-LOC | Isaac | go | DECL	Isaac went to Gerar, where Abimelech king of the Philistines lived.	high	print_usable_with_caveat	OT boundary anchor for lexicalized title-like material.	`kumpipa` is lexicalized and should not be read as a transparent productive -pa derivation.
nmlznorm-Topa-luke1	lexicalized_title_boundary	Topa	lexicalized_title_boundary	Luke 1:15	Gospels	Topa' muhna-ah amah milian khat hi ding hi.	Topa' | muh-na-ah | amah | milian | khat | hi | ding | hi	Lord.GEN | see-NMLZ-LOC | 3SG | great | one | be | IRR | DECL	He will be great in the sight of the Lord.	high	print_usable_with_caveat	Gospel counterpart for title-like lexical material.	`Topa` is title-like and not treated as productive -pa nominalization here.
