candidate_id	topic	candidate_form	base_or_parse	construction_type	source_reference	source_zone	tedim_text	segmentation	gloss	translation	candidate_status	print_status	why_selected	caveat
ki-rec-kigawm-gen2	ki_reflexive_middle	ki-gawm	ki-gawm	reciprocal_core	Genesis 2:24	Old Testament	a zi tawh kigawm a, amau tegel pum khat a bang uh hi.	a | zi | tawh | ki-gawm | a | amau | tegel | pum | khat | a | bang | uh | hi	3SG.POSS | wife | COM | RECP-join | CONJ | 3PL.PRO | pair | body | one | GEN | become | PL | DECL	He is joined with his wife, and the two become one body.	accepted	print_ready	Clear paired-participant reciprocal construction with stable segmentation and glossing.	Reciprocal clarity here does not settle the full range of ki- functions.
ki-rec-kigawm-matt19	ki_reflexive_middle	ki-gawm	ki-gawm	reciprocal_core	Matthew 19:5	Gospels	a zi tawh kigawm ding a, amau tegel pumkhat a bang ding uh hi.	a | zi | tawh | ki-gawm | ding | a | amau | tegel | pum-khat | a | bang | ding | uh | hi	3SG.POSS | wife | COM | RECP-join | IRR | CONJ | 3PL.PRO | pair | body-one | GEN | become | IRR | PL | DECL	He will be joined with his wife, and the two will become one body.	accepted	print_ready	Gospel counterpart with the same reciprocal predicate and participant structure.	IRR layering is present, but the reciprocal construction remains clear.
ki-mid-kilaktoh-num9	ki_reflexive_middle	ki-lak-toh	ki-lak-toh	middle_subject_affected	Numbers 9:17	Old Testament	kilaktoh	ki-lak-toh	REFL-take-UP	was taken up	accepted_with_caveat	print_usable_with_caveat	Compact subject-affected row with transparent ki- segmentation.	The form also sits in directional and VP-order analysis.
ki-mid-kilaktoh-luke9	ki_reflexive_middle	ki-lak-toh	ki-lak-toh	middle_subject_affected	Luke 9:51	Gospels	a kilaktoh ding hun	a | ki-lak-toh | ding | hun	3SG | REFL-take-UP | IRR | time	the time for him to be taken up	accepted_with_caveat	print_usable_with_caveat	Gospel support for subject-affected ki- with the same base construction.	Clause-level and irrealis layering make this a controlled support row, not a whole-system claim.
ki-passive-kigen-gen27	ki_reflexive_middle	kigen	ki-gen	passive_like_agent_defocused	Genesis 27:42	Old Testament	Rebekah tungah kigen hi.	Rebekah | tung-ah | ki-gen | hi	Rebekah | on-LOC | REFL-say | DECL	The words were told to Rebekah.	accepted_with_caveat	print_usable_with_caveat	Agent-defocused reporting context with explicit patient/topic phrase.	Analyzer glosses kigen lexically, so passive-like interpretation remains cautious.
ki-passive-kigen-matt2	ki_reflexive_middle	kigen	ki-gen	passive_like_agent_defocused	Matthew 2:10	Gospels	a lungdamna uh kigen thei lo hi.	a | lungdamna | uh | ki-gen | thei | lo | hi	3SG | joy | 2/3PL | REFL-say | can | NEG | DECL	their joy could not be told	accepted_with_caveat	print_usable_with_caveat	Clean Gospel row where agent-defocused kigen appears in a finite clause.	Modal-negation layering is present, so this remains a controlled passive-like row.
ki-reflexive-kisep-2chr32	ki_reflexive_middle	kisep	ki-sep	reflexive_or_self_directed_support	2 Chronicles 32:1	Old Testament	na a kisep khit ciangin	na | a | ki-sep | khit | ciangin	work | 3SG | REFL-work | PFV | when	when the work had been done	accepted_with_caveat	supporting_candidate	Shows a transparent ki-sep form in running biblical text.	May be lexicalized as a general work-completion expression, so not promoted as core.
ki-reflexive-kisep-luke13	ki_reflexive_middle	kisep	ki-sep	reflexive_or_self_directed_support	Luke 13:14	Gospels	Na a kisep theih nading hun ni guk sung om hi.	na | a | ki-sep | theih | nading | hun | ni | guk | sung | om | hi	work | 3SG | REFL-work | ABIL | for | time | day | six | inside | exist | DECL	There are six days in which work can be done.	accepted_with_caveat	supporting_candidate	Gospel support that keeps kisep visible in a finite clause.	This use can be read as lexicalized or generic rather than a transparent reflexive event.
ki-lexicalized-kipan-gen4	ki_reflexive_middle	kipan	ki-pan	lexicalized_or_frozen_boundary	Genesis 4:26	Old Testament	Tua hun a kipanin mite in Topa bia-in a min lawh ding kipan ta uh hi.	tua | hun | a | ki-pan-in | mite | in | Topa | bia-in | a | min | lawh | ding | ki-pan | ta | uh | hi	that | time | 3SG | REFL-begin-ERG | people | ERG | LORD | worship-CVB | 3SG | name | call | IRR | REFL-begin | PFV | 2/3PL | DECL	From that time people began to call on the name of the Lord.	deferred	boundary_only	Frequent ki- form that repeatedly appears in boundary discussions.	Functions like begin/from and is not a safe reflexive core claim.
ki-lexicalized-kipan-matt4	ki_reflexive_middle	kipan	ki-pan	lexicalized_or_frozen_boundary	Matthew 4:17	Gospels	Tua hun a kipan Jesuh in thuhilh ding kipan a.	tua | hun | a | ki-pan | Jesuh | in | thu-hilh | ding | ki-pan | a	that | time | 3SG | REFL-begin | Jesus | ERG | word-teach | IRR | REFL-begin | DECL	From that time Jesus began to preach.	deferred	boundary_only	Gospel counterpart for the same lexicalized begin/from behavior.	Not all ki- forms share one reflexive or middle analysis.
ki-boundary-kiphuak-matt1	ki_reflexive_middle	ki-phuak	ki-phuak	derivation_vp_boundary	Matthew 1:23	Gospels	Emmanuel kiphuak ding hi	Emmanuel | ki-phuak | ding | hi	Emmanuel | REFL-name | IRR | DECL	will be called Emmanuel	deferred	boundary_only	Shows ki- in naming/passive-like material with TAM layering.	Overlaps prospective TAM and lexicalized naming behavior.
ki-boundary-kipiakna-gen4	ki_reflexive_middle	ki-piak-na	ki-piak-na	derivation_vp_boundary	Genesis 4:13	Old Testament	Keimah gim hong kipiakna, ka thuak zawh ding hi lo hi.	keimah | gim | hong | ki-piak-na | ka | thuak | zawh | ding | hi | lo | hi	1SG.EMPH | punishment | VEN | REFL-give-NMLZ | 1SG | bear | able | IRR | be | NEG | DECL	My punishment is more than I can bear.	deferred	boundary_only	Shows ki- plus nominalization at the derivation/VP boundary.	Not a clean reflexive or reciprocal anchor on its own.
ki-blocked-kibawl-report	ki_reflexive_middle	kibawl	ki-bawl	blocked_report_count_only	docs/grammar/reports/06-func-01-pronouns.md#reflexive-constructions	Report inventory	kibawl	ki-bawl	REFL-make	make oneself / be made	excluded	blocked	Retained as a count-heavy report row so high frequency does not silently become grammar prose.	Raw report counts are discovery signals, not grammar facts.
