candidate_id	topic	candidate_form	base_or_parse	construction_type	person_configuration	predicate_type	source_reference	source_zone	tedim_text	segmentation	gloss	translation	candidate_status	print_status	diagnostic_status	person_configuration_decision	why_selected	caveat
hk-hongbia-matt4	hong_kong_object_prefix	hongbia	hong-bia	object_prefix_inverse_like_clause	2→1_participant_target	worship	Matthew 4:9	Gospels	Ka mai-ah kunin kei hong bia lecin hihte khempeuh nangma tungah kong pia ding hi, a ci hi.	ka | mai-ah | kunin | kei | hong | bia | le-cin | hih-te | khempeuh | nangma | tung-ah | kong | pia | ding | hi | a | ci | hi	1SG.PRO | front-LOC | when | 1SG.PRO | 2→1 | worship | COND | these | all | 2SG.PRO | on | 1→2 | give | IRR | DECL | and | say | DECL	If you worship me, I will give you all these things.	accepted	print_ready	object_prefix_diagnostic	inverse_like_2_to_1_diagnostic	Paired explicit pronouns (`kei`, `nangma`) with matching `hong` / `kong` in one clause make this the clearest hong-side person-configuration anchor.	The row supports the local hong/kong contrast, but it still does not by itself settle the whole prefix system.
hk-kongpia-matt4	hong_kong_object_prefix	kongpia	kong-pia	object_prefix_direct_like_clause	1→2_participant_target	transfer	Matthew 4:9	Gospels	Ka mai-ah kunin kei hong bia lecin hihte khempeuh nangma tungah kong pia ding hi, a ci hi.	ka | mai-ah | kunin | kei | hong | bia | le-cin | hih-te | khempeuh | nangma | tung-ah | kong | pia | ding | hi | a | ci | hi	1SG.PRO | front-LOC | when | 1SG.PRO | 2→1 | worship | COND | these | all | 2SG.PRO | on | 1→2 | give | IRR | DECL | and | say | DECL	If you worship me, I will give you all these things.	accepted	print_ready	object_prefix_diagnostic	direct_like_1_to_2_diagnostic	Paired explicit pronouns (`kei`, `nangma`) with matching `hong` / `kong` in one clause make this the clearest kong-side person-configuration anchor.	The row supports the local hong/kong contrast, but it still does not by itself settle the whole prefix system.
hk-kongkoih-gen41	hong_kong_object_prefix	kongkoih	kong-koih	object_prefix_direct_like_clause	1→2_participant_target	placement_or_transfer	Genesis 41:41	Old Testament	Egypt gam khempeuh a uk dingin nang kong koih khinzo hi.	Egypt | gam | khempeuh | a | uk | ding-in | nang | kong | koih | khinzo | hi	Egypt | land | all | GEN | rule | IRR-ERG | 2SG.PRO | 1→2 | place | already | DECL	I have placed you over all the land of Egypt.	accepted	print_ready	object_prefix_diagnostic	direct_like_1_to_2_diagnostic	`Nang kong koih` is a compact OT clause with explicit second-person target and first-person actor, so it is a strong kong-side diagnostic.	This row anchors kong-side evidence outside the paired Gospel row, but does not imply a full inverse chapter.
hk-hongmu-matt25	hong_kong_object_prefix	hongmu	hong-mu	sap_or_venitive_participant_oriented_clause	1PL→2SG_clause_with_hong_sap_orientation	perception_plus_transfer	Matthew 25:37	Gospels	Topa aw, cikin na gilkial hong mu-in an hong pia ka hi uh hiam?	Topa | aw | cikin | na | gilkial | hong-mu | in | an | hong | pia | ka | hi | uh | hiam	Lord | VOC | when | 2SG | hungry | SAP.ORIENT-see | CVB | food | SAP.ORIENT | give | 1PL | be | PL | Q	Lord, when did we see you hungry and give you food?	accepted_with_caveat	print_usable_with_caveat	compatible_not_diagnostic	sap_or_venitive_support_not_diagnostic	Keeps the familiar Gospel row visible while encoding the quote-internal 1PL→2SG participant configuration and the repeated `hong` tokens in the same clause.	Both `hong` tokens are best treated here as SAP-oriented/venitive support, not as clean diagnostics for object-prefix selection.
hk-kongmu-jer7	hong_kong_object_prefix	kongmu	kong-mu	object_prefix_direct_like_clause	1→2_with_speech_formula_overlap	perception_plus_speech	Jeremiah 7:11	Old Testament	Keimah in note' hih khempeuh kong mu khin hi, Topa in kong ci hi.	keimah | in | note' | hih | khempeuh | kong-mu | khin | hi | Topa | in | kong | ci | hi	1SG.PRO | ERG | 2PL.POSS | this | all | 1→2-see | PFV | DECL | LORD | ERG | 1→2 | say | DECL	I have seen all these things, says the Lord.	accepted_with_caveat	print_usable_with_caveat	compatible_not_diagnostic	direct_like_1_to_2_support_not_diagnostic	Keeps the established `kong-mu` row visible as a useful kong-side support example with first-person actor and addressee-oriented discourse frame.	The same verse also contains speech-formula `kong` material (`kong ci`), so this row remains supporting rather than promoted diagnostic evidence.
hk-hongzui-matt8	hong_kong_object_prefix	hongzui	hong-zui	object_prefix_inverse_like_imperative	2→1_with_imperative_venitive_overlap	following_or_directive	Matthew 8:22	Gospels	Nangmah in kei hong zui in.	nangmah | in | kei | hong | zui | in	2SG.EMPH | ERG | 1SG.PRO | 2→1 | follow | IMP	You yourself, follow me.	accepted_with_caveat	print_usable_with_caveat	compatible_not_diagnostic	inverse_like_2_to_1_support_with_venitive_overlap	The explicit `nangmah` / `kei` pairing makes this a useful hong-side support row for a 2→1 reading in a command clause.	Command-clause `hong` can also carry venitive force, so this row should remain supporting rather than diagnostic.
hk-hongsawl-matt13	hong_kong_object_prefix	hongsawl	hong-sawl	deictic_venitive_overlap_clause	3→SAP_or_venitive_unresolved	sending	Matthew 13:41	Gospels	Mihing Tapa in a vantung mite hong sawl ding a, ama ukna sungah a om migilote le mi a mawh nadingin a bawl mi khempeuh kaikhawmin.	mihing | Tapa | in | a | vantung | mite | hong | sawl | ding | a | ama | ukna | sung-ah | a | om | migilote | le | mi | a | mawh | nadingin | a | bawl | mi | khempeuh | kaikhawm-in	human | Son | ERG | 3SG | heaven | angels | VEN_or_SAP.ORIENT | send | IRR | and | 3SG.PRO | kingdom | inside-LOC | REL | be | evildoers | and | person | REL | sin | for | REL | make | person | all | gather-CVB	The Son of Man will send his angels and gather all who cause sin in his kingdom.	deferred	boundary_only	deictic_venitive_boundary	deictic_or_3_to_sap_boundary	Retains a high-frequency overlap row so the packet does not over-read every `hong` token as object-prefixal person marking.	The clause is better treated as deictic/participant-orientation overlap and should stay boundary material in the first slice.
hk-hongpai-exod1	hong_kong_object_prefix	hongpai	hong-pai	deictic_venitive_motion	deictic_centered_no_object_prefix	motion	Exodus 1:1	Old Testament	Jakob tawh Egypt-ah a hong pai, amau' innkuan ciat tawh ahi Israel' tapate' minte:	Jakob | tawh | Egypt-ah | a | hong | pai | amau' | inn-kuan | ciat | tawh | ahi | Israel' | tapate' | min-te	Jacob | COM | Egypt-LOC | 3SG | VEN | go | 3PL.POSS | household | each | COM | be | Israel.POSS | children.POSS | name-PL	These are the names of Israel's children who came into Egypt with Jacob.	deferred	boundary_only	deictic_venitive_boundary	deictic_venitive_boundary	This is a clear deictic-motion `hong-pai` row and anchors the venitive boundary.	It is motion/deictic evidence, not object-prefix diagnostic evidence.
hk-hongbei-gen1	hong_kong_object_prefix	hongbei	hong-bei	deictic_venitive_temporal	deictic_centered_no_object_prefix	temporal_motion	Genesis 1:5	Old Testament	Nitak hong bei-in, zingsang hong tung a, ni khat ni ahi hi.	nitak | hong | bei-in | zingsang | hong | tung | a | ni | khat | ni | ahi | hi	evening | VEN | finish-CVB | morning | VEN | arrive | CONJ | day | one | day | be.3SG | DECL	Evening came and morning came, the first day.	deferred	boundary_only	deictic_venitive_boundary	deictic_venitive_boundary	Shows repeated deictic/venitive-style `hong` in temporal-motion predicates.	The doubled `hong` sequence is strongly deictic and not useful for person-configuration diagnostics.
hk-hongsuahna-matt1	hong_kong_object_prefix	hongsuahna	hong-suah-na	lexicalized_nominalized_boundary	unclear_or_nonprefix	nominalized_birth_expression	Matthew 1:18	Gospels	Jesuh Khrih a hong suahna zia hih bang ahi hi.	Jesuh | Khrih | a | hong | suah-na | zia | hih | bang | ahi | hi	Jesus | Christ | 3SG | VEN | be.born-NMLZ | manner | this | like | be.3SG | DECL	Now the birth of Jesus Christ was on this wise.	deferred	boundary_only	lexicalized_or_unclear	lexicalized_or_nominalized_boundary	Keeps a high-frequency fixed sequence visible so the section does not silently treat it as object-prefix evidence.	Nominalized and formulaic usage is too lexicalized for direct object-prefix/inverse diagnostics.
hk-kongci-jer7	hong_kong_object_prefix	kongci	kong-ci	speech_formula_boundary	quotative_or_discourse_boundary	speech_reporting	Jeremiah 7:11	Old Testament	Topa in kong ci hi.	Topa | in | kong | ci | hi	LORD | ERG | QUOT_or_1→2 | say | DECL	says the Lord.	deferred	boundary_only	lexicalized_or_unclear	speech_formula_boundary	Keeps a frequent `kong` speech formula visible so the packet does not overgeneralize all `kong` tokens as object-prefix diagnostics.	Speech reporting with `ci` can be constructionally frozen and should remain separate from kong-side person-configuration diagnostics.
hk-konggenkik-matt2	hong_kong_object_prefix	konggenkik	kong-gen-kik	speech_formula_boundary	quotative_or_discourse_boundary	speech_directive	Matthew 2:13	Gospels	Pai khia un, ci-in kong genkik matengin tua gamah va om un.	pai | khia | un | ci-in | kong | gen-kik | mateng | tua | gam-ah | va | om | un	go | out | IMP.PL | say-CVB | QUOT_or_1→2 | say-ITER | until | that | land-LOC | go.away | stay | IMP.PL	Stay in that land until I tell you again, "Go out."	deferred	boundary_only	lexicalized_or_unclear	speech_formula_boundary	Keeps recurring discourse `kong` formulas visible in a Gospel setting for boundary control.	This row is dominated by speech sequencing and quotation structure, not clean object-prefix diagnostics.
hk-otsuka-hongan-huansak	hong_kong_object_prefix	hong-an-huan-sak	hong-an huan-sak	analyzer_gap_inverse_constraint	3→1_causee	causative_benefactive	Otsuka 2009:23	Report/literature	nu hau in kei hong-an huan-sak	nu | hau | in | kei | hong-an | huan-sak	aunt | Hau | ERG | 1SG.PRO | INV-meal | cook-CAUS	Aunt Hau made me cook a meal.	blocked	blocked	blocked	blocked_literature_inverse_constraint	Retains the literature-backed obligatory `hong-` with `-sak` when the causee/beneficiary is first or second person.	Elicited literature example rather than Bible-aligned formal row; keep blocked from print promotion in this first slice.
hk-otsuka-kongbawlsak	hong_kong_object_prefix	kong-bawl-sak	kong-bawl-sak	analyzer_gap_inverse_constraint	1→2_beneficiary	causative_benefactive	Otsuka 2009:30	Report/literature	kong bawl-sak hi	kong | bawl-sak | hi	1→2 | make-CAUS | DECL	I made it for you.	blocked	blocked	blocked	blocked_literature_inverse_constraint	Retains the literature-backed kong-side benefactive/inverse-like constraint row for analyzer-gap tracking.	Elicited literature example only; keep blocked from first-slice formal-example use.
