candidate_id	topic	construction_id	verse_id	reference	surface_span	token_indices	segmentation_span	gloss_span	lemma_span	pos_span	kjv	candidate_status	confidence	why_selected	why_excluded	manual_review_status	notes
stem-mu-form-i-gen-1-4	stem_alternation	mu-muh	01001004	Genesis 1:4	mu	8	mu	see.I	mu	V	And God saw the light, that it was good: and God divided the light from the darkness.	accepted	high	`a mu hi` is the packet's clearest finite Form I example for `mu ~ muh` and remains analyzer-confirmed in a straightforward clause-final predicate.		reviewed	
stem-muh-derived-gen-19-19	stem_alternation	mu-muh	01019019	Genesis 19:19	muhna-ah	3	muh-na-ah	see.II-NMLZ-LOC	mu	FUNC	behold now, thy servant hath found grace in thy sight, and thou hast magnified thy mercy, which thou hast shewed unto me in saving my life; and I cannot escape to the mountain, lest some evil take me, and I die:	accepted	high	`muhna-ah` is the dossier's clean nominalized Form II example and makes the derived-vs-finite contrast explicit for `mu ~ muh`.		reviewed	
stem-ne-nek-gen-2-17	stem_alternation	ne-nek	01002017	Genesis 2:17	ne nek	12,23	ne | nek	eat | eat.II	ne | ne	V | V	but of the tree of the knowledge of good and evil, thou shalt not eat of it: for in the day that thou eatest thereof thou shalt surely die.	accepted	high	Genesis 2:17 remains the strongest same-verse contrast in the packet: finite `ne` in the prohibition and Form II `nek` in the dependent temporal clause.		reviewed	
stem-nei-form-i-gen-11-30	stem_alternation	nei-neih	01011030	Genesis 11:30	nei	5	nei	have	nei	V	But Sarai was barren; she had no child.	accepted	high	Finite `nei` in Genesis 11:30 is one of the packet's stable Form I possession examples.		reviewed	
stem-neih-derived-2sam-23-8	stem_alternation	nei-neih	10023008	2 Samuel 23:8	neih	1	nei-h	have-NOM	nei	V	These be the names of the mighty men whom David had: the Tachmonite that sat in the seat, chief among the captains; the same was Adino the Eznite: he lift up his spear against eight hundred, whom he slew at one time.	accepted	high	`neih` in `David' neih mi` gives the print-facing derived/attributive Form II side of `nei ~ neih` that the packet already uses.		reviewed	
stem-pia-piak-gen-3-12	stem_alternation	pia-piak	01003012	Genesis 3:12	piak pia	8,13	piak | pia	give.to | give	pia | pia	V | V	And the man said, The woman whom thou gavest to be with me, she gave me of the tree, and I did eat.	accepted	high	Genesis 3:12 is the manually checked same-turn contrast for `pia ~ piak`; it is safe packet evidence even though the broader questionnaire is noisy.		reviewed	Report-layer caveat: this accepted row is manual packet evidence, not a license to trust questionnaire hits contaminated by `piangsak` and related derivations.
stem-zak-dependent-gen-24-52	stem_alternation	za-zak	01024052	Genesis 24:52	zak ciangin	6,7	zak | ciang-in	hear.II | then-ERG	za | ciang	V | CONJ	And it came to pass, that, when Abraham's servant heard their words, he worshipped the LORD , bowing himself to the earth.	accepted	high	`a zak ciangin` is the packet's best analyzer-backed dependent-clause example for the caveated `za ~ zak` expansion.		reviewed	Packet caveat: `zak` is safe here as a hearing example, but the dossier warns that not every surface `zak` token should be promoted without manual review.
stem-nusiat-dependent-deut-2-14	stem_alternation	nusia-nusiat	05002014	Deuteronomy 2:14	nusiat a kipan	22,23,24	nusiat | a | ki-pan	abandon | 3SG | REFL-begin	nusia | a | pan	N | FUNC | V	And the space in which we came from Kadesh-barnea, until we were come over the brook Zered, was thirty and eight years; until all the generation of the men of war were wasted out from among the host, as the LORD sware unto them.	accepted	high	`i nusiat a kipan` preserves the dossier's strongest dependent/clause-linking Form II evidence for the caveated `nusia ~ nusiat` pair.		reviewed	Export caveat: the analyzer currently surfaces `nusiat` with noun-like POS here, so accepted status depends on the analyzer-backed span plus manual packet review rather than POS alone.
stem-theihna-gen-2-17	stem_alternation	thei-theih	01002017	Genesis 2:17	theihna	7	theih-na	know.II-NMLZ	thei	V	but of the tree of the knowledge of good and evil, thou shalt not eat of it: for in the day that thou eatest thereof thou shalt surely die.	needs_review	high	`theihna` keeps the real `thei ~ theih` pair visible in the candidate layer because the packet and dossier both treat it as genuine but constructionally mixed evidence.	This row shows Form II through a nominalized derivative, not through a reader-friendly bare contrast, so it should not by itself settle print prose for the whole pair.	reviewed	The packet keeps `thei ~ theih` caveated because the Form I side overlaps with modal/ability uses and the Form II side is overrepresented in nominalized or purposive material.
stem-pianna-gen-10-29	stem_alternation	piang-pian	01010029	Genesis 10:29	pianna	4	pian-na	birth-NMLZ	pian	N	and Ophir, and Havilah, and Jobab: all these were the sons of Joktan.	needs_review	medium	`pianna` records the dossier's main reason for keeping `piang ~ pian` visible even though the pair is still more derived than pedagogically neat.	The Form II side is mostly visible through derived forms such as `pianna`, so this row cannot yet carry a simple print-safe bare-stem contrast on its own.	reviewed	The packet keeps `piang ~ pian` provisional rather than excluded: the pair is real, but the evidence is still dominated by nominalized and purposive environments.
