example_id	negation_topic	candidate_form	construction_type	source_reference	source_zone	tedim_text	segmentation	gloss	translation	example_quality	print_status	why_selected	caveat
ex:neg-lo	clause-level-lo	lo	clause-level negation	Genesis 4:5	OT	Kain le ama piakna thusim lo hi.	thusim lo hi	accept NEG DECL	he had not respect for Cain and his offering.	high	formal	Compact clause-level anchor for ordinary lo negation.	None.
ex:neg-lo-matt2-10	clause-level-lo	lo hi	clause-level negation	Matthew 2:10	Gospel	Tua aksi a muh uh ciangin a lungdamna uh kigen thei lo hi.	kigen thei lo hi	tell ABIL NEG DECL	their joy could not be told.	high	formal	Gospel comparandum for ordinary lo hi negation in prose predicate context.	None.
ex:neg-loh	dependent-loh	loh	dependent or derived negation	Genesis 3:11	OT	Na nek loh ding-a kong thupiak singgah ne kha na hi hiam?	nek loh ding-a	eat.II NEG.DEP IRR-ERG	that thou shouldest not eat?	high	formal	Clean dependent negation with loh ding-a.	None.
ex:neg-loh-matt5-19	dependent-loh	loh nadingin	dependent or derived negation	Matthew 5:19	Gospel	Midangte in zong a zuih loh nadingin a gen mite pen mi neupen hi ding uh hi.	zuih loh nadingin	follow.II NEG.DEP PURP	those who teach others not to keep them will be called least.	high	formal	Gospel comparandum for dependent loh purposive environment.	None.
ex:neg-kei	kei-prohibitive	kei in	prohibitive negation	Genesis 22:12	OT	Tangvalpa su kei in. Ama tungah bangmah hih kei in.	su kei in ... hih kei in	strike NEG IMP.SG ... do NEG IMP.SG	Do not strike the boy; do not do anything to him.	high	formal	Two prohibitive tokens in one controlled verse.	None.
ex:neg-kei-mark1-25	kei-prohibitive	kei in	prohibitive negation	Mark 1:25	Gospel	Pau kei in; hih mipa sung panin paikhia in.	pau kei in ... paikhia in	speak NEG IMP.SG ... come.out IMP.SG	Be silent, and come out of him.	high	formal	Gospel prohibitive anchor with clear imperative morphology.	None.
ex:neg-om-lo-gen37-24	negative-existence	om lo hi	negative existence	Genesis 37:24	OT	Khu sungah tui om lo hi.	om lo hi	exist NEG DECL	there was no water in the pit.	high	formal	Compact existential absence clause.	None.
ex:neg-nei-lo-john14-30	negative-existence	nei lo hi	negative possession	John 14:30	Gospel	Amah in keima tungah aana nei lo hi.	nei lo hi	have NEG DECL	he has no claim on me.	high	formal	Gospel possession-negation comparandum.	None.
ex:neg-nawn-lo-gen8-12	nawn-lo	nawn lo	cessative negation	Genesis 8:12	OT	Tua vachuang hong ciahkik nawn lo hi.	hong ciahkik nawn lo hi	return CONT NEG DECL	the dove did not return again.	high	formal	Core no-longer construction in OT prose.	None.
ex:neg-nawn-lo-matt28-6	nawn-lo	nawn lo	cessative negation	Matthew 28:6	Gospel	Amah om nawn lo hi.	om nawn lo hi	exist CONT NEG DECL	he is no longer here.	high	formal	Gospel no-longer construction with existential predicate.	None.
ex:neg-thei-lo	ability-negation	thei lo	ability negation	Genesis 27:23	OT	Amah in thei lo hi.	thei lo hi	know NEG DECL	he did not recognize him.	high	formal	Ordinary inability/knowledge negation anchor.	None.
ex:neg-theih-loh-john9-4	ability-negation	theih loh	dependent inability	John 9:4	Gospel	Kuamah in na a sep theih loh zan hun hong tung ding hi.	sep theih loh	work ABIL.NMLZ NEG	night is coming when no one can work.	high	formal	Gospel dependent inability with theih loh profile.	None.
ex:neg-kuamah	npi	kuamah	negative polarity item	Exodus 2:12	OT	Kuamah mu lo ahih manin Egypt mipa thatin sehnel sungah a seel hi.	kuamah mu lo	nobody see NEG	he saw that there was no man, and hid the Egyptian in the sand.	high	formal	Filtered NPI example with clear licensing negation.	Manual filtering required.
ex:neg-kuamah-matt22-46	npi	kuamah	negative polarity item	Matthew 22:46	Gospel	Kuamah in ama thudotna kamkhat beek dawng thei lo uh hi.	kuamah ... dawng thei lo uh hi	nobody ... answer ABIL NEG 3PL DECL	no one could answer him a word.	high	formal	Gospel NPI comparandum with overt clause negation.	Manual filtering required.
