candidate_id	topic	candidate_group	candidate_form	construction_type	source_type	source_reference	anchor_form	segmentation_span	gloss_span	rough_function	candidate_status	confidence	print_status	why_selected	why_excluded	manual_review_status	notes
rel_kiang_report_core	relators_postpositions	relator_noun	kiang	bare_relator_noun	grammar_report_discovery	docs/grammar/reports/03-noun-04-relators.md:178-236	kiang	kiang	beside	relator noun 'beside; near; at the side of'	accepted	high	print_usable_with_caveat	Clean high-value relator noun in the relator report and already central to the case-marking boundary examples.	Do not flatten later `kiangah` or `kiang pan(in)` uses into a bare case-marker discussion.	reviewed	Best treated as a relator noun that hosts locative/source marking rather than as a suffix example.
rel_lak_report_core	relators_postpositions	relator_noun	lak	bare_relator_noun	grammar_report_discovery	docs/grammar/reports/03-noun-04-relators.md:238-296	lak	lak	among	relator noun 'among; amid; between'	accepted	high	print_usable_with_caveat	High-value relator noun with clear relation to `lakah`, `lak pan`, and `lak panin` boundary material.	Do not let report hits on `lakpan` collapse the relator noun into a source suffix row.	reviewed	Key boundary anchor because the case-marking packet already uses `lakpan` as source-on-relator evidence.
rel_sung_report_core	relators_postpositions	relator_noun	sung	bare_relator_noun	grammar_report_discovery	docs/grammar/reports/03-noun-04-relators.md:118-176	sung	sung	inside	relator noun 'inside; within; among'	accepted	high	print_usable_with_caveat	Very productive relator noun with stable bare, locative, and source-hosting behavior in the discovery report.	Do not use raw frequency as evidence and do not reclassify all `sungah` / `sung panin` rows inside the relators packet without case-boundary control.	reviewed	Safest positive relator anchor for a later slice.
rel_tung_report_core	relators_postpositions	relator_noun	tung	bare_relator_noun	grammar_report_discovery	docs/grammar/reports/03-noun-04-relators.md:58-116	tung	tung	on	relator noun 'on; above; upon'	accepted_with_caveat	medium	print_usable_with_caveat	High-frequency spatial relator with clear host behavior for `tungah` and `tung panin`.	Attached and abstract uses remain close to case-marking territory, so keep the boundary explicit.	reviewed	Usable relator candidate, but should stay tied to relational-host behavior rather than a bare postposition list.
rel_pualam_report_boundary	relators_postpositions	relator_noun	pualam	bare_relator_noun	grammar_report_discovery	docs/grammar/reports/03-noun-04-relators.md:358-416	pualam	pualam	outside	relator noun 'outside; exterior side'	accepted_with_caveat	medium	print_usable_with_caveat	Clean enough to keep as a later relator-noun candidate and useful for an exterior-space subsection.	Bare and locative uses remain somewhat lexical-nominal, so keep it below the first four relator anchors.	reviewed	Good boundary-positive form for a later narrow slice.
rel_nuai_report_boundary	relators_postpositions	relator_noun	nuai	bare_relator_noun	grammar_report_discovery	docs/grammar/reports/03-noun-04-relators.md:538-596	nuai	nuai	below	relator noun 'below; under'	needs_review	medium	not_print_ready	Useful to keep visible as boundary material because it belongs to the same spatial-relator domain.	The current report mainly shows bare nominal-looking uses and does not yet give a clean first-slice relator profile parallel to `kiang` or `sung`.	needs_followup	Keep for scoping, but do not promote into the first grammar slice automatically.
rel_mai_report_boundary	relators_postpositions	relator_noun	mai	bare_relator_noun	grammar_report_discovery	docs/grammar/reports/03-noun-04-relators.md:298-357	mai	mai	front	relator noun or body-part noun 'front; face; before'	needs_review	medium	not_print_ready	Important boundary form because earlier literature often treats 'front/before' items with the relator set.	The report currently leaves `mai` very close to ordinary lexical noun or body-part material, so it is not yet a clean first-slice anchor.	needs_followup	Retain as boundary evidence rather than as a promoted relator-noun anchor.
post_pan_report_boundary	relators_postpositions	postposition	pan	separate_source_postposition	grammar_report_discovery	docs/grammar/reports/03-noun-05-postpositions.md:85-125	kiang pan	kiang | pan	beside | ABL	source postposition 'from; from beside; away from'	accepted_with_caveat	medium	print_usable_with_caveat	Clear high-value postposition candidate and central to the relator/postposition boundary.	The case-marking packet already covers attached or case-like `-pan` uses, so a later relators slice must keep separate postpositional use distinct from attached source marking.	reviewed	Use only where the postposition is clearly separate or clearly hosted by a relator noun.
post_panin_report_boundary	relators_postpositions	postposition	panin	separate_source_postposition	grammar_report_discovery	docs/grammar/reports/03-noun-05-postpositions.md:126-166	kiang panin	kiang | pan-in	beside | ABL-ERG	source postpositional form 'from' with structural caution	accepted_with_caveat	medium	print_usable_with_caveat	Frequent and clearly relevant to the packet, especially in relation to relator nouns such as `kiang`, `lak`, `sung`, and `tung`.	Do not force a fully settled compositional analysis here, and do not reopen the case-marking packet's cautious `panin` treatment.	reviewed	Best treated as a boundary-controlled source form related to `pan`.
post_tawh_report_boundary	relators_postpositions	postposition	tawh	separate_comitative_postposition	grammar_report_discovery	docs/grammar/reports/03-noun-05-postpositions.md:167-207	kei tawh	kei | tawh	1SG | COM	comitative or associative postposition 'with; together with'	accepted_with_caveat	medium	print_usable_with_caveat	Clear postpositional candidate and necessary if the packet is to cover separate postpositions rather than only relator nouns.	The case-marking packet already handles comitative and material/instrumental `tawh`, so the relators packet must not duplicate that chapter or flatten all uses into one label.	reviewed	Keep accompaniment separate from material/instrumental extension and treat the case-marking packet as boundary control.
post_tawhin_report_boundary	relators_postpositions	postposition	tawhin	instrumental_postposition_form	grammar_report_discovery	docs/grammar/reports/03-noun-05-postpositions.md:208-218	mei tawhin	mei | tawh-in	fire | COM-ERG	instrumental-looking postpositional form 'with; by means of'	deferred	low	blocked	Retained so the packet records that `tawhin` exists in the report and belongs to the boundary question.	The report is extremely sparse and strongly instrument-like; this is not yet a clean first-slice postposition anchor.	needs_followup	Keep as boundary-only evidence until cleaner analyzer-backed rows are selected.
