lexeme_id	form_i	form_ii	gloss	grammar_status	discussion_order	form_i_attestation_summary	form_ii_attestation_summary	main_contexts_for_form_i	main_contexts_for_form_ii	best_citation_rows	contexts_to_discuss	main_generalization_for_this_pair	caveats	blocked_or_noisy_material	recommended_prose_treatment	include_in_core_showcase_table	include_in_promoted_pair_inventory	include_in_pair_by_pair_discussion	notes
mu-muh	mu	muh	see	core_showcase_pair	10	946 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:1008; negative_clause:246; imperative_or_directive:27. Best examples: Genesis 1:4 `mu` [finite_main_or_matrix; print_ready]; Zechariah 9:8 `mu` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 6:1 `mu` [finite_main_or_matrix; needs_analyzer_review].	489 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:406; nominalized_na:295; dependent_temporal_ciangin:173. Best examples: Genesis 19:1 `muh` [dependent_temporal_ciangin; print_usable_with_caveat]; Zechariah 4:10 `muh` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 2:8 `muh` [finite_main_or_matrix; needs_analyzer_review].	finite_main_or_matrix:1008; negative_clause:246; imperative_or_directive:27	finite_main_or_matrix:406; nominalized_na:295; dependent_temporal_ciangin:173	Genesis 1:4 form_i `mu` [print_ready; use_as_main_example]; Genesis 19:1 form_ii `muh` [print_usable_with_caveat; use_as_main_example]	finite_main_or_matrix; dependent_temporal_ciangin; negative_clause; imperative_or_directive; nominalized_na	This is the clearest showcase pair because both forms are robustly attested and easy to gloss for first-time readers.	The best Form II citation is a dependent `muh ciangin` clause, so the opening prose should not force a purely finite contrast.	Keep derived forms such as `muhsak` and nominalized `muhna/muatna` material out of the core showcase table unless derivation is the point.	Use this pair in the small core showcase table and cite it again briefly when the pair-by-pair discussion begins.	yes	yes	yes	Genesis 1:4 and Genesis 19:1 remain the most stable opening citations for the pair.
ne-nek	ne	nek	eat	core_showcase_pair	20	549 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:514; negative_clause:138; purpose_nadingin:32. Best examples: Genesis 2:17 `ne` [negative_clause; print_ready]; Song of Solomon 5:1 `ne` [finite_main_or_matrix; needs_analyzer_review]; Ruth 2:14 `ne` [finite_main_or_matrix; needs_analyzer_review].	191 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:279; nominalized_na:55; purpose_nadingin:41. Best examples: Genesis 2:17 `nek` [dependent_temporal_ni_in; print_ready]; Zephaniah 3:3 `nek` [finite_main_or_matrix; needs_analyzer_review]; Ruth 3:7 `nek` [finite_main_or_matrix; needs_analyzer_review].	finite_main_or_matrix:514; negative_clause:138; purpose_nadingin:32	finite_main_or_matrix:279; nominalized_na:55; purpose_nadingin:41	Genesis 2:17 form_i `ne` [print_ready; use_as_main_example]; Genesis 2:17 form_ii `nek` [print_ready; use_as_main_example]	negative_clause; dependent_temporal_ni_in; finite_main_or_matrix; purpose_nadingin; nominalized_na	This pair gives the cleanest compact contrast because Genesis 2:17 supplies both Form I and Form II in one verse.	The best Form II citation is temporal `nek ni-in`, so the prose should present the pair as a same-verse contrast with constructional asymmetry.	Keep `nesak` and related derivations out of the showcase table.	Use this pair in the small core showcase table and let it anchor the first explanation of non-final Form II.	yes	yes	yes	Genesis 2:17 should remain the first place to point readers for a same-verse illustration.
nei-neih	nei	neih	have	core_showcase_pair	30	1747 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:1472; negative_clause:421; unknown_or_needs_review:91. Best examples: Genesis 11:30 `nei` [negative_clause; print_ready]; Zechariah 9:2 `nei` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 4:2 `nei` [finite_main_or_matrix; needs_analyzer_review].	410 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:579; nominalized_na:80; negative_clause:54. Best examples: Zechariah 9:4 `neih` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 3:11 `neih` [finite_main_or_matrix; needs_analyzer_review]; Ruth 4:15 `neih` [finite_main_or_matrix; needs_analyzer_review].	finite_main_or_matrix:1472; negative_clause:421; unknown_or_needs_review:91	finite_main_or_matrix:579; nominalized_na:80; negative_clause:54	Genesis 11:30 form_i `nei` [print_ready; use_as_main_example]; 2 Samuel 23:8 form_ii `neih` [print_ready; use_as_supporting_example]	negative_clause; possessed_or_genitive_attributive; finite_main_or_matrix; unknown_or_needs_review; nominalized_na	This pair shows that Form II can be strong in attributive and possessed nominal structure as well as in clause-level distribution.	Its best Form II citation is structurally strong but less introductory than the finite contrasts used for `mu ~ muh` and `ne ~ nek`.	Keep `neihsak` and related derivations out of the core citations.	Use this pair in the small core showcase table, then return to it in the attributive subsection of the pair-by-pair discussion.	yes	yes	yes	The pair is best used to show that the system reaches beyond simple finite clauses.
za-zak	za	zak	hear	promoted_caveated_pair	40	1 clean verbal exact Bible rows survive after filtering. Main contexts: unknown_or_needs_review:627; finite_main_or_matrix:279; causative_or_derivational_sak:67. Best examples: 2 Samuel 20:16 `“Za` [imperative_or_directive; needs_analyzer_review].	338 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:274; dependent_temporal_ciangin:130; nominalized_na:27. Best examples: Genesis 24:52 `zak` [dependent_temporal_ciangin; print_usable_with_caveat]; Zephaniah 1:11 `zak` [finite_main_or_matrix; needs_analyzer_review]; Revelation 3:6 `zak` [finite_main_or_matrix; needs_analyzer_review].	unknown_or_needs_review:627; finite_main_or_matrix:279; causative_or_derivational_sak:67	finite_main_or_matrix:274; dependent_temporal_ciangin:130; nominalized_na:27	2 Samuel 20:16 form_i `“Za` [print_usable_with_caveat; use_as_supporting_example]; Genesis 24:52 form_ii `zak` [print_usable_with_caveat; use_as_supporting_example]	imperative_or_directive; dependent_temporal_ciangin; unknown_or_needs_review; finite_main_or_matrix; causative_or_derivational_sak; nominalized_na	The pair is real and useful because `za` is overtly directive while `zak` has a clear dependent-clause citation.	The Form I citation carries quotation punctuation and the wider `zak` distribution is lexically broad, so this is not a first-line showcase pair.	Keep `zasak` and other derivational rows out of the promoted inventory discussion.	List it in the promoted-pair inventory table and give it a short note that emphasizes directive Form I versus dependent Form II evidence.	no	yes	yes	Genesis 24:52 is the strongest Form II citation; the Form I side still needs cautious presentation.
pia-piak	pia	piak	give	promoted_caveated_pair	50	2183 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:2226; unknown_or_needs_review:183; negative_clause:177. Best examples: Genesis 3:12 `pia` [finite_main_or_matrix; print_usable_with_caveat]; Zephaniah 3:19 `pia` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 1:9 `pia` [finite_main_or_matrix; needs_analyzer_review].	789 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:686; nominalized_na:262; purpose_nadingin:141. Best examples: Genesis 3:12 `piak` [finite_main_or_matrix; print_usable_with_caveat]; Zechariah 8:15 `piak` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 6:11 `piak` [finite_main_or_matrix; needs_analyzer_review].	finite_main_or_matrix:2226; unknown_or_needs_review:183; negative_clause:177	finite_main_or_matrix:686; nominalized_na:262; purpose_nadingin:141	Genesis 3:12 form_i `pia` [print_usable_with_caveat; use_as_supporting_example]; 1 Chronicles 21:22 form_ii `piak` [print_usable_with_caveat; use_as_supporting_example]; Genesis 3:12 form_ii `piak` [print_usable_with_caveat; use_as_supporting_example]	finite_main_or_matrix; purpose_nadingin; unknown_or_needs_review; negative_clause; nominalized_na	Both forms are abundantly attested, so the pair belongs in the promoted inventory even though its best contrast is not especially sharp.	The strongest exact citations sit in crowded transfer contexts, so the pair still needs a more elegant Form II quotation before final prose is drafted.	Keep neighboring `-sak` and other transfer-family noise out of the promoted table.	List it in the promoted-pair inventory table and give it a short note that distinguishes abundant evidence from ideal citation quality.	no	yes	yes	Genesis 3:12 and 1 Chronicles 21:22 currently give the most serviceable exact citations.
nusia-nusiat	nusia	nusiat	abandon	promoted_caveated_pair	60	172 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:252; negative_clause:87; unknown_or_needs_review:16. Best examples: Zechariah 11:17 `nusia` [finite_main_or_matrix; needs_analyzer_review]; Titus 1:5 `nusia` [finite_main_or_matrix; needs_analyzer_review]; Ruth 2:16 `nusia` [finite_main_or_matrix; needs_analyzer_review].	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:26; finite_main_or_matrix:15; negative_clause:6. Current best rows: Deuteronomy 2:14 `nusiat` [clause_linking_kipan; print_usable_with_caveat]; Psalms 49:10 `nusiat` [finite_main_or_matrix; needs_analyzer_review]; Joshua 24:16 `nusiat` [finite_main_or_matrix; needs_analyzer_review].	finite_main_or_matrix:252; negative_clause:87; unknown_or_needs_review:16	unknown_or_needs_review:26; finite_main_or_matrix:15; negative_clause:6	Zechariah 11:17 form_i `nusia` [print_usable_with_caveat; use_as_supporting_example]; Deuteronomy 2:14 form_ii `nusiat` [descriptive_only; mention_without_quotation]	finite_main_or_matrix; clause_linking_kipan; negative_clause; unknown_or_needs_review	The pair is grammar-worthy because the Form II side is clearest in clause-linking syntax rather than in a neat finite paradigm.	The best exact `nusiat` row is still tagged nominal and should be treated as structural evidence, not as a print-ready quotation.	Keep `kinusiacipsak` and other derivational material away from the promoted discussion.	List it in the promoted-pair inventory table and give it a short note centered on clause-linking `nusiat a kipan` evidence.	no	yes	yes	This is the promoted pair that most clearly requires a caveat about quotation quality as distinct from grammatical relevance.
bia-biak	bia	biak	worship	promoted_caveated_pair	70	213 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:194; purpose_nadingin:27; negative_clause:26. Best examples: Zephaniah 2:11 `bia` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 8:22 `bia` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 14:9 `bia` [finite_main_or_matrix; needs_analyzer_review].	211 clean verbal exact Bible rows survive after filtering. Main contexts: nominalized_na:1551; unknown_or_needs_review:914; purpose_nadingin:163. Best examples: Philippians 1:3 `biak` [finite_main_or_matrix; needs_analyzer_review]; Numbers 31:41 `biak` [finite_main_or_matrix; needs_analyzer_review]; Numbers 29:39 `biak` [finite_main_or_matrix; needs_analyzer_review].	finite_main_or_matrix:194; purpose_nadingin:27; negative_clause:26	nominalized_na:1551; unknown_or_needs_review:914; purpose_nadingin:163	1 Chronicles 16:29 form_i `bia` [print_usable_with_caveat; use_as_supporting_example]; 1 Chronicles 21:23 form_ii `biak` [print_usable_with_caveat; use_as_supporting_example]	imperative_or_directive; purpose_nadingin; finite_main_or_matrix; negative_clause; nominalized_na; unknown_or_needs_review	Both forms survive as genuine verbal evidence, and the pair is especially useful for purposive and worship-domain contexts.	The pair remains domain-specific because worship and offering discourse still dominate the clean `biak` rows.	Keep `biakna`, `biakinn`, and `biasak` material out of the positive evidence unless nominalization is the point.	List it in the promoted-pair inventory table and give it a short note that frames the pair as domain-specific rather than all-purpose.	no	yes	yes	Prefer 1 Chronicles 21:23 over nominalized worship nouns when quoting the Form II side.
thei-theih	thei	theih	know	promoted_caveated_pair	80	1923 clean verbal exact Bible rows survive after filtering. Main contexts: negative_clause:888; unknown_or_needs_review:670; finite_main_or_matrix:667. Best examples: Zechariah 14:7 `thei` [finite_main_or_matrix; dossier_only]; Ruth 3:11 `thei` [finite_main_or_matrix; dossier_only]; Romans 8:38 `thei` [finite_main_or_matrix; dossier_only].	1364 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:864; purpose_nadingin:646; nominalized_na:256. Best examples: Zechariah 6:13 `theih` [finite_main_or_matrix; dossier_only]; Titus 3:13 `theih` [finite_main_or_matrix; dossier_only]; Titus 2:8 `theih` [finite_main_or_matrix; dossier_only].	negative_clause:888; unknown_or_needs_review:670; finite_main_or_matrix:667	finite_main_or_matrix:864; purpose_nadingin:646; nominalized_na:256	Genesis 2:16 form_i `thei` [print_usable_with_caveat; use_as_supporting_example]; 1 Chronicles 17:27 form_ii `theih` [descriptive_only; mention_without_quotation]; 1 Chronicles 19:10 form_ii `theih` [print_usable_with_caveat; use_as_supporting_example]	modal_or_ability; dependent_temporal_ciangin; purpose_nadingin; negative_clause; unknown_or_needs_review; finite_main_or_matrix; nominalized_na	This is a real promoted pair, but it matters most as a modal or ability predicate rather than as a simple finite alternation.	Even the best Form II rows cluster in dependent, purposive, or modal syntax, so the pair should not be used as a plain showcase paradigm.	Keep `theisak` and other derived abilitative material out of the promoted-pair inventory.	List it in the promoted-pair inventory table and discuss it explicitly in the modal-or-ability subsection.	no	yes	yes	The pair belongs in the grammar argument because it expands the system beyond simple lexical verb contrasts.
piang-pian	piang	pian	be.born	promoted_caveated_pair	90	315 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:308; unknown_or_needs_review:33; negative_clause:27. Best examples: Zephaniah 2:15 `piang` [finite_main_or_matrix; dossier_only]; Zechariah 8:12 `piang` [finite_main_or_matrix; dossier_only]; Zechariah 6:15 `piang` [finite_main_or_matrix; dossier_only].	28 clean verbal exact Bible rows survive after filtering. Main contexts: unknown_or_needs_review:89; nominalized_na:54; causative_or_derivational_sak:44. Best examples: Matthew 26:54 `pian` [finite_main_or_matrix; dossier_only]; Luke 21:7 `pian` [finite_main_or_matrix; dossier_only]; Luke 21:28 `pian` [finite_main_or_matrix; dossier_only].	finite_main_or_matrix:308; unknown_or_needs_review:33; negative_clause:27	unknown_or_needs_review:89; nominalized_na:54; causative_or_derivational_sak:44	1 Chronicles 22:9 form_i `piang` [print_usable_with_caveat; use_as_supporting_example]; 1 Corinthians 6:4 form_ii `pian` [print_usable_with_caveat; use_as_supporting_example]	finite_main_or_matrix; dependent_temporal_ciangin; unknown_or_needs_review; negative_clause; nominalized_na; causative_or_derivational_sak	Exact `piang` and `pian` rows survive well enough to support a real eventive pair in the grammar.	The Form II side is still sparse and competes with the much larger `piangsak` family, so the prose should keep the pair clearly eventive and non-causative.	Keep `piangsak`, `piansak`, and related derived rows out of the promoted inventory.	List it in the promoted-pair inventory table and treat it as an eventive caveated pair rather than as a headline showcase verb.	no	yes	yes	The current shortlist is strongest when it keeps exact `pian` rows separate from causative material.
zui-zuih	zui	zuih	follow	promoted_caveated_pair	100	486 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:772; negative_clause:134; imperative_or_directive:41. Best examples: Zechariah 8:8 `zui` [finite_main_or_matrix; needs_analyzer_review]; Ruth 1:11 `zui` [finite_main_or_matrix; needs_analyzer_review]; Romans 7:25 `zui` [finite_main_or_matrix; needs_analyzer_review].	169 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:140; nominalized_na:71; purpose_nadingin:27. Best examples: Zechariah 6:15 `zuih` [finite_main_or_matrix; needs_analyzer_review]; Ruth 3:10 `zuih` [finite_main_or_matrix; needs_analyzer_review]; Ruth 1:18 `zuih` [finite_main_or_matrix; needs_analyzer_review].	finite_main_or_matrix:772; negative_clause:134; imperative_or_directive:41	finite_main_or_matrix:140; nominalized_na:71; purpose_nadingin:27	Zechariah 8:8 form_i `zui` [print_usable_with_caveat; use_as_supporting_example]; Zechariah 6:15 form_ii `zuih` [print_usable_with_caveat; use_as_supporting_example]	finite_main_or_matrix; negative_clause; imperative_or_directive; nominalized_na; purpose_nadingin	Both forms are lexically coherent and give enough exact evidence to justify promotion into the grammar-facing inventory.	The final quotation set still needs to stay away from `zuihsak` material and from contexts where the Form II side is only loosely controlled.	Keep `zuihsak` and other derivational neighbors out of the promoted-pair inventory.	List it in the promoted-pair inventory table and give it a short note that highlights conditional or non-final Form II evidence.	no	yes	yes	Zechariah 6:15 is still the best exact Form II anchor even though its coarse environment label is conservative.
