candidate_id	topic	construction_id	particle_type	particle_form	construction_type	verse_id	reference	surface_span	token_indices	segmentation_span	gloss_span	lemma_span	pos_span	kjv	candidate_status	confidence	print_status	why_selected	why_excluded	manual_review_status	notes
sfp_hi_gen1_13_ahi_hi	sentence_final_particles	particle-hi-ahi-hi	declarative	hi	copula_plus_declarative_ahi_hi	01001013	Genesis 1:13	ahi hi	10-11	ahi | hi	be.3SG | DECL	ahi | hi	V | FUNC	And the evening and the morning were the third day.	accepted_with_caveat	high	print_usable_with_caveat	Analyzer preserves `ahi hi` in a compact clause-final span, so the first sentence-final packet can keep declarative `hi` visible without pretending the evidence is a bare standalone particle.	This is not a bare declarative `hi` row: it bundles copular `ahi` plus final `hi`, so it cannot license raw `hi` harvesting or a claim that every `hi` token is sentence-final declarative.	reviewed	Copula-versus-sentence-final overlap is explicit here; keep `hi` narrow and construction-controlled.
sfp_hi_gen4_5_lo_hi	sentence_final_particles	particle-hi-lo-hi	negation_overlap	hi	neg_plus_declarative_lo_hi	01004005	Genesis 4:5	thusim lo hi	6-8	thusim | lo | hi	parable | NEG | DECL	thusim | lo | hi	N | FUNC | FUNC	but unto Cain and to his offering he had not respect. And Cain was very wroth, and his countenance fell.	accepted_with_caveat	high	print_usable_with_caveat	`thusim lo hi` keeps one compact negative-plus-declarative row visible in the candidate layer so sentence-final review can register how `hi` clusters with stabilized negation material.	This row overlaps the negation packet and should not reopen `lo` analysis or broaden `hi` into every clause-final negative sequence.	reviewed	Negation-overlap control only; cross-reference the stabilized negation packet rather than rebuilding it here.
sfp_hiam_gen48_8_overlap_control	sentence_final_particles	particle-hiam-overlap-control	interrogative_overlap	hiam	interrogative_hiam_overlap_control	01048008	Genesis 48:8	“Hihte kua ahi hiam?”	9-12	Hihte | kua | ahi | hiam	HIHTE | who | be.3SG | Q	“Hihte | kua | ahi | hiam	PROP | NUM | V | FUNC	And Israel beheld Joseph's sons, and said, Who are these?	deferred	high	not_print_ready	Sentence-final particle work borders the already stabilized interrogatives packet, so one clause-final `hiam` row is kept as a cross-reference control.	`Hiam` already belongs to the interrogatives packet, so this row is overlap control only and must not reopen or duplicate interrogatives analysis.	needs_followup	Cross-reference the existing interrogatives packet instead of absorbing `hiam` into a new sentence-final chapter.
sfp_tahen_gen9_25_hi_tahen	sentence_final_particles	particle-tahen-jussive	jussive	tahen	jussive_tahen	01009025	Genesis 9:25	hi tahen	12-13	hi | tahen	DECL | army	hi | tahen	FUNC | N	And he said, Cursed be Canaan; A servant of servants shall he be unto his brethren.	deferred	low	not_print_ready	The generated sentence-final report makes `tahen` worth checking, so the candidate layer keeps one compact `hi tahen` window in view instead of relying on report paraphrase alone.	In the current export, `tahen` here is lexical `army` / `N` rather than a clean jussive particle, so the row cannot yet serve as settled sentence-final evidence.	needs_followup	The same verse also contains split `ta hen` material earlier in the clause; keep fused-versus-split `tahen`/`ta hen` noise explicit and do not turn this into a broad mood chapter.
sfp_hen_gen1_3_khuavak_om_hen	sentence_final_particles	particle-hen-optative	optative	hen	optative_hen	01001003	Genesis 1:3	“Khuavak om hen,”	2-4	Khuavak | om | hen	light | exist | JUSS	khuavak | om | hen	N | ADJ | FUNC	And God said, Let there be light: and there was light.	accepted_with_caveat	high	print_usable_with_caveat	Genesis 1:3 gives a compact analyzer-backed clause-final `hen` row, which is enough to keep optative material visible in a first sentence-final packet.	Use this as optative evidence only: do not let the row expand into a broad mood or TAM account, and note that report-style `ta hen` wording is not what the current export preserves in this verse.	reviewed	Optative evidence with a report-versus-export caveat; broad TAM remains deferred.
sfp_in_gen6_14_teembaw_khat_bawl_in	sentence_final_particles	particle-in-imperative	imperative_singular	in	imperative_in	01006014	Genesis 6:14	teembaw khat bawl in	6-9	teembaw | khat | bawl | in	ark | one | make | ERG	teembaw | khat | bawl | in	N | NUM | V | FUNC	Make thee an ark of gopher wood; rooms shalt thou make in the ark, and shalt pitch it within and without with pitch.	accepted_with_caveat	medium	print_usable_with_caveat	Verse-final `... bawl in` keeps singular imperative `in` visible in a compact analyzer-backed window for the first sentence-final pass.	The current export still glosses this `in` as `ERG` / `FUNC`, and `in` has substantial case-marker overlap elsewhere, so this row must not license raw `in` harvesting.	reviewed	Imperative-versus-case overlap control. The analyzer exports `teembaw` rather than report-style `lawng`, so later prose should stay aligned to the actual candidate span.
sfp_un_ps100_1_gingsak_un	sentence_final_particles	particle-un-imperative	imperative_plural	un	imperative_un	19100001	Psalms 100:1	gingsak un	7-8	ging-sak | un	sound-CAUS | IMP.PL	ging | Un	V | PROP	Make a joyful noise unto the LORD , all ye lands.	accepted	high	print_ready	`gingsak un` is a compact analyzer-backed imperative plural window and gives the packet one clean `un` anchor.		reviewed	The selected span stays tight so the nearby `aw` material does not get flattened into the same candidate row.
sfp_aw_ps100_1_gam_khempeuh_aw	sentence_final_particles	particle-aw-vocative	exclamative_vocative	aw	vocative_aw	19100001	Psalms 100:1	Gam khempeuh aw	0-2	Gam | khempeuh | aw	land | all | voice	gam | khempeuh | aw	N | DET | N	Make a joyful noise unto the LORD , all ye lands.	accepted_with_caveat	medium	not_print_ready	`Gam khempeuh aw` keeps report-visible `aw` in the candidate layer as vocative or exclamative boundary evidence rather than letting it disappear from the first pass.	The current export glosses `aw` lexically as `voice`, and this verse also contains a second `aw` in `lungdamna aw`, so the row should stay vocative/exclamative boundary material rather than a generalized sentence-final particle entry.	reviewed	Do not treat every `aw` token as sentence-final mood marking without constructional review.
sfp_ta_gen40_23_mangngilh_ta_hi	sentence_final_particles	particle-ta-boundary	tam_overlap	ta	aspect_plus_decl_ta_hi	01040023	Genesis 40:23	mangngilh ta hi	12-14	mangngilh | ta | hi	forget | child | DECL	mangngilh | ta | hi	V | FUNC | FUNC	Yet did not the chief butler remember Joseph, but forgat him.	needs_review	low	not_print_ready	`mangngilh ta hi` keeps report-visible `ta hi` boundary material explicit without starting a broad TAM chapter.	The current export glosses `ta` here as ambiguous `child` / `FUNC` rather than a clean perfective particle, so this row remains boundary evidence only.	needs_followup	TAM-overlap control only; broad aspectual prose remains deferred.
sfp_zo_gen1_28_zo_boundary	sentence_final_particles	particle-zo-boundary	tam_overlap	zo	completive_zo_boundary	01001028	Genesis 1:28	zo	17	zo	south	zo	N	And God blessed them, and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it: and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moveth upon the earth.	deferred	low	not_print_ready	The generated sentence-final report points toward completive `zo`, so the first candidate layer keeps one analyzer-backed `zo` token visible rather than relying on report counts or schematic examples.	The current export glosses this `zo` as ambiguous lexical `south` / `N` rather than as a clean completive particle, so `zo` remains deferred in the sentence-final packet.	needs_followup	Keep `zo` as TAM-overlap boundary material only until a cleaner analyzer-backed completive row is found.
