iso	wordform	frequency
bgr	Baptis	1
bgr	Baptisma	1
bgr	Baptistu	16
bgr	Bar-Jisu	1
bgr	Baraba	11
bgr	Barak	1
bgr	Barakia	1
bgr	Barley	1
bgr	Barnaba	32
bgr	Barsaba	1
bgr	Bartholomai	4
bgr	Bartimai	1
bgr	Basâ	1
bgr	Bat	1
bgr	Bawkbukhup	1
bgr	Belh	1
bgr	Beliar	1
bgr	Belzebul	7
bgr	Benjamin	4
bgr	Beor	1
bgr	Beria	3
bgr	Berniki	3
bgr	Bethani	12
bgr	Bethlehem	9
bgr	Bethphage	3
bgr	Betsaida	7
bgr	Betzatha	1
bgr	Biakin	100
bgr	Biang	1
bgr	Bithinia	2
bgr	Blasta	1
bgr	Boanerge	1
bgr	Boaz	3
bgr	Boruak	1
bgr	Bualingnei	1
bgr	Buanso	1
bgr	Buartu	1
bgr	Buartupa	2
bgr	Buh	11
bgr	Bultu	1
bgr	Busik	1
bgr	Bâwlnâk	4
bgr	Bâwlpu	52
bgr	Bâwm	1
bgr	Chaih	1
bgr	Chak	2
bgr	Chawchal	3
bgr	Chawchawk	1
bgr	Chawfa	1
bgr	Chawnglawmh	1
bgr	Chawpê	2
bgr	Chem	4
bgr	Chi	2
bgr	Chibai	6
bgr	Chimtir	1
bgr	Chipchiar	2
bgr	Chitê	2
bgr	Chu	401
bgr	Chubang	116
bgr	Chum	1
bgr	Chun	3297
bgr	Chunah	19
bgr	Chungnungchem	14
bgr	Chungzuang	1
bgr	Churawhchun	24
bgr	Churuagah	1
bgr	Churuang	37
bgr	Churuangah	139
bgr	Chuvachun	128
bgr	Chuvanchun	1
bgr	Chuza	1
bgr	Châwchawk	2
bgr	Chê	1
bgr	Chêu	8
bgr	Chêutirtu	1
bgr	Chî	1
bgr	Chîng	1
bgr	Daktawr	1
bgr	Dalmanutha	1
bgr	Dalmatia	1
bgr	Dam	2
bgr	Damaris	1
bgr	Damaska	17
bgr	Damh	1
bgr	Damlo	2
bgr	Danial	1
bgr	David	61
bgr	Dawh	2
bgr	Dawnhkhonâk	1
bgr	Dawnruat	1
bgr	Dawrâ	37
bgr	Dawrâfa	3
bgr	Dawrâpu	3
bgr	Deih	1
bgr	Dekapoli	3
bgr	Dem	1
bgr	Dema	2
bgr	Demetri	1
bgr	Demetria	2
bgr	Denari	1
bgr	Derbe	4
bgr	Diabol	27
bgr	Dik	2
bgr	Diklo	2
bgr	Diklonâk	1
bgr	Diknâk	1
bgr	Din	4
bgr	Ding	1
bgr	Dinh	1
bgr	Dinhni	59
bgr	Dinhnâk	1
bgr	Dionisias	1
bgr	Diotrephes	1
bgr	Dorka	2
bgr	Drusila	1
bgr	Duh	2
bgr	Duhnâk	1
bgr	Duhtak	14
bgr	Dâisip	3
bgr	Dân	255
bgr	Dârkar	3
bgr	Dârlâwi	1
bgr	Dâwithiam	1
bgr	Dâwngsung	1
bgr	Dâwtnâk	5
bgr	Dîr	1
bgr	Dûm	1
bgr	Eber	1
bgr	Efraim	1
bgr	Ei	3
bgr	Elamitai	1
bgr	Eleazar	2
bgr	Eli	2
bgr	Eliakim	3
bgr	Eliezar	1
bgr	Elija	30
bgr	Elima	1
bgr	Eliud	2
bgr	Elizabet	9
bgr	Elmadam	1
bgr	Eloi	2
bgr	Emau	1
bgr	Enok	3
bgr	Enos	1
bgr	Epainita	1
bgr	Epaphra	4
bgr	Epaprodita	2
bgr	Ephesi	22
bgr	Ephphatha	1
bgr	Epikuria	1
bgr	Er	1
bgr	Erasta	3
bgr	Esau	3
bgr	Esli	1
bgr	Ethiopia	2
bgr	Eubulas	1
bgr	Eudia	1
bgr	Eufretis	2
bgr	Euniki	1
bgr	Eurokuilo	1
bgr	Eutuk	1
bgr	Evi	2
bgr	Fa	40
bgr	Fachî	5
bgr	Fanu	1
bgr	Fapa	223
bgr	Farisai	98
bgr	Fasêm	1
bgr	Fawrhnâk	1
bgr	Fawrhtu	2
bgr	Felfê	1
bgr	Felik	10
bgr	Festa	16
bgr	Fial	2
bgr	Fihnungkâi	2
bgr	Finghnâk	1
bgr	Fortunata	1
bgr	Fâng	5
bgr	Fângzûn	1
bgr	Fângât	1
bgr	Fêmtan	8
bgr	Fîr	1
bgr	Fîrmang	1
bgr	Gabatha	1
bgr	Gabriel	2
bgr	Gad	1
bgr	Gadarin	1
bgr	Gaia	5
bgr	Galatia	7
bgr	Galili	74
bgr	Galio	3
bgr	Gamaliel	2
bgr	Gaza	1
bgr	Gehena	10
bgr	Genesaret	3
bgr	Gerasin	3
bgr	Getsemani	2
bgr	Gideon	1
bgr	Gog	1
bgr	Golgotha	3
bgr	Gomorah	4
bgr	Governor	3
bgr	Greek	29
bgr	Gris	3
bgr	HI	4
bgr	Hagar	2
bgr	Halleluia	4
bgr	Hamhnâk	2
bgr	Hamor	1
bgr	Haran	2
bgr	Hawlh	4
bgr	Hawng	65
bgr	Hawr	1
bgr	Hebrai	12
bgr	Heli	1
bgr	Helnâk	1
bgr	Herma	1
bgr	Hermes	1
bgr	Hermi	1
bgr	Hermozen	1
bgr	Herod	48
bgr	Herodi	8
bgr	Herodion	1
bgr	Hezekiah	2
bgr	Hezron	3
bgr	Hi	294
bgr	Hinah	13
bgr	Hirapoli	1
bgr	Hosana	6
bgr	Hose	1
bgr	Hotu	5
bgr	Huap	1
bgr	Humenai	2
bgr	Hun	1
bgr	Hur	1
bgr	Hâi	1
bgr	Hâwi	1
bgr	Hâwl	1
bgr	I	4
bgr	Idumai	1
bgr	Ikoniam	6
bgr	Ilurikon	1
bgr	Immanuel	2
bgr	In	12
bgr	Isai	23
bgr	Isak	21
bgr	Isakar	1
bgr	Iskariot	11
bgr	Israel	85
bgr	It	1
bgr	Itali	5
bgr	Ituria	1
bgr	JISU	2
bgr	JUDA	4
bgr	Jaira	2
bgr	Jakob	27
bgr	Jambre	2
bgr	Janai	1
bgr	Jani	2
bgr	Jared	1
bgr	Jason	1
bgr	Jaspar	1
bgr	Jehoiakin	2
bgr	Jehoram	2
bgr	Jehosaphat	2
bgr	Jem	39
bgr	Jemtê	1
bgr	Jeptha	1
bgr	Jeremia	3
bgr	Jeriko	7
bgr	Jerusalem	141
bgr	Jese	5
bgr	Jezebel	1
bgr	Jisu	1128
bgr	Joana	2
bgr	Joanan	1
bgr	Job	1
bgr	Joda	1
bgr	Joel	1
bgr	Johan	146
bgr	Jona	9
bgr	Jonam	1
bgr	Jopa	11
bgr	Jordan	15
bgr	Jorim	1
bgr	Josef	40
bgr	Josek	1
bgr	Josiah	2
bgr	Josua	3
bgr	Jotham	2
bgr	Jud	1
bgr	Juda	278
bgr	Judai	42
bgr	Juli	1
bgr	Julius	2
bgr	Junia	1
bgr	Justa	2
bgr	Ka	255
bgr	Kaiapha	10
bgr	Kain	4
bgr	Kainan	1
bgr	Kaisar	25
bgr	Kaisari	16
bgr	Kal	15
bgr	Kaldai	1
bgr	Kalkanh	28
bgr	Kan	102
bgr	Kana	6
bgr	Kanaan	3
bgr	Kandaki	1
bgr	Kanmah	11
bgr	Kanna	2
bgr	Kannih	42
bgr	Kapadokia	2
bgr	Kapernaum	16
bgr	Karpa	1
bgr	Kauda	1
bgr	Kawhmi	12
bgr	Kawrdawh	2
bgr	Kawrsen	4
bgr	Kawtkhâr	2
bgr	Kawtkâ	6
bgr	Kei	85
bgr	Keimah	25
bgr	Kenan	1
bgr	Kenkria	1
bgr	Kenkriai	1
bgr	Kezaphah	1
bgr	Kha	21
bgr	Khabang	1
bgr	Khap	2
bgr	Khatlei	3
bgr	Khawmsele	9
bgr	Khawsak	1
bgr	Khi	3
bgr	Khinah	2
bgr	Khobung	1
bgr	Khua	12
bgr	Khual	2
bgr	Khuapi	6
bgr	Khuaruatnâk	1
bgr	Khuarît	2
bgr	Khuasung	1
bgr	Khuatê	1
bgr	Khuavâng	27
bgr	Khuri	14
bgr	Khurtawdawnglo	1
bgr	Khânâk	1
bgr	Khâtnâk	1
bgr	Khâwnvâr	1
bgr	Khêng	2
bgr	Kidron	1
bgr	Kiliki	2
bgr	Kilikia	6
bgr	Kiltu	1
bgr	Kio	1
bgr	Kipha	2
bgr	Kis	1
bgr	Klaudia	4
bgr	Klemen	1
bgr	Kleopa	1
bgr	Kloi	1
bgr	Klopa	1
bgr	Kolosa	1
bgr	Kora	1
bgr	Korazin	2
bgr	Korban	1
bgr	Korin	8
bgr	Kornelia	11
bgr	Kos	1
bgr	Kosam	1
bgr	Kraws	11
bgr	Kresken	1
bgr	Kret	8
bgr	Krispa	2
bgr	Krist	510
bgr	Kristian	10
bgr	Kuarta	1
bgr	Kuih	1
bgr	Kuihtê	1
bgr	Kulh	1
bgr	Kum	2
bgr	Kupra	8
bgr	Kurini	8
bgr	Kut	4
bgr	Kâ	3
bgr	Kâng	1
bgr	Kâwi	5
bgr	Kâwlkil	1
bgr	Kâwlui	2
bgr	Kê	1
bgr	Kêl	1
bgr	Kûng	1
bgr	Kût	40
bgr	Kûtnâk	6
bgr	LALCHEM	4
bgr	Labu	1
bgr	Laikulh	32
bgr	Lakfâ	1
bgr	Lal	23
bgr	Lalchem	92
bgr	Lalnu	1
bgr	Lalpa	630
bgr	Lalram	1
bgr	Laltophah	2
bgr	Lamek	1
bgr	Lampi	10
bgr	Langlo	1
bgr	Langâk	1
bgr	Laodikei	7
bgr	Lase	1
bgr	Lasui	1
bgr	Lasuibuzualtê	1
bgr	Lawh	1
bgr	Lawksawng	2
bgr	Lawmh	1
bgr	Lawng	4
bgr	Lawnh	1
bgr	Lazar	16
bgr	Leinih	2
bgr	Levi	16
bgr	Lian	1
bgr	Libia	1
bgr	Lida	3
bgr	Lidia	2
bgr	Linas	1
bgr	Litra	1
bgr	Lo	4
bgr	Loisi	1
bgr	Lot	4
bgr	Luk	3
bgr	Lukaonia	2
bgr	Lukia	3
bgr	Lum	1
bgr	Lung	9
bgr	Lunglo	4
bgr	Lunglotu	2
bgr	Lungngam	5
bgr	Lungngamnâk	4
bgr	Lungnâk	29
bgr	Lungphûm	2
bgr	Lungtu	2
bgr	Lungum	1
bgr	Lungumnâk	4
bgr	Luruh	3
bgr	Lusania	1
bgr	Lusia	3
bgr	Lustra	6
bgr	Lâiluang	2
bgr	Lâirêl	2
bgr	Lâirêlnâk	2
bgr	Lâirêltu	12
bgr	Lâk	3
bgr	Lânah	1
bgr	Lâu	4
bgr	Lâwinâk	2
bgr	Lâwm	3
bgr	Lâwptlo	1
bgr	Lêmnâk	6
bgr	Lênglei	2
bgr	Lû	2
bgr	MI	1
bgr	Maat	1
bgr	Magadan	1
bgr	Magdala	11
bgr	Magog	1
bgr	Mah	17
bgr	Mahalalel	1
bgr	Makedonia	27
bgr	Mal	1
bgr	Malka	1
bgr	Malsâwmnâk	2
bgr	Malta	1
bgr	Man	1
bgr	Manain	1
bgr	Manaseh	3
bgr	Manna	1
bgr	Mari	56
bgr	Mark	9
bgr	Marthi	13
bgr	Masa	1
bgr	Masachem	1
bgr	Matatha	1
bgr	Matathia	2
bgr	Mathai	5
bgr	Mathan	2
bgr	Mathat	2
bgr	Mathia	2
bgr	Mawh	1
bgr	Mawhsareh	1
bgr	Mawhtirlotu	1
bgr	Mawhtirnâk	1
bgr	Mazân	2
bgr	Media	1
bgr	Mei	3
bgr	Meichêu	1
bgr	Melia	1
bgr	Melki	2
bgr	Melkizedek	14
bgr	Mena	1
bgr	Mesia	66
bgr	Mesopotamia	2
bgr	Methusel	1
bgr	Mi	196
bgr	Midang	27
bgr	Midian	1
bgr	Mifial	7
bgr	Mifing	1
bgr	Mikael	2
bgr	Mikip	2
bgr	Mileti	3
bgr	Milian	1
bgr	Minei	6
bgr	Minung	134
bgr	Mipa	8
bgr	Mipi	1
bgr	Mipâm	6
bgr	Misual	15
bgr	Mit	6
bgr	Mitchâw	2
bgr	Mithi	23
bgr	Mithla	1
bgr	Mitmâi	1
bgr	Mitthli	1
bgr	Mitulini	1
bgr	Mitâng	1
bgr	Mo	6
bgr	Molok	1
bgr	Mosi	90
bgr	Muh	2
bgr	Muhlo	1
bgr	Mun	9
bgr	Munkhat	1
bgr	Mura	1
bgr	Murui	4
bgr	Musia	2
bgr	Mâilei	2
bgr	Mâng	1
bgr	Mêlma	8
bgr	Mîmthlalek	1
bgr	Mîmthlâ	1
bgr	Mûi	5
bgr	NAZARET	1
bgr	Na	146
bgr	Naaman	1
bgr	Nagai	1
bgr	Nahor	1
bgr	Nahsuahnâk	2
bgr	Nahum	1
bgr	Nain	1
bgr	Nan	156
bgr	Nang	67
bgr	Nangmah	19
bgr	Nangnih	20
bgr	Nanmah	22
bgr	Nanna	9
bgr	Nannih	106
bgr	Naphtali	3
bgr	Narkisa	1
bgr	Nason	4
bgr	Nathan	1
bgr	Nathanael	6
bgr	Nau	2
bgr	Nausêm	2
bgr	Nazaret	29
bgr	Nazareth	1
bgr	Neapoli	1
bgr	Neh	1
bgr	Nehnâk	1
bgr	Neri	1
bgr	Neria	1
bgr	Ngaihsia	2
bgr	Ngainik	1
bgr	Ngarhnâk	1
bgr	Ngatenek	1
bgr	Ngei	1
bgr	Ngâ	1
bgr	Ngâi	8
bgr	Ngâinik	33
bgr	Ngâksia	8
bgr	Ngâkṭah	1
bgr	Ngûn	1
bgr	Ni	41
bgr	Nidos	1
bgr	Niger	1
bgr	Nikanor	1
bgr	Niknak	1
bgr	Niknâk	3
bgr	Nikodem	5
bgr	Nikola	3
bgr	Nikopoli	1
bgr	Nimpha	1
bgr	Ninevi	3
bgr	Nipuan	1
bgr	Nisiar	2
bgr	Noa	8
bgr	Nu	3
bgr	Numei	5
bgr	Nunau	31
bgr	Nungnâk	6
bgr	Nungtirtu	1
bgr	Nunsimhnâk	1
bgr	Nupi	13
bgr	Nâ	5
bgr	Nâmsâu	6
bgr	Nâu	1
bgr	Nâwm	1
bgr	Nî	3
bgr	Nûk	1
bgr	Obed	3
bgr	Olimpa	1
bgr	Oliv	12
bgr	Omega	3
bgr	Onesimus	2
bgr	Onesiphora	2
bgr	Pa	268
bgr	Pakhat	4
bgr	Pakua	1
bgr	Pamphulia	5
bgr	Paphos	2
bgr	Paradis	2
bgr	Parmena	1
bgr	Parsi	1
bgr	Parthian	1
bgr	Pasal	8
bgr	Patara	1
bgr	Pathan	1
bgr	Pathian	1871
bgr	Pathiau	1
bgr	Patmos	1
bgr	Patroba	1
bgr	Paw	1
bgr	Pawl	188
bgr	Pawlas	1
bgr	Peh	1
bgr	Pelek	1
bgr	Pentekost	3
bgr	Perez	2
bgr	Perga	3
bgr	Pergamos	2
bgr	Perpet	3
bgr	Perpettu	1
bgr	Peter	176
bgr	Phanuel	1
bgr	Pharoa	5
bgr	Pheikawk	1
bgr	Phelhnâk	1
bgr	Philadelphia	2
bgr	Philemon	1
bgr	Philepta	1
bgr	Philip	36
bgr	Philipi	7
bgr	Philologa	1
bgr	Phlegon	1
bgr	Phoibi	1
bgr	Phoiniki	6
bgr	Phrugia	3
bgr	Phuarnâk	1
bgr	Phugela	1
bgr	Phulam	1
bgr	Phun	9
bgr	Phundang	109
bgr	Phâisenphittê	3
bgr	Phîr	2
bgr	Phûm	1
bgr	Pilat	58
bgr	Pisidia	2
bgr	Pontia	5
bgr	Ponto	1
bgr	Porkia	1
bgr	Praitorion	1
bgr	Priskili	6
bgr	Prokora	1
bgr	Pu	25
bgr	Puai	1
bgr	Puaituahnâk	1
bgr	Puan	6
bgr	Puang	2
bgr	Puanin	2
bgr	Puannêm	3
bgr	Puanvâr	1
bgr	Publias	2
bgr	Pudens	1
bgr	Pudina	2
bgr	Pum	1
bgr	Pumhnâk	4
bgr	Pung	2
bgr	Purha	1
bgr	Puteoli	1
bgr	Putso	1
bgr	Pêk	4
bgr	Rabbi	6
bgr	Rabboni	2
bgr	Rahab	3
bgr	Rakel	1
bgr	Ram	122
bgr	Ramdang	2
bgr	Ramkaro	5
bgr	Ran	1
bgr	Rang	3
bgr	Rawkmang	1
bgr	Rebek	1
bgr	Rehoboam	2
bgr	Rem	1
bgr	Remnâk	4
bgr	Remruat	1
bgr	Rep	3
bgr	Rephan	1
bgr	Repnâk	3
bgr	Resa	1
bgr	Reu	1
bgr	Reuben	1
bgr	Reziam	1
bgr	Rian	1
bgr	Riangvâi	1
bgr	Rianṭuan	1
bgr	Rianṭuantu	4
bgr	Rilî	7
bgr	Rim	3
bgr	Ritphurh	1
bgr	Ro	2
bgr	Rodi	2
bgr	Rokual	1
bgr	Rokualnâk	2
bgr	Rokualtir	1
bgr	Rom	30
bgr	Rotingtu	1
bgr	Ruah	3
bgr	Ruak	1
bgr	Rualnâu	1
bgr	Ruangsuah	4
bgr	Ruangsuahnâk	3
bgr	Ruangsuahtu	16
bgr	Ruangsuaknâk	1
bgr	Ruat	1
bgr	Rufa	2
bgr	Ruitu	3
bgr	Ruk	2
bgr	Rulhnawlh	1
bgr	Ruth	1
bgr	Râm	1
bgr	Râwktu	1
bgr	Rêng	1
bgr	Rêngin	3
bgr	Rîn	1
bgr	Rûl	5
bgr	Rûlrêu	3
bgr	Sadukai	14
bgr	Saikar	1
bgr	Sakhi	1
bgr	Saklei	1
bgr	Sal	9
bgr	Salami	1
bgr	Salem	2
bgr	Salim	1
bgr	Salmon	3
bgr	Salmoni	1
bgr	Salnu	1
bgr	Salomi	2
bgr	Sam	2
bgr	Samari	22
bgr	Samh	1
bgr	Samo	1
bgr	Samothraki	1
bgr	Samphâng	1
bgr	Samson	1
bgr	Samuel	3
bgr	Sanatung	5
bgr	Sang	11
bgr	Sangtlêp	6
bgr	Saphir	1
bgr	Sardis	3
bgr	Sari	5
bgr	Sariak	3
bgr	Saron	1
bgr	Sarâng	4
bgr	Saul	1
bgr	Savun	1
bgr	Sawl	25
bgr	Sawnhnâk	1
bgr	Sawrnâk	5
bgr	Sekem	2
bgr	Sekunda	1
bgr	Selah	1
bgr	Selukia	1
bgr	Sem	1
bgr	Semein	1
bgr	Sen	2
bgr	Seppho	1
bgr	Sergia	1
bgr	Seruk	1
bgr	Setan	39
bgr	Seth	1
bgr	Si	20
bgr	Sia	2
bgr	Siah	3
bgr	Sialtiel	3
bgr	Siamthar	1
bgr	Siamtharnâk	1
bgr	Siamtu	3
bgr	Siatbarh	1
bgr	Sidon	12
bgr	Sikhamsele	1
bgr	Sikhawinsele	1
bgr	Sikhawmsele	546
bgr	Sikhawnsele	1
bgr	Sila	13
bgr	Silas	4
bgr	Silo	4
bgr	Siloam	4
bgr	Sim	2
bgr	Simeon	5
bgr	Simhfiangtu	1
bgr	Simkannâk	1
bgr	Simlei	2
bgr	Simon	77
bgr	Simsâwi	2
bgr	Sinai	5
bgr	Singsiahnâk	3
bgr	Siria	10
bgr	Skeva	1
bgr	Skuthia	1
bgr	Smirna	2
bgr	Sodom	9
bgr	Solomon	12
bgr	Sopater	1
bgr	Sorkar	2
bgr	Sosipater	1
bgr	Sosthen	2
bgr	Spain	2
bgr	Stade	1
bgr	Stakua	1
bgr	Stephan	3
bgr	Stephen	11
bgr	Stoik	1
bgr	Suak	4
bgr	Sual	14
bgr	Sualnâk	4
bgr	Sum	4
bgr	Sumtuah	1
bgr	Sung-û	1
bgr	Sungvâng	1
bgr	Sunhnâk	1
bgr	Suntuki	1
bgr	Surekus	1
bgr	Surti	1
bgr	Susana	1
bgr	Sâng	1
bgr	Sângnga	1
bgr	Sângtlêp	1
bgr	Sârbûk	2
bgr	Sâwm	1
bgr	Sâwt	2
bgr	Sâwtlotê	9
bgr	Sîntirnâk	4
bgr	Sîntirtu	55
bgr	Sîntu	2
bgr	Sûm	2
bgr	Sûn	5
bgr	TLA	4
bgr	Tabitha	2
bgr	Tahṭhimh	7
bgr	Tak	1
bgr	Takhan	1
bgr	Takkaro	2
bgr	Taksa	25
bgr	Talent	1
bgr	Talitha	1
bgr	Tamar	1
bgr	Tangka	6
bgr	Tarnu	1
bgr	Tarpa	1
bgr	Tarsa	5
bgr	Tawng	1
bgr	Tawngh	1
bgr	Tekzuam	1
bgr	Terah	1
bgr	Tertia	1
bgr	Tertulla	2
bgr	Thadai	2
bgr	Thah	3
bgr	Thai	1
bgr	Thawk	20
bgr	Thawknawlh	1
bgr	Thawknawlhnâk	2
bgr	Thawngthang	1
bgr	Thawsuak	2
bgr	Theih	6
bgr	Theihnâk	2
bgr	Theihpitu	3
bgr	Theihtirnâk	2
bgr	Theihtu	1
bgr	Theikhang	2
bgr	Theipi	2
bgr	Thenhlimh	120
bgr	Thenhlimhtir	1
bgr	Thenhlimhtirtu	1
bgr	Theophil	2
bgr	Thesalonika	9
bgr	Theuda	1
bgr	Thi	2
bgr	Thiamthih	4
bgr	Thiatira	4
bgr	Thih	1
bgr	Thihnâk	7
bgr	Thikho	1
bgr	Thil	30
bgr	Thilchê	3
bgr	Thildang	1
bgr	Thilnu	10
bgr	Thilnung	5
bgr	Thilpêk	3
bgr	Thilsiam	5
bgr	Thilsual	5
bgr	Thiltikho	1
bgr	Thiltikhonâk	2
bgr	Thing	9
bgr	Thingbû	1
bgr	Thinlung	5
bgr	Thinrun	1
bgr	Thinrunhnâk	1
bgr	Thisen	3
bgr	Thla	4
bgr	Thlacham	3
bgr	Thlan	1
bgr	Thlang	1
bgr	Thlangam	1
bgr	Thlaraau	1
bgr	Thlarau	267
bgr	Thli	2
bgr	Thlâktu	2
bgr	Thlân	4
bgr	Thom	12
bgr	Thu	26
bgr	Thuanthu	1
bgr	Thuchah	1
bgr	Thudik	3
bgr	Thudântuk	2
bgr	Thuh	3
bgr	Thungâi	74
bgr	Thupêk	8
bgr	Thusim	1
bgr	Thusimtu	4
bgr	Thutak	6
bgr	Thutiam	3
bgr	Thâi	1
bgr	Thâw	1
bgr	Thâwngthang	1
bgr	Thâwngthân	1
bgr	Thâwngthâng	127
bgr	Thû	1
bgr	Thûtnâk	1
bgr	Thûttir	1
bgr	Ti	3
bgr	Tiberia	4
bgr	Tibêl	1
bgr	Tik	6
bgr	Tikho	1
bgr	Timai	1
bgr	Timhtuah	6
bgr	Timon	1
bgr	Timothe	24
bgr	Tipi	3
bgr	Tisumsumriat	2
bgr	Tita	13
bgr	Tlang	1
bgr	Tlangvâl	4
bgr	Tlung	1
bgr	Tlâng	16
bgr	Tlâu	1
bgr	Tlêp	2
bgr	Tlûknâk	3
bgr	Tlûnlei	4
bgr	Tlûnpitnâk	1
bgr	To-aw	16
bgr	Tolemai	1
bgr	Trakoniti	1
bgr	Troas	6
bgr	Trophima	3
bgr	Trufaina	1
bgr	Truphosa	1
bgr	Tu	29
bgr	Tuah	33
bgr	Tual	22
bgr	Tuan	5
bgr	Tuar	1
bgr	Tuarnâk	1
bgr	Tuhin	2
bgr	Tukika	5
bgr	Tuktin	1
bgr	Tuliau	2
bgr	Tura	12
bgr	Turana	1
bgr	Tusan	7
bgr	Tusûn	15
bgr	Tutiang	3
bgr	Tuzân	1
bgr	Tî	6
bgr	Tîhâl	1
bgr	Tûmkâu	1
bgr	Uain	4
bgr	Uh	1
bgr	Ui	3
bgr	Um	3
bgr	Unau	60
bgr	Unaunu	1
bgr	Unaupa	3
bgr	Upa	8
bgr	Urbana	1
bgr	Uria	1
bgr	Uziah	2
bgr	Va	8
bgr	Valei	2
bgr	Varâl	1
bgr	Vawk	1
bgr	Vaṭhu	1
bgr	Vei	4
bgr	Veikhat	3
bgr	Vuakfung	1
bgr	Vân	51
bgr	Vânmifial	12
bgr	Vânṭha	1
bgr	Vêngtu	2
bgr	Zadok	2
bgr	Zakai	4
bgr	Zapi	2
bgr	Zarephat	1
bgr	Zarh	1
bgr	Zason	4
bgr	Zauhnawmhtu	1
bgr	Zauhnik	41
bgr	Zebedai	12
bgr	Zebulun	3
bgr	Zei	46
bgr	Zeiah	2
bgr	Zeikhawm	22
bgr	Zeiliau	1
bgr	Zeilo	1
bgr	Zeimaw	8
bgr	Zeime	2
bgr	Zeirang	4
bgr	Zeirangah	44
bgr	Zeiruang	2
bgr	Zeiruangah	3
bgr	Zeise	2
bgr	Zeital	1
bgr	Zeitik	4
bgr	Zeitin	19
bgr	Zeizawng	20
bgr	Zekaria	12
bgr	Zelot	2
bgr	Zena	1
bgr	Zeng	1
bgr	Zerubabel	3
bgr	Zeus	2
bgr	Zion	7
bgr	Zuamchawh	1
bgr	Zuamnâk	1
bgr	Zumh	1
bgr	Zungzâl	6
bgr	Zusta	1
bgr	Zân	3
bgr	Zânah	1
bgr	Zângfahnâk	14
bgr	Zânleibâi	1
bgr	Zâwllâi	1
bgr	Zîngbuh	1
bgr	Zûn	1
bgr	[	2
bgr	]	3
bgr	a	13434
bgr	a-aw	1
bgr	ah	3909
bgr	aih	52
bgr	aihtir	12
bgr	aihtu	1
bgr	aitikep	1
bgr	al	3
bgr	alabasta	3
bgr	aleh	1
bgr	alh	5
bgr	alhtir	1
bgr	aloe	1
bgr	altir	2
bgr	amah	593
bgr	amahlo	1
bgr	amethi	1
bgr	amâh	1
bgr	an	6179
bgr	anih	492
bgr	anmah	165
bgr	anna	336
bgr	annih	238
bgr	anṭam	2
bgr	ap	36
bgr	aptu	1
bgr	asi	3256
bgr	asi-mi	1
bgr	assaria	1
bgr	assarion	1
bgr	ati	3
bgr	auh	6
bgr	aw	22
bgr	aw-hâu	58
bgr	aw-kâ	1
bgr	awh	2
bgr	awhtir	1
bgr	awi	1
bgr	awih	1
bgr	awihtir	3
bgr	awl	7
bgr	awng	36
bgr	awngtu	1
bgr	awnh	3
bgr	awp	1
bgr	awrhtu	1
bgr	awrṭawh	1
bgr	awt	393
bgr	awttu	2
bgr	bah	1
