# language_name:	Lemi (Eastern Khumi)
# closest ISO 639-3:	cek
# year_short:	scraped 2026
# year_long:	Not available
# title:	Lemi (Eastern Khumi)
# URL:	https://www.bible.com/bible/1853
# copyright_short:	See bible.com for copyright information
# copyright_long:	Scraped from bible.com. See original source for copyright.
40001001	Hini lä Isu Khrista üng ärui äceng phüng tärü te cae vi. Isu lä sanphrang Davidae üng kaesui kaebeng vi. Sanphrang Davidae lä Abraham üng kaesui vi.
40001002	Abraham lä Isaika üng pä-ai vi. Isaika lä Jaeko pä-ai vi. Jaeko lä Judae hai kangby jä-ai na üng pä-ai vi.
40001003	Judae lä Pere hai Jera üng pä-ai vi. Änini üng nä-awi lä Tamar vi. Pere lä Heron pä-ai vi. Heron lä Ram pä-ai vi.
40001004	Ram lä Anminade pä-ai. Anminade lä Nason pä-ai vi. Nason lä Salamon üng pä-ai vi.
40001005	Salamon lä Boaz pä-ai. Äni üng nä-awi Raha vi. Obe üng pä-ai lä Boaz vi. Äni üng nä-awi lä Rutha vi. Obe lä Jese üng pä-ai vi.
40001006	Jese lä sanphrang Davidae üng pä-ai vi. Davidae lä Solomon üng pä-ai vi. Solomon üng nä-awi lä Uria üng nawngpui-a aelawng vai vi.
40001007	Solomon lä Rehobon üng pä-ai vi. Rehobon lä Abija üng pä-ai vi. Abija lä Asa üng pä-ai vi.
40001008	Asa lä Jehosafae üng pä-ai, Jehosafae lä Jehoran üng pä-ai, Jehoran lä Uzia üng pä-ai vi.
40001009	Uzia lä Jothan üng pä-ai, Jothan lä Aha üng pä-ai. Aha lä Hezekia üng pä-ai vi.
40001010	Hezekia lä Manase üng pä-ai, Manase lä Amon üng pä-ai. Amon lä Josia üng pä-ai vi.
40001011	Josia lä Jekonia hai äni üng kangby na üng pä-ai vi. Honi kätü-a Babilon khimi na lä Judae na bung Babilon pre-a aethaw paitae hai nähai pa vi.
40001012	Babilon pre-a Judae khimi na bung nähai pyng-a Jekonia lä Sete üng pä-ai, Sete lä Zerubabel üng pä-ai vi.
